Analyzed: Oh No It's Zombies Arctic Map (47)

ID : 0 PlayerName: Zepherd Race: Zerg
ID : 1 PlayerName: marekow Race: Terran
ID : 2 PlayerName: Torrent Race: Terran
ID : 3 PlayerName: JMM Race: Terran
ID : 4 PlayerName: Kira Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Steiryl Race: Terran
ID : 7 PlayerName: Security Race: 
Zepherd Zombie Loss
Public Lobby

Game Length:[32:160]
Players ammount: 8
Marine rank avg: 10,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[03:838] Zepherd Bought CreepSpeed
[05:885] Zepherd Spawned MassiveCocoon
[07:325] Zepherd Spawned Hunter
[07:881] Zepherd Placed/Upgraded ToxicNest
[07:896] Zepherd Placed/Upgraded ToxicNest
[07:905] Zepherd Placed/Upgraded ToxicNest
[09:014] Zepherd Placed/Upgraded Virophage
[09:077] Zepherd Placed/Upgraded LesserNydusWorm
[09:078] Zepherd Bought GreaterNydus
[09:380] Zepherd Placed/Upgraded PrimalSunkenColony
[09:381] Zepherd Bought SunkenColony
[11:207] Zepherd Placed/Upgraded NydusCanalCreeper
[11:305] Zepherd Placed/Upgraded ToxicNest
[11:324] Zepherd Placed/Upgraded ToxicNest
[11:334] Zepherd Placed/Upgraded ToxicNest
[12:864] Zepherd Spawned MassiveCocoon
[13:944] Zepherd Spawned Underseer
[14:140] Zepherd Bought UnlockDropPods
[14:284] Zepherd Bought SunkenColony
[14:421] Zepherd Placed/Upgraded PrimalSunkenColony
[14:422] Zepherd Bought SunkenColony
[14:662] Zepherd Bought GreaterNydus
[14:662] Zepherd Placed/Upgraded LesserNydusWorm
[15:254] Zepherd Bought GreaterNydus
[15:561] Zepherd Bought SunkenColony
[15:747] Zepherd Bought ConstructiveCreep
[16:517] Zepherd Placed/Upgraded LesserNydusWorm
[16:518] Zepherd Bought GreaterNydus
[16:816] Zepherd Bought GreaterNydus
[17:495] Zepherd Placed/Upgraded PrimalSunkenColony
[17:496] Zepherd Bought SunkenColony
[17:656] Zepherd Placed/Upgraded NydusCanalCreeper
[18:564] Zepherd Placed/Upgraded PrimalSunkenColony
[18:565] Zepherd Bought SunkenColony
[18:720] Zepherd Bought GreaterNydus
[18:804] Zepherd Bought SunkenColony
[18:810] Zepherd Placed/Upgraded PrimalSunkenColony
[18:811] Zepherd Bought SunkenColony
[18:838] Zepherd Bought SunkenColony
[18:981] Zepherd Bought SunkenColony
[20:385] Zepherd Placed/Upgraded LesserNydusWorm
[20:386] Zepherd Bought GreaterNydus
[20:774] Zepherd Placed/Upgraded LesserNydusWorm
[20:775] Zepherd Bought GreaterNydus
[21:050] Zepherd Bought ConstructiveCreep
