Analyzed: Oh No It's Zombies Arctic Map (52)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: timbit Race: Terran
ID : 2 PlayerName: marekow Race: Terran
ID : 3 PlayerName: Cereal Race: Terran
ID : 4 PlayerName: YAAAAY Race: Zerg
ID : 5 PlayerName: WildMutant Race: Terran
ID : 6 PlayerName: terminator Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
YAAAAY Zombie Loss
Public Lobby

Game Length:[37:601]
Players ammount: 8
Marine rank avg: 5,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:701] Frosky Placed/Upgraded MiningDroid
[00:758] Frosky Unlocked IncendiaryGrenade
[02:452] Frosky Unlocked Shotgun
[03:860] Frosky Unlocked SuperStimpack
[06:007] Frosky Placed/Upgraded MiningDroid
[10:073] Frosky Unlocked Flamethrower
[11:555] Frosky Unlocked SpecOpsShotgun
[13:241] Frosky Unlocked Stimpack
[16:356] Frosky Unlocked HazmatSuit
[16:739] Frosky Unlocked AdvancedHazmatSuit
[20:581] Frosky Unlocked MedicShield
[20:608] Frosky Unlocked BioMechanicalRepairDrone
[20:755] Frosky Unlocked HighPrecisionBeams
[21:481] Frosky Placed/Upgraded HealingDrone
[22:713] Frosky Placed/Upgraded HealingDrone
[23:632] Frosky Unlocked CombatShield
[23:640] Frosky Unlocked AIAssistant
[25:694] Frosky Placed/Upgraded MiningDroid
[27:240] Frosky Placed/Upgraded HealingDrone
[28:696] Frosky Placed/Upgraded MiningDroid
[30:283] Frosky Unlocked ExplorationDroid
[30:317] Frosky Placed/Upgraded ExplorationDroid
[34:288] Frosky Placed/Upgraded HealingDrone
[00:572] timbit Unlocked AssaultRifle
[00:751] timbit Placed/Upgraded MiningDroid
[00:794] timbit Unlocked AdvancedDroidEngines
[02:775] timbit Unlocked TurboDroidEngines
[06:221] timbit Unlocked HellfireRocketLauncher
[06:244] timbit Unlocked SpecOpsHellfireRocketLauncher
[06:962] timbit Unlocked ShockwaveMissiles
[07:817] timbit Unlocked MotionSensor
[08:222] timbit Placed/Upgraded SensorTower
[09:819] timbit Unlocked CombatSuit
[09:825] timbit Unlocked AdvancedCombatSuit
[11:354] timbit Unlocked Stimpack
[11:776] timbit Placed/Upgraded SensorTower
[12:484] timbit Unlocked MiningCharge
[12:657] timbit Placed/Upgraded NukePack
[13:493] timbit Placed/Upgraded NukePack
[13:958] timbit Placed/Upgraded NukePack
[15:471] timbit Unlocked Teleporter
[16:357] timbit Bought ShieldSuit
[16:357] timbit Bought CombatSuit
[16:357] timbit Bought HazmatSuit
[16:357] timbit Bought HazmatSuit
[16:740] timbit Bought HazmatSuit
[17:594] timbit Unlocked EnergyPack
[17:627] timbit Unlocked SpecOpsTeleporter
[18:579] timbit Unlocked AdvancedMotionSensor
[20:497] timbit Placed/Upgraded SensorTower
[21:498] timbit Placed/Upgraded SensorTower
[22:308] timbit Unlocked AutoTurret
[22:320] timbit Unlocked HeavyTurret
[22:387] timbit Placed/Upgraded AutoTurret
[22:573] timbit Placed/Upgraded AutoTurret
[23:298] timbit Unlocked FlashBang
[23:641] timbit Placed/Upgraded MiningDroid
[24:053] timbit Placed/Upgraded AutoTurret
[27:076] timbit Placed/Upgraded MiningDroid
[33:780] timbit Placed/Upgraded NukePack
[34:301] timbit Placed/Upgraded NukePack
[00:572] marekow Unlocked AssaultRifle
[00:651] marekow Placed/Upgraded MiningDroid
[00:731] marekow Unlocked OverloadWeapon
[03:991] marekow Unlocked BeamRifle
[04:642] marekow Unlocked SpecOpsPlasmaRifle
[06:195] marekow Unlocked CombatSuit
[08:661] marekow Unlocked BioMechanicalRepairDrone
[08:908] marekow Placed/Upgraded HealingDrone
[09:820] marekow Bought ShieldSuit
[09:820] marekow Bought CombatSuit
