Analyzed: Oh No It's Zombies Arctic Map (55)

ID : 0 PlayerName: Wooky Race: Terran
ID : 1 PlayerName: Ascherit Race: Terran
ID : 2 PlayerName: Zepherd Race: Terran
ID : 3 PlayerName: witchcat Race: Terran
ID : 4 PlayerName: Meliodas Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: WildMutant Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Private Lobby

Game Length:[32:728]
Players ammount: 8
Marine rank avg: 20,333333333333332
GrandMaster ammount: 5
PURCHASES: 
[00:572] Wooky Unlocked AssaultRifle
[00:651] Wooky Placed/Upgraded MiningDroid
[00:787] Wooky Unlocked AdvancedDroidEngines
[03:532] Wooky Unlocked SpecOpsAssaultRifle
[05:986] Wooky Unlocked AutoTargetingSystem
[06:699] Wooky Unlocked Shieldsiotunlocked
[08:011] Wooky Unlocked Stimpack
[08:868] Wooky Unlocked FragGrenade
[08:871] Wooky Unlocked SpecOpsFragGrenade
[10:723] Wooky Unlocked Teleporter
[10:765] Wooky Unlocked CombatShield
[10:771] Wooky Unlocked EnergyPack
[11:396] Wooky Unlocked OpticalVisor
[13:276] Wooky Unlocked MiningCharge
[13:319] Wooky Placed/Upgraded NukePack
[14:049] Wooky Placed/Upgraded NukePack
[14:191] Wooky Placed/Upgraded NukePack
[15:737] Wooky Unlocked MotionSensor
[15:791] Wooky Placed/Upgraded SensorTower
[17:554] Wooky Unlocked AdvancedShieldSuit
[20:741] Wooky Placed/Upgraded NukePack
[20:956] Wooky Placed/Upgraded NukePack
[21:650] Wooky Placed/Upgraded NukePack
[23:660] Wooky Placed/Upgraded NukePack
[26:434] Wooky Placed/Upgraded NukePack
[26:838] Wooky Placed/Upgraded NukePack
[29:403] Wooky Placed/Upgraded NukePack
[29:855] Wooky Placed/Upgraded NukePack
[00:572] Ascherit Unlocked AssaultRifle
[00:651] Ascherit Placed/Upgraded MiningDroid
