Analyzed: Oh No It's Zombies Arctic Map (58)

ID : 0 PlayerName: Steiryl Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: HulkSmash Race: Zerg
ID : 3 PlayerName: Dawnseeker Race: Terran
ID : 4 PlayerName: SKYTOSS Race: Terran
ID : 5 PlayerName: Joy Race: Terran
ID : 6 PlayerName: Salem Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
HulkSmash Zombie Win
Public Lobby

Game Length:[34:695]
Players ammount: 8
Marine rank avg: 3,8333333333333335
GrandMaster ammount: 2
PURCHASES: 
[00:572] Steiryl Unlocked AssaultRifle
[00:651] Steiryl Placed/Upgraded MiningDroid
[00:718] Steiryl Unlocked AdvancedDroidEngines
[03:273] Steiryl Unlocked TurboDroidEngines
[05:777] Steiryl Unlocked Stimpack
[07:495] Steiryl Unlocked Shotgun
[08:511] Steiryl Unlocked Shieldsiotunlocked
[10:840] Steiryl Unlocked SpecOpsShotgun
[10:879] Steiryl Unlocked HighPrecisionBeams
[12:508] Steiryl Unlocked AdvancedShieldSuit
[12:567] Steiryl Unlocked BioMechanicalRepairDrone
[12:583] Steiryl Unlocked SpecOpsBioMechanicalRepairDrone
[14:279] Steiryl Unlocked SuperStimpack
[16:260] Steiryl Unlocked EnergyPack
[16:267] Steiryl Unlocked CombatShield
[17:366] Steiryl Placed/Upgraded HealingDrone
[21:167] Steiryl Placed/Upgraded MiningDroid
[22:346] Steiryl Unlocked OpticalVisor
[22:422] Steiryl Unlocked MiningCharge
[22:430] Steiryl Unlocked AdvancedMiningCharge
[23:260] Steiryl Placed/Upgraded HealingDrone
[23:505] Steiryl Placed/Upgraded HealingDrone
[25:376] Steiryl Placed/Upgraded HealingDrone
[28:493] Steiryl Placed/Upgraded NukePack
[28:816] Steiryl Placed/Upgraded NukePack
[28:850] Steiryl Placed/Upgraded HealingDrone
[29:439] Steiryl Placed/Upgraded HealingDrone
[32:730] Steiryl Placed/Upgraded HealingDrone
[32:845] Steiryl Placed/Upgraded NukePack
[32:901] Steiryl Placed/Upgraded HealingDrone
[33:404] Steiryl Placed/Upgraded HealingDrone
[00:572] Frosky Unlocked AssaultRifle
[00:651] Frosky Placed MiningDroid
[00:709] Frosky Unlocked IncendiaryGrenade
[02:500] Frosky Unlocked Shotgun
[04:442] Frosky Unlocked ExplorationDroid
[04:459] Frosky Placed ExplorationDroid
[04:466] Frosky Placed ExplorationDroid
[04:600] Frosky Unlocked AdvancedDroidEngines
[08:222] Frosky Placed MiningDroid
[08:512] Frosky Bought ShieldSuit
[08:512] Frosky Bought CombatSuit
[08:512] Frosky Bought HazmatSuit
[08:512] Frosky Bought ShieldSuit
[10:683] Frosky Unlocked SpecOpsShotgun
[12:509] Frosky Bought ShieldSuit
[14:623] Frosky Unlocked MedicShield
[14:653] Frosky Unlocked Stimpack
[14:678] Frosky Unlocked HazmatSuit
[16:655] Frosky Unlocked SuperStimpack
[17:483] Frosky Unlocked BioMechanicalRepairDrone
[17:899] Frosky Placed HealingDrone
[22:436] Frosky Unlocked AdvancedHazmatSuit
[22:763] Frosky Placed HealingDrone
[23:443] Frosky Placed HealingDrone
[23:730] Frosky Placed HealingDrone
