Analyzed: Oh No It's Zombies Arctic Map (60)

ID : 0 PlayerName: Isoton Race: Terran
ID : 1 PlayerName: BurtMacklin Race: Terran
ID : 2 PlayerName: BardBard Race: Terran
ID : 3 PlayerName: Commander Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: VandalCrow Race: Terran
ID : 6 PlayerName: BuckNasty Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Win
Public Lobby

Game Length:[29:213]
Players ammount: 8
Marine rank avg: 14,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:572] Isoton Unlocked AssaultRifle
[01:518] Isoton Placed/Upgraded MiningDroid
[02:858] Isoton Unlocked IncendiaryGrenade
[02:861] Isoton Unlocked SpecOpsIncendiaryGrenade
[07:069] Isoton Unlocked AdvancedDroidEngines
[07:079] Isoton Unlocked TurboDroidEngines
[10:590] Isoton Unlocked Stimpack
[10:685] Isoton Unlocked Flamethrower
[10:768] Isoton Unlocked SpecOpsFlamethrower
[10:837] Isoton Unlocked ThermiteFilaments
[11:204] Isoton Unlocked Shieldsiotunlocked
[14:200] Isoton Unlocked AdvancedShieldSuit
[14:244] Isoton Unlocked EnergyPack
[14:269] Isoton Unlocked CombatShield
[14:475] Isoton Unlocked AIAssistant
[14:591] Isoton Unlocked SuperHealingDrone
[16:382] Isoton Unlocked AutoTurret
[16:395] Isoton Unlocked FlameTurret
[16:473] Isoton Placed/Upgraded AutoTurret
[20:005] Isoton Placed/Upgraded AutoTurret
[27:292] Isoton Unlocked SpecOpsSuperHealingDrone
[00:572] BurtMacklin Unlocked AssaultRifle
[00:735] BurtMacklin Placed/Upgraded MiningDroid
[00:790] BurtMacklin Unlocked Stimpack
[01:661] BurtMacklin Unlocked IncendiaryGrenade
[02:966] BurtMacklin Unlocked HellfireRocketLauncher
[04:849] BurtMacklin Unlocked MiningCharge
[05:413] BurtMacklin Placed/Upgraded NukePack
[06:995] BurtMacklin Unlocked SpecOpsHellfireRocketLauncher
[07:878] BurtMacklin Unlocked ShockwaveMissiles
[09:504] BurtMacklin Unlocked MedicShield
[09:545] BurtMacklin Unlocked MotionSensor
[10:545] BurtMacklin Placed/Upgraded SensorTower
[11:108] BurtMacklin Placed/Upgraded SensorTower
[11:205] BurtMacklin Bought ShieldSuit
[11:205] BurtMacklin Bought CombatSuit
[11:205] BurtMacklin Bought HazmatSuit
[11:205] BurtMacklin Bought ShieldSuit
[11:618] BurtMacklin Placed/Upgraded SensorTower
[12:216] BurtMacklin Placed/Upgraded SensorTower
[13:745] BurtMacklin Unlocked ExplorationDroid
[13:784] BurtMacklin Placed/Upgraded ExplorationDroid
[13:808] BurtMacklin Placed/Upgraded ExplorationDroid
[14:201] BurtMacklin Bought ShieldSuit
