Analyzed: Oh No It's Zombies Arctic Map (65)

ID : 0 PlayerName: Isoton Race: Zerg
ID : 1 PlayerName: Partisan Race: Terran
ID : 2 PlayerName: godseyedeath Race: Terran
ID : 3 PlayerName: sam Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: marekow Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Isoton Zombie Loss
Public Lobby

Game Length:[39:793]
Players ammount: 7
Marine rank avg: 8,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[02:983] Isoton Spawned MassiveCocoon
[04:423] Isoton Spawned Hunter
[06:101] Isoton Bought StrainSpeed
[06:107] Isoton Bought PureStrainSpeed
[06:114] Isoton Bought HunterlingStrain
[06:990] Isoton Bought CreepSpeed
[10:473] Isoton Bought StrainSpeed
[10:481] Isoton Bought PureStrainSpeed
[11:978] Isoton Bought UnlockDropPods
[12:956] Isoton Bought EvolveDropPods
[12:974] Isoton Bought EvolveDropPods
[14:535] Isoton Bought HunterlingStrain
[15:768] Isoton Bought BuildExtractorScienceLabs
[15:768] Isoton Placed/Upgraded AutomatedExtractor
[16:656] Isoton Bought AdvancedPowerInfestation
[17:329] Isoton Bought StrainVolatile
[18:030] Isoton Bought BuildExtractorProcessingFacilities
[18:030] Isoton Placed/Upgraded AutomatedExtractor
[18:056] Isoton Placed/Upgraded Virophage
[19:020] Isoton Bought SiphonFuel
[20:537] Isoton Spawned MassiveCocoon
[21:300] Isoton Bought SpawnNydusWorm
[21:404] Isoton Bought BuildExtractorExcavationZone
[21:404] Isoton Placed/Upgraded AutomatedExtractor
[21:447] Isoton Placed/Upgraded Virophage
[21:519] Isoton Placed/Upgraded LesserNydusWorm
[21:520] Isoton Bought GreaterNydus
[21:617] Isoton Spawned Underseer
[22:007] Isoton Placed/Upgraded GreaterNydusWorm
[22:643] Isoton Bought SiphonFuel
[22:668] Isoton Bought EvolveDropPods
[23:754] Isoton Bought AdvancedInfestationSecurity
[23:766] Isoton Bought AdvancedInfestationContainment
[25:536] Isoton Bought SiphonFuel
[26:278] Isoton Bought EvolveDropPods
[26:282] Isoton Bought EvolveDropPods
[26:285] Isoton Bought EvolveDropPods
[26:494] Isoton Bought CreepSpeed
[27:618] Isoton Bought TrackHumans
[28:013] Isoton Spawned MassiveCocoon
[28:121] Isoton Spawned MassiveCocoon
[28:824] Isoton Bought SiphonFuel
[29:453] Isoton Spawned Anubalisk
[29:561] Isoton Spawned Anubalisk
[30:230] Isoton Bought DropshipsFueled
[30:351] Isoton Bought UltimateInfestationResearched
[30:984] Isoton Placed/Upgraded GreaterNydusWorm
[31:386] Isoton Bought PureStrainVolatile
[31:394] Isoton Bought KaboomerStrain
[31:503] Isoton Bought StrainHealth
[33:737] Isoton Spawned MassiveCocoon
[33:812] Isoton Placed/Upgraded PrimalSunkenColony
[33:813] Isoton Bought SunkenColony
[34:129] Isoton Placed/Upgraded PrimalSunkenColony
[34:130] Isoton Bought SunkenColony
[34:764] Isoton Bought SunkenColony
[35:177] Isoton Spawned Anubalisk
[35:459] Isoton Bought PureStrainHealth
[36:139] Isoton Bought SunkenColony
[37:488] Isoton Bought BuildExtractorManufacturingSector
[37:488] Isoton Placed/Upgraded AutomatedExtractor
[37:592] Isoton Placed/Upgraded NydusCanalCreeper
[00:572] Partisan Unlocked AssaultRifle
[00:806] Partisan Placed/Upgraded MiningDroid
[00:981] Partisan Unlocked ArcWelder
[01:793] Partisan Unlocked BioMechanicalRepairDrone
[01:805] Partisan Unlocked CombatAccelerationDrone
[02:773] Partisan Placed/Upgraded HealingDrone
[02:907] Partisan Placed/Upgraded HealingDrone
[03:094] Partisan Placed/Upgraded HealingDrone
[03:343] Partisan Unlocked ExplorationDroid
[03:364] Partisan Placed/Upgraded ExplorationDroid
[04:201] Partisan Unlocked AdvancedExplorationDroid
[04:237] Partisan Placed/Upgraded ExplorationDroid
[04:311] Partisan Placed/Upgraded ExplorationDroid
[04:770] Partisan Placed/Upgraded ExplorationDroid
[05:387] Partisan Placed/Upgraded HealingDrone
[05:539] Partisan Placed/Upgraded HealingDrone
[06:127] Partisan Unlocked Stimpack
[07:405] Partisan Unlocked AdvancedDroidEngines
[08:227] Partisan Unlocked MedicShield
[08:245] Partisan Unlocked AIAssistant
[08:828] Partisan Unlocked TurboDroidEngines
[13:181] Partisan Unlocked AutoTurret
[13:192] Partisan Unlocked HeavyTurret
[13:201] Partisan Unlocked SpecOpsBioMechanicalRepairDrone
[13:219] Partisan Unlocked PsiDisrupter
[13:230] Partisan Unlocked PsiDepressor
[13:391] Partisan Placed/Upgraded PsiIndoctrinator
[13:676] Partisan Placed/Upgraded PsiIndoctrinator
[14:051] Partisan Placed/Upgraded PsiIndoctrinator
[14:817] Partisan Unlocked EnergySuit
[14:818] Partisan Unlocked ShieldSuit
[14:818] Partisan Unlocked AdvancedShieldSuit
[14:818] Partisan Unlocked CombatSuit
[14:818] Partisan Unlocked AdvancedCombatSuit
[14:818] Partisan Unlocked HazmatSuit
[14:818] Partisan Unlocked AdvancedHazmatSuit
[14:818] Partisan Unlocked EnergySuit
[14:824] Partisan Unlocked AdvancedEnergySuit
[14:825] Partisan Unlocked EnergySuit
[14:825] Partisan Unlocked AdvancedEnergySuit
[14:886] Partisan Unlocked MiningCharge
[14:894] Partisan Unlocked AdvancedMiningCharge
[16:704] Partisan Unlocked QuantumBackpack
[19:649] Partisan Unlocked RechargeDrone
[19:816] Partisan Unlocked SpecOpsArcWelder
[19:831] Partisan Unlocked ArcWelderMod1
[19:946] Partisan Unlocked ForceFieldGrenade
[19:958] Partisan Unlocked SpecOpsForcefieldGrenade
[21:334] Partisan Placed/Upgraded PsiIndoctrinator
[21:438] Partisan Placed/Upgraded AutoTurret
