Analyzed: Oh No It's Zombies Arctic Map (77)

ID : 0 PlayerName: ProDem Race: Zerg
ID : 1 PlayerName: MarFly Race: Terran
ID : 2 PlayerName: Dawnseeker Race: Terran
ID : 3 PlayerName: Harto Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: Yello Race: Terran
ID : 6 PlayerName: Partisan Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
ProDem Zombie Win
Private Lobby

Game Length:[35:730]
Players ammount: 8
Marine rank avg: 24,666666666666668
GrandMaster ammount: 5
PURCHASES: 
[00:649] ProDem Spawned MassiveCocoon
[02:089] ProDem Spawned InfestedAbomination
[03:121] ProDem Bought UnlockDropPods
[04:415] ProDem Spawned MassiveCocoon
[05:591] ProDem Bought EvolveDropPods
[05:976] ProDem Bought EvolveDropPods
[06:562] ProDem Bought EvolveDropPods
[07:225] ProDem Bought EvolveDropPods
[08:270] ProDem Bought EvolveDropPods
[08:742] ProDem Spawned MassiveCocoon
[09:822] ProDem Spawned Underseer
[09:828] ProDem Bought EvolveDropPods
[13:284] ProDem Bought BuildExtractorScienceLabs
[13:284] ProDem Placed/Upgraded AutomatedExtractor
[13:366] ProDem Bought BuildExtractorManufacturingSector
[13:366] ProDem Placed/Upgraded AutomatedExtractor
[13:834] ProDem Bought BuildExtractorScienceLabs
[14:292] ProDem Bought ExtractorCostReductionManufacturingSector
[14:292] ProDem Bought BuildExtractorManufacturingSector
[15:823] ProDem Bought StrainHealth
[15:829] ProDem Bought StrainHealth
[17:168] ProDem Placed/Upgraded PrimalSunkenColony
[17:169] ProDem Bought SunkenColony
[17:464] ProDem Bought SunkenColony
[17:589] ProDem Bought PureStrainHealth
[18:174] ProDem Bought PureStrainHealth
[19:154] ProDem Placed/Upgraded Virophage
[19:297] ProDem Placed/Upgraded NydusCanalCreeper
[20:959] ProDem Placed/Upgraded LesserNydusWorm
[20:960] ProDem Bought GreaterNydus
[21:463] ProDem Bought GreaterNydus
[21:520] ProDem Bought TankStrain
[21:736] ProDem Bought CreepSpeed
[23:342] ProDem Spawned MassiveCocoon
[23:728] ProDem Bought BuildExtractorScienceLabs
[23:728] ProDem Placed/Upgraded AutomatedExtractor
[24:241] ProDem Bought BuildExtractorManufacturingSector
