Analyzed: Oh No It's Zombies Arctic Map (91)

ID : 0 PlayerName: Katyusha Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: IIIIIIIIIIII Race: Terran
ID : 3 PlayerName: wydjaz Race: Terran
ID : 4 PlayerName: Jmsslayer Race: Terran
ID : 5 PlayerName: katus Race: Terran
ID : 6 PlayerName: tugak Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Private Lobby

Game Length:[34:300]
Players ammount: 8
Marine rank avg: 19,5
GrandMaster ammount: 4
PURCHASES: 
[00:572] Katyusha Unlocked AssaultRifle
[00:651] Katyusha Placed MiningDroid
[00:701] Katyusha Unlocked HellfireRocketLauncher
[03:946] Katyusha Unlocked Stimpack
[08:039] Katyusha Unlocked AdvancedDroidEngines
[08:557] Katyusha Unlocked TurboDroidEngines
[10:826] Katyusha Unlocked SpecOpsHellfireRocketLauncher
[11:314] Katyusha Unlocked ShockwaveMissiles
[12:330] Katyusha Placed MiningDroid
[13:683] Katyusha Unlocked ExplorationDroid
[13:897] Katyusha Placed ExplorationDroid
[13:903] Katyusha Placed ExplorationDroid
[14:758] Katyusha Unlocked AdvancedExplorationDroid
[15:928] Katyusha Unlocked Teleporter
[16:119] Katyusha Placed ExplorationDroid
[16:128] Katyusha Placed ExplorationDroid
[17:211] Katyusha Unlocked CombatShield
[19:425] Katyusha Unlocked CombatSuit
[21:043] Katyusha Unlocked AdvancedCombatSuit
[25:426] Katyusha Placed ExplorationDroid
[26:901] Katyusha Unlocked MiningCharge
[28:682] Katyusha Placed NukePack
[31:866] Katyusha Placed NukePack
[00:568] Frosky Bought PlayerNumber
[01:245] Frosky Spawned MassiveCocoon
[02:685] Frosky Spawned Hunter
[03:462] Frosky Spawned MassiveCocoon
[04:902] Frosky Spawned Hunter
[06:474] Frosky Bought CreepSpeed
[10:163] Frosky Bought CreepSpeed
[12:053] Frosky Bought UnlockDropPods
[12:324] Frosky Bought EvolveDropPods
[13:563] Frosky Bought VirulentCreep
[13:563] Frosky Bought VirulentCreep
[14:531] Frosky Spawned MassiveCocoon
[15:223] Frosky Bought EvolveDropPods
[15:224] Frosky Bought EvolveDropPods
[15:545] Frosky Bought StrainVolatile
[15:971] Frosky Spawned PrimalTownHallUprooted
[17:922] Frosky Bought BuildExtractorManufacturingSector
[17:922] Frosky Placed/Upgraded AutomatedExtractor
[18:165] Frosky Bought StrainHealth
[19:186] Frosky Placed/Upgraded Virophage
[19:426] Frosky Bought ShieldSuit
[19:426] Frosky Bought CombatSuit
[19:426] Frosky Bought HazmatSuit
[19:426] Frosky Bought CombatSuit
[19:455] Frosky Bought EvolveDropPods
[19:458] Frosky Bought EvolveDropPods
[21:044] Frosky Bought CombatSuit
[21:091] Frosky Bought BuildExtractorExcavationZone
[21:091] Frosky Placed/Upgraded AutomatedExtractor
[21:123] Frosky Bought BuildExtractorScienceLabs
[21:123] Frosky Placed/Upgraded AutomatedExtractor
[22:217] Frosky Bought BuildExtractorExcavationZone
[23:826] Frosky Bought PureStrainHealth
[23:846] Frosky Bought StrainSpeed
[24:414] Frosky Bought DropshipsFueled
[24:568] Frosky Bought UltimateInfestationResearched
[24:719] Frosky Bought GreaterNydus
[24:775] Frosky Placed/Upgraded PrimalSunkenColony
[24:776] Frosky Bought SunkenColony
[24:916] Frosky Bought GreaterNydus
[25:016] Frosky Placed/Upgraded NydusCanalCreeper
[25:105] Frosky Bought GreaterNydus
[25:227] Frosky Bought GreaterNydus
[25:811] Frosky Bought GreaterNydus
[26:167] Frosky Bought GreaterNydus
[26:351] Frosky Bought StrainSpeed
[26:357] Frosky Bought PureStrainSpeed
[26:368] Frosky Bought HunterlingStrain
[26:426] Frosky Bought GreaterNydus
[26:574] Frosky Bought ExtractorCostReductionManufacturingSector
[26:574] Frosky Bought BuildExtractorManufacturingSector
[26:773] Frosky Placed/Upgraded NydusCanalCreeper
[27:181] Frosky Bought GreaterNydus
[27:294] Frosky Placed/Upgraded PrimalSunkenColony
[27:295] Frosky Bought SunkenColony
[27:371] Frosky Bought GreaterNydus
[27:711] Frosky Bought SpawnNydusWorm
[28:129] Frosky Placed/Upgraded NydusCanalCreeper
[28:181] Frosky Bought PureStrainSpeed
[28:371] Frosky Spawned MassiveCocoon
[28:909] Frosky Bought GreaterNydus
[29:451] Frosky Spawned Underseer
[29:583] Frosky Placed/Upgraded NydusCanalCreeper
[29:825] Frosky Spawned MassiveCocoon
[29:828] Frosky Placed/Upgraded GreaterNydusWorm
[30:003] Frosky Spawned MassiveCocoon
[30:852] Frosky Spawned MassiveCocoon
[30:878] Frosky Spawned MassiveCocoon
[31:005] Frosky Bought EvolveDropPods
[31:083] Frosky Spawned Underseer
[31:265] Frosky Spawned Anubalisk
[31:741] Frosky Placed/Upgraded NydusCanalCreeper
[32:292] Frosky Spawned Anubalisk
[32:318] Frosky Spawned Anubalisk
[00:572] IIIIIIIIIIII Unlocked AssaultRifle
[00:651] IIIIIIIIIIII Placed/Upgraded MiningDroid
[00:757] IIIIIIIIIIII Unlocked AdvancedDroidEngines
[03:959] IIIIIIIIIIII Unlocked Shotgun
[05:747] IIIIIIIIIIII Unlocked Stimpack
[07:336] IIIIIIIIIIII Unlocked SpecOpsShotgun
[09:110] IIIIIIIIIIII Unlocked HighPrecisionBeams
[10:902] IIIIIIIIIIII Unlocked SuperStimpack
[11:344] IIIIIIIIIIII Unlocked OpticalVisor
[12:422] IIIIIIIIIIII Unlocked BioMechanicalRepairDrone
[12:504] IIIIIIIIIIII Placed/Upgraded HealingDrone
[13:068] IIIIIIIIIIII Placed/Upgraded HealingDrone
[13:592] IIIIIIIIIIII Placed/Upgraded HealingDrone
[15:502] IIIIIIIIIIII Unlocked MiningCharge
[15:507] IIIIIIIIIIII Unlocked AdvancedMiningCharge
[15:591] IIIIIIIIIIII Placed/Upgraded HealingDrone
[17:970] IIIIIIIIIIII Placed/Upgraded HealingDrone
[18:131] IIIIIIIIIIII Unlocked HazmatSuit
[20:493] IIIIIIIIIIII Placed/Upgraded HealingDrone
[25:028] IIIIIIIIIIII Placed/Upgraded HealingDrone
[26:934] IIIIIIIIIIII Placed/Upgraded NukePack
[28:748] IIIIIIIIIIII Placed/Upgraded NukePack
[30:123] IIIIIIIIIIII Placed/Upgraded HealingDrone
[32:124] IIIIIIIIIIII Placed/Upgraded NukePack
[32:195] IIIIIIIIIIII Placed/Upgraded HealingDrone
[00:572] wydjaz Unlocked AssaultRifle
[01:854] wydjaz Placed/Upgraded MiningDroid
[02:147] wydjaz Unlocked AdvancedDroidEngines
[04:350] wydjaz Unlocked TurboDroidEngines
[05:644] wydjaz Unlocked MotionSensor
[05:867] wydjaz Placed/Upgraded SensorTower
[06:485] wydjaz Placed/Upgraded SensorTower
[08:662] wydjaz Placed/Upgraded SensorTower
[09:039] wydjaz Unlocked SpecOpsAssaultRifle
[11:327] wydjaz Unlocked CloakingDevice
[11:409] wydjaz Unlocked SpecOpsCloakingDevice
[15:475] wydjaz Placed/Upgraded MiningDroid
[17:094] wydjaz Unlocked TitaniumBulletCasings
[18:132] wydjaz Bought ShieldSuit
[18:132] wydjaz Bought CombatSuit
[18:132] wydjaz Bought HazmatSuit
[18:132] wydjaz Bought HazmatSuit
[22:167] wydjaz Placed/Upgraded MiningDroid
[00:572] Jmsslayer Unlocked AssaultRifle
[00:651] Jmsslayer Placed/Upgraded MiningDroid
[00:721] Jmsslayer Unlocked AdvancedDroidEngines
[01:858] Jmsslayer Unlocked FragGrenade
[02:605] Jmsslayer Unlocked SpecOpsFragGrenade
[06:157] Jmsslayer Unlocked TurboDroidEngines
[08:415] Jmsslayer Unlocked Teleporter
[11:999] Jmsslayer Unlocked SpecOpsTeleporter
[13:213] Jmsslayer Placed/Upgraded MiningDroid
[16:342] Jmsslayer Unlocked EnergySuit
[16:343] Jmsslayer Unlocked EnergySuit
[17:751] Jmsslayer Placed/Upgraded MiningDroid
[19:226] Jmsslayer Unlocked BioMechanicalRepairDrone
[19:432] Jmsslayer Placed/Upgraded HealingDrone
[23:634] Jmsslayer Placed/Upgraded MiningDroid
[28:643] Jmsslayer Unlocked HellfireRocketLauncher
[29:431] Jmsslayer Unlocked SpecOpsHellfireRocketLauncher
[30:855] Jmsslayer Placed/Upgraded HealingDrone
[32:510] Jmsslayer Placed/Upgraded HealingDrone
[33:159] Jmsslayer Placed/Upgraded HealingDrone
[00:572] katus Unlocked AssaultRifle
[00:651] katus Placed/Upgraded MiningDroid
[00:919] katus Unlocked BeamRifle
[03:372] katus Unlocked AdvancedDroidEngines
[05:390] katus Unlocked SuperStimpack
[06:162] katus Unlocked SpecOpsPlasmaRifle
[07:732] katus Unlocked OverloadWeapon
[10:608] katus Unlocked TurboDroidEngines
[13:232] katus Unlocked CombatSuit
[13:245] katus Unlocked AdvancedCombatSuit
[14:770] katus Unlocked CorrosivePlasma
[15:799] katus Unlocked SpecOpsSuperStimpack
[16:343] katus Bought ShieldSuit
[16:343] katus Bought CombatSuit
[16:343] katus Bought HazmatSuit
[18:465] katus Unlocked CombatShield
[18:511] katus Unlocked EnergyPack
[18:599] katus Unlocked OpticalVisor
[18:830] katus Unlocked AutoTurret
[20:608] katus Placed/Upgraded AutoTurret
[20:782] katus Placed/Upgraded AutoTurret
[21:256] katus Placed/Upgraded AutoTurret
[21:652] katus Placed/Upgraded AutoTurret
[24:095] katus Placed/Upgraded AutoTurret
[27:029] katus Placed/Upgraded AutoTurret
[29:275] katus Placed/Upgraded AutoTurret
[30:116] katus Placed/Upgraded AutoTurret
[30:925] katus Placed/Upgraded AutoTurret
[31:147] katus Placed/Upgraded AutoTurret
[32:250] katus Placed/Upgraded AutoTurret
[00:572] tugak Unlocked AssaultRifle
[04:612] tugak Unlocked AdvancedDroidEngines
[04:875] tugak Unlocked TurboDroidEngines
[08:024] tugak Unlocked AutoTurret
[09:032] tugak Unlocked Stimpack
[10:319] tugak Unlocked CloakingDevice
[12:736] tugak Unlocked FlashBang
[13:233] tugak Bought ShieldSuit
[13:233] tugak Bought CombatSuit
[13:233] tugak Bought HazmatSuit
[13:233] tugak Bought CombatSuit
[13:246] tugak Bought CombatSuit
[13:361] tugak Unlocked ExplorationDroid
[15:248] tugak Unlocked Shotgun
[16:044] tugak Unlocked SpecOpsShotgun
[18:476] tugak Unlocked ConcussiveShot
[18:563] tugak Unlocked BioMechanicalRepairDrone
Frosky First Alpha Hunter |  Loss

Frosky Placed 1 Greaters.
--------------------------------
