Analyzed: Oh No It's Zombies Arctic Map (99)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: MrLoaf Race: Terran
ID : 2 PlayerName: Porpoise Race: Terran
ID : 3 PlayerName: EFighter Race: Terran
ID : 4 PlayerName: Betsafe Race: Zerg
ID : 5 PlayerName: HalfpastMatt Race: Terran
ID : 6 PlayerName: allolefort Race: Terran
ID : 7 PlayerName: Security Race: Terran
Betsafe Zombie Loss
Public Lobby

Game Length:[34:263]
Players ammount: 8
Marine rank avg: 2,6666666666666665
GrandMaster ammount: 1
PURCHASES: 
[00:572] Frosky Unlocked AssaultRifle
[00:693] Frosky Unlocked ArcWelder
[01:001] Frosky Placed/Upgraded MiningDroid
[01:937] Frosky Unlocked BioMechanicalRepairDrone
[01:949] Frosky Unlocked CombatAccelerationDrone
[02:229] Frosky Placed/Upgraded HealingDrone
[03:338] Frosky Placed/Upgraded HealingDrone
[03:537] Frosky Placed/Upgraded HealingDrone
[03:686] Frosky Placed/Upgraded HealingDrone
[04:898] Frosky Unlocked AutoTurret
[04:963] Frosky Unlocked HeavyTurret
[05:133] Frosky Placed/Upgraded AutoTurret
[05:310] Frosky Placed/Upgraded AutoTurret
[05:854] Frosky Unlocked ExplorationDroid
[05:880] Frosky Placed/Upgraded ExplorationDroid
[05:891] Frosky Placed/Upgraded ExplorationDroid
[06:810] Frosky Placed/Upgraded ExplorationDroid
[07:352] Frosky Placed/Upgraded AutoTurret
[07:495] Frosky Placed/Upgraded AutoTurret
[08:464] Frosky Placed/Upgraded AutoTurret
[08:623] Frosky Placed/Upgraded AutoTurret
[09:147] Frosky Unlocked Stimpack
[09:930] Frosky Placed/Upgraded AutoTurret
[10:199] Frosky Placed/Upgraded AutoTurret
[10:444] Frosky Placed/Upgraded AutoTurret
[10:737] Frosky Placed/Upgraded AutoTurret
[11:993] Frosky Placed/Upgraded AutoTurret
[12:128] Frosky Placed/Upgraded AutoTurret
[12:292] Frosky Placed/Upgraded AutoTurret
[12:441] Frosky Placed/Upgraded AutoTurret
[14:000] Frosky Unlocked AdvancedDroidEngines
[14:678] Frosky Unlocked TurboDroidEngines
[14:709] Frosky Unlocked AIAssistant
[16:165] Frosky Unlocked CombatSuit
[16:172] Frosky Unlocked AdvancedCombatSuit
[16:984] Frosky Unlocked PsiDisrupter
[17:106] Frosky Placed/Upgraded PsiIndoctrinator
[18:413] Frosky Placed/Upgraded PsiIndoctrinator
[18:485] Frosky Unlocked MotionSensor
[18:604] Frosky Placed/Upgraded SensorTower
[19:615] Frosky Placed/Upgraded PsiIndoctrinator
[22:451] Frosky Unlocked PsiDepressor
[22:568] Frosky Placed/Upgraded PsiIndoctrinator
[23:235] Frosky Unlocked MiningCharge
[23:242] Frosky Unlocked AdvancedMiningCharge
[23:341] Frosky Placed/Upgraded NukePack
[23:567] Frosky Placed/Upgraded NukePack
[24:464] Frosky Unlocked QuantumBackpack
[24:472] Frosky Unlocked CombatShield
[24:623] Frosky Unlocked SpecOpsArcWelder
[24:793] Frosky Unlocked ArcWelderMod1
[25:612] Frosky Placed/Upgraded NukePack
[27:595] Frosky Placed/Upgraded AutoTurret
[27:713] Frosky Placed/Upgraded AutoTurret
[29:505] Frosky Placed/Upgraded AutoTurret
[29:683] Frosky Placed/Upgraded AutoTurret
[30:186] Frosky Placed/Upgraded AutoTurret
[30:285] Frosky Placed/Upgraded AutoTurret
[30:879] Frosky Placed/Upgraded AutoTurret
[31:513] Frosky Placed/Upgraded AutoTurret
[32:230] Frosky Placed/Upgraded AutoTurret
[32:371] Frosky Placed/Upgraded AutoTurret
[00:572] MrLoaf Unlocked AssaultRifle
[00:748] MrLoaf Placed/Upgraded MiningDroid
[00:935] MrLoaf Unlocked AdvancedDroidEngines
[03:359] MrLoaf Unlocked TurboDroidEngines
[04:823] MrLoaf Unlocked SpecOpsAssaultRifle
[06:493] MrLoaf Unlocked TitaniumBulletCasings
[06:611] MrLoaf Unlocked MedicShield
[07:653] MrLoaf Unlocked SuperStimpack
[09:154] MrLoaf Unlocked Stimpack
[09:275] MrLoaf Unlocked AIAssistant
[11:766] MrLoaf Unlocked SpecOpsSuperStimpack
[11:917] MrLoaf Unlocked AutoTurret
[12:053] MrLoaf Unlocked SpecOpsTurret
[12:396] MrLoaf Unlocked BioMechanicalRepairDrone
[13:345] MrLoaf Placed/Upgraded HealingDrone
[13:955] MrLoaf Placed/Upgraded HealingDrone
[14:345] MrLoaf Unlocked QuantumBackpack
[14:401] MrLoaf Unlocked SpecOpsBioMechanicalRepairDrone
[14:424] MrLoaf Unlocked HeavyTurret
[14:453] MrLoaf Unlocked RechargeDrone
[14:839] MrLoaf Placed/Upgraded HealingDrone
[16:166] MrLoaf Bought ShieldSuit
[16:166] MrLoaf Bought CombatSuit
[16:166] MrLoaf Bought HazmatSuit
[16:166] MrLoaf Bought CombatSuit
[16:173] MrLoaf Bought CombatSuit
[18:491] MrLoaf Unlocked HazmatSuit
[18:607] MrLoaf Unlocked AdvancedHazmatSuit
[18:918] MrLoaf Placed/Upgraded HealingDrone
[19:154] MrLoaf Placed/Upgraded HealingDrone
[19:592] MrLoaf Placed/Upgraded HealingDrone
[19:840] MrLoaf Placed/Upgraded AutoTurret
[20:276] MrLoaf Placed/Upgraded AutoTurret
[21:134] MrLoaf Placed/Upgraded AutoTurret
[23:208] MrLoaf Unlocked MiningCharge
[23:221] MrLoaf Unlocked AdvancedMiningCharge
[23:229] MrLoaf Unlocked ExplorationDroid
[23:284] MrLoaf Unlocked PsiDisrupter
[23:303] MrLoaf Unlocked PsiDepressor
[24:928] MrLoaf Placed/Upgraded MiningDroid
[25:947] MrLoaf Placed/Upgraded PsiIndoctrinator
[26:304] MrLoaf Placed/Upgraded ExplorationDroid
[26:320] MrLoaf Placed/Upgraded ExplorationDroid
[26:589] MrLoaf Placed/Upgraded PsiIndoctrinator
[27:184] MrLoaf Placed/Upgraded HealingDrone
[27:326] MrLoaf Placed/Upgraded ExplorationDroid
[29:340] MrLoaf Placed/Upgraded HealingDrone
[30:089] MrLoaf Placed/Upgraded HealingDrone
[31:020] MrLoaf Placed/Upgraded AutoTurret
[31:082] MrLoaf Placed/Upgraded NukePack
[31:465] MrLoaf Placed/Upgraded HealingDrone
[32:284] MrLoaf Placed/Upgraded HealingDrone
[00:572] Porpoise Unlocked AssaultRifle
[00:683] Porpoise Placed/Upgraded MiningDroid
[01:626] Porpoise Unlocked AdvancedDroidEngines
[03:954] Porpoise Unlocked TurboDroidEngines
[05:963] Porpoise Unlocked SpecOpsAssaultRifle
[06:340] Porpoise Unlocked TitaniumBulletCasings
[12:144] Porpoise Unlocked CombatSuit
[12:170] Porpoise Unlocked AdvancedCombatSuit
[12:317] Porpoise Unlocked Stimpack
[13:640] Porpoise Unlocked PsiDisrupter
[13:689] Porpoise Unlocked SpecOpsPsiDisruptor
[14:012] Porpoise Placed/Upgraded PsiIndoctrinator
[17:162] Porpoise Unlocked CombatShield
[17:408] Porpoise Unlocked OpticalVisor
[17:552] Porpoise Unlocked QuantumBackpack
