Analyzed: Oh No It's Zombies Arctic Updated (103)

ID : 0 PlayerName: ArcAngel Race: Terran
ID : 1 PlayerName: Jzrocket Race: Terran
ID : 2 PlayerName: Lionbane Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: MajorTom Race: Terran
ID : 5 PlayerName: TorTatori Race: Terran
ID : 6 PlayerName: BuildAWall Race: Zerg
ID : 7 PlayerName: Security Race: Terran Tychus
BuildAWall Zombie Win
Public Lobby

Game Length:[41:708]
Players ammount: 8
Marine rank avg: 4
GrandMaster ammount: 1
PURCHASES: 
[00:588] ArcAngel Unlocked AssaultRifle
[00:708] ArcAngel Placed/Upgraded MiningDroid
[00:758] ArcAngel Unlocked AdvancedDroidEngines
[00:945] ArcAngel Unlocked FragGrenade
[05:530] ArcAngel Placed/Upgraded MiningDroid
[08:543] ArcAngel Unlocked SpecOpsAssaultRifle
[09:759] ArcAngel Unlocked AutoTurret
[09:939] ArcAngel Unlocked HeavyTurret
[10:678] ArcAngel Placed/Upgraded AutoTurret
[11:461] ArcAngel Placed/Upgraded AutoTurret
[12:200] ArcAngel Placed/Upgraded AutoTurret
[12:845] ArcAngel Placed/Upgraded AutoTurret
[13:277] ArcAngel Placed/Upgraded AutoTurret
[13:877] ArcAngel Placed/Upgraded AutoTurret
[16:178] ArcAngel Unlocked Stimpack
[16:362] ArcAngel Placed/Upgraded AutoTurret
[16:892] ArcAngel Placed/Upgraded AutoTurret
[18:203] ArcAngel Placed/Upgraded AutoTurret
[18:418] ArcAngel Placed/Upgraded AutoTurret
[19:449] ArcAngel Placed/Upgraded AutoTurret
[20:199] ArcAngel Placed/Upgraded AutoTurret
[20:421] ArcAngel Unlocked TitaniumBulletCasings
[20:768] ArcAngel Unlocked SpecOpsFragGrenade
[21:801] ArcAngel Placed/Upgraded AutoTurret
[22:210] ArcAngel Unlocked CombatShield
[22:242] ArcAngel Unlocked EnergyPack
[22:308] ArcAngel Unlocked OpticalVisor
[23:964] ArcAngel Unlocked HazmatSuit
[23:976] ArcAngel Unlocked AdvancedHazmatSuit
[24:896] ArcAngel Placed/Upgraded AutoTurret
[25:814] ArcAngel Placed/Upgraded AutoTurret
[26:067] ArcAngel Placed/Upgraded AutoTurret
[29:747] ArcAngel Placed/Upgraded AutoTurret
[30:388] ArcAngel Unlocked SuperStimpack
[30:421] ArcAngel Unlocked SpecOpsSuperStimpack
[31:236] ArcAngel Placed/Upgraded AutoTurret
[32:003] ArcAngel Placed/Upgraded AutoTurret
[32:494] ArcAngel Placed/Upgraded AutoTurret
[33:007] ArcAngel Placed/Upgraded AutoTurret
[33:323] ArcAngel Placed/Upgraded AutoTurret
[00:588] Jzrocket Unlocked AssaultRifle
[00:836] Jzrocket Unlocked SpecOpsAssaultRifle
[00:971] Jzrocket Placed/Upgraded MiningDroid
[05:104] Jzrocket Unlocked TitaniumBulletCasings
[10:725] Jzrocket Unlocked Stimpack
[13:083] Jzrocket Unlocked AutoTurret
[13:091] Jzrocket Unlocked SpecOpsTurret
[13:185] Jzrocket Placed/Upgraded AutoTurret
[13:427] Jzrocket Placed/Upgraded AutoTurret
[15:622] Jzrocket Unlocked AdvancedDroidEngines
[16:883] Jzrocket Placed/Upgraded AutoTurret
[17:918] Jzrocket Placed/Upgraded AutoTurret
[18:620] Jzrocket Unlocked BioMechanicalRepairDrone
[19:698] Jzrocket Placed/Upgraded HealingDrone
[20:422] Jzrocket Placed/Upgraded AutoTurret
[20:823] Jzrocket Unlocked SpecOpsBioMechanicalRepairDrone
[21:932] Jzrocket Placed/Upgraded HealingDrone
[22:828] Jzrocket Placed/Upgraded AutoTurret
[23:618] Jzrocket Placed/Upgraded AutoTurret
[23:965] Jzrocket Bought ShieldSuit
[23:965] Jzrocket Bought CombatSuit
[23:965] Jzrocket Bought HazmatSuit
[23:965] Jzrocket Bought HazmatSuit
[23:977] Jzrocket Bought HazmatSuit
[24:536] Jzrocket Placed/Upgraded HealingDrone
[25:141] Jzrocket Placed/Upgraded HealingDrone
[27:908] Jzrocket Placed/Upgraded HealingDrone
[00:588] Lionbane Unlocked AssaultRifle
[00:803] Lionbane Placed/Upgraded MiningDroid
[00:921] Lionbane Unlocked FragGrenade
[00:937] Lionbane Unlocked SpecOpsFragGrenade
[07:593] Lionbane Unlocked AdvancedDroidEngines
[07:676] Lionbane Unlocked EnergyPack
[14:847] Lionbane Unlocked TurboDroidEngines
[14:973] Lionbane Unlocked CombatShield
[16:671] Lionbane Unlocked BeamRifle
[18:112] Lionbane Unlocked Teleporter
[23:254] Lionbane Placed/Upgraded MiningDroid
[23:418] Lionbane Unlocked SpecOpsPlasmaRifle
[24:775] Lionbane Unlocked AutoTurret
[25:757] Lionbane Unlocked SpecOpsTeleporter
[27:857] Lionbane Placed/Upgraded AutoTurret
[28:207] Lionbane Placed/Upgraded AutoTurret
[33:060] Lionbane Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:679] Frosky Placed/Upgraded MiningDroid
[00:996] Frosky Unlocked ArcWelder
[01:921] Frosky Unlocked AdvancedDroidEngines
[02:919] Frosky Unlocked BioMechanicalRepairDrone
[03:142] Frosky Unlocked CombatAccelerationDrone
[03:198] Frosky Placed/Upgraded HealingDrone
[04:264] Frosky Placed/Upgraded HealingDrone
[04:452] Frosky Placed/Upgraded HealingDrone
[04:698] Frosky Placed/Upgraded HealingDrone
[05:952] Frosky Unlocked TurboDroidEngines
[07:852] Frosky Unlocked SpecOpsArcWelder
[10:529] Frosky Unlocked MedicShield
[10:542] Frosky Unlocked EnergyPack
[10:698] Frosky Unlocked MotionSensor
[10:718] Frosky Unlocked AdvancedMotionSensor
[11:044] Frosky Placed/Upgraded SensorTower
[12:505] Frosky Unlocked PsiDisrupter
[12:811] Frosky Placed/Upgraded PsiIndoctrinator
[14:489] Frosky Unlocked AutoTurret
[14:691] Frosky Placed/Upgraded AutoTurret
[14:783] Frosky Placed/Upgraded AutoTurret
[15:134] Frosky Placed/Upgraded AutoTurret
[15:484] Frosky Unlocked FlameTurret
[16:041] Frosky Placed/Upgraded AutoTurret
[18:099] Frosky Placed/Upgraded AutoTurret
[19:093] Frosky Placed/Upgraded AutoTurret
[19:687] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[19:784] Frosky Placed/Upgraded HealingDrone
[20:374] Frosky Placed/Upgraded HealingDrone
[21:629] Frosky Unlocked HeavyTurret
[23:189] Frosky Unlocked QuantumBackpack
[23:814] Frosky Placed/Upgraded AutoTurret
[27:109] Frosky Unlocked ArcWelderMod3
[28:941] Frosky Unlocked MiningCharge
[29:010] Frosky Unlocked AdvancedMiningCharge
[29:230] Frosky Placed/Upgraded NukePack
[29:542] Frosky Placed/Upgraded NukePack
[29:759] Frosky Placed/Upgraded AutoTurret
[30:406] Frosky Placed/Upgraded AutoTurret
[32:052] Frosky Placed/Upgraded AutoTurret
[32:202] Frosky Placed/Upgraded AutoTurret
[33:181] Frosky Placed/Upgraded HealingDrone
[33:302] Frosky Placed/Upgraded HealingDrone
[34:753] Frosky Placed/Upgraded AutoTurret
[00:588] MajorTom Unlocked AssaultRifle
[02:088] MajorTom Unlocked AdvancedDroidEngines
[02:605] MajorTom Placed/Upgraded MiningDroid
[03:461] MajorTom Unlocked PsiDisrupter
[03:651] MajorTom Placed/Upgraded PsiIndoctrinator
[05:035] MajorTom Placed/Upgraded PsiIndoctrinator
[05:888] MajorTom Unlocked MotionSensor
[06:134] MajorTom Placed/Upgraded SensorTower
[06:683] MajorTom Placed/Upgraded SensorTower
