Analyzed: Oh No It's Zombies Arctic Updated (105)

ID : 0 PlayerName: Yello Race: Terran
ID : 1 PlayerName: Danny Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: EdiblMrPants Race: Zerg
ID : 4 PlayerName: Zakiah Race: Terran
ID : 5 PlayerName: Markuun Race: Terran
ID : 6 PlayerName: Commander Race: Terran
ID : 7 PlayerName: Security Race: Zerg
EdiblMrPants Zombie Loss
Public Lobby

Game Length:[33:533]
Players ammount: 8
Marine rank avg: 2,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] Yello Unlocked AssaultRifle
[00:722] Yello Placed/Upgraded MiningDroid
[00:925] Yello Unlocked HellfireRocketLauncher
[00:588] Danny Unlocked AssaultRifle
[00:667] Danny Placed/Upgraded MiningDroid
[02:313] Danny Unlocked SpecOpsAssaultRifle
[04:776] Danny Unlocked AdvancedDroidEngines
[05:251] Danny Unlocked OverloadWeapon
[05:970] Danny Unlocked PsiDisrupter
[07:121] Danny Placed/Upgraded PsiIndoctrinator
[08:179] Danny Placed/Upgraded PsiIndoctrinator
[09:366] Danny Unlocked TitaniumBulletCasings
[16:447] Danny Unlocked PsiDepressor
[16:570] Danny Placed/Upgraded MiningDroid
[16:625] Danny Unlocked AutoTurret
[18:078] Danny Placed/Upgraded AutoTurret
[18:294] Danny Unlocked HeavyTurret
[18:978] Danny Placed/Upgraded AutoTurret
[20:893] Danny Placed/Upgraded AutoTurret
[28:872] Danny Placed/Upgraded MiningDroid
[28:937] Danny Unlocked ExplorationDroid
[28:987] Danny Placed/Upgraded ExplorationDroid
[30:871] Danny Unlocked CombatSuit
[30:876] Danny Unlocked AdvancedCombatSuit
[30:984] Danny Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:794] Frosky Unlocked AdvancedDroidEngines
[03:258] Frosky Unlocked SpecOpsAssaultRifle
[04:845] Frosky Unlocked TurboDroidEngines
[06:291] Frosky Unlocked Stimpack
[07:276] Frosky Unlocked CombatSuit
[08:006] Frosky Unlocked AdvancedCombatSuit
