Analyzed: Oh No It's Zombies Arctic Updated (107)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: SteirylSleiy Race: Terran
ID : 2 PlayerName: Yello Race: Terran
ID : 3 PlayerName: Alphablood Race: Terran
ID : 4 PlayerName: Kirby Race: Terran
ID : 5 PlayerName: TheCatMaster Race: Terran
ID : 6 PlayerName: Swinty Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Frosky Zombie Loss
Public Lobby

Game Length:[39:014]
Players ammount: 8
Marine rank avg: 8,166666666666666
GrandMaster ammount: 1
PURCHASES: 
[00:877] Frosky Spawned MassiveCocoon
[03:189] Frosky Bought StrainDamage
[06:484] Frosky Bought CreepSpeed
[09:350] Frosky Bought CreepSpeed
[12:492] Frosky Bought StrainSpeed
[14:490] Frosky Bought PureStrainSpeed
[17:065] Frosky Bought StrainDamage
[18:820] Frosky Bought StrainSpeed
[19:864] Frosky Bought PureStrainSpeed
[21:800] Frosky Bought PureStrainDamage
[24:098] Frosky Bought DefilerStrain
[25:901] Frosky Bought HunterlingStrain
[26:361] Frosky Bought SiphonFuel
[26:793] Frosky Bought StrainSpeed
[28:243] Frosky Bought PureStrainDamage
[29:565] Frosky Bought DropshipsFueled
[30:641] Frosky Bought UltimateInfestationResearched
[31:111] Frosky Bought GreaterNydus
[31:850] Frosky Bought GreaterNydus
[32:233] Frosky Bought GreaterNydus
[32:544] Frosky Bought GreaterNydus
[32:810] Frosky Bought SpawnNydusWorm
[32:877] Frosky Bought GreaterNydus
[33:161] Frosky Bought HunterlingStrain
[34:880] Frosky Placed/Upgraded GreaterNydusWorm
[00:588] SteirylSleiy Unlocked AssaultRifle
[00:686] SteirylSleiy Placed/Upgraded MiningDroid
[00:765] SteirylSleiy Unlocked AdvancedDroidEngines
[03:795] SteirylSleiy Unlocked Stimpack
[04:768] SteirylSleiy Unlocked BioMechanicalRepairDrone
[04:853] SteirylSleiy Unlocked SpecOpsBioMechanicalRepairDrone
[06:507] SteirylSleiy Unlocked MotionSensor
[06:997] SteirylSleiy Placed/Upgraded SensorTower
[07:943] SteirylSleiy Placed/Upgraded SensorTower
[09:098] SteirylSleiy Unlocked HellfireRocketLauncher
[12:302] SteirylSleiy Placed/Upgraded SensorTower
[12:928] SteirylSleiy Placed/Upgraded SensorTower
[13:127] SteirylSleiy Unlocked Teleporter
[13:714] SteirylSleiy Placed/Upgraded HealingDrone
[14:464] SteirylSleiy Placed/Upgraded HealingDrone
[14:954] SteirylSleiy Unlocked SpecOpsHellfireRocketLauncher
[16:130] SteirylSleiy Unlocked ShockwaveMissiles
[21:243] SteirylSleiy Unlocked EnergySuit
[21:244] SteirylSleiy Unlocked ShieldSuit
[21:244] SteirylSleiy Unlocked AdvancedShieldSuit
[21:244] SteirylSleiy Unlocked CombatSuit
[21:244] SteirylSleiy Unlocked AdvancedCombatSuit
[21:244] SteirylSleiy Unlocked HazmatSuit
[21:244] SteirylSleiy Unlocked AdvancedHazmatSuit
[21:244] SteirylSleiy Unlocked EnergySuit
[21:256] SteirylSleiy Unlocked AdvancedEnergySuit
[21:257] SteirylSleiy Unlocked EnergySuit
[21:257] SteirylSleiy Unlocked AdvancedEnergySuit
[21:338] SteirylSleiy Unlocked IncendiaryGrenade
[21:347] SteirylSleiy Unlocked SpecOpsIncendiaryGrenade
[22:779] SteirylSleiy Unlocked CombatShield
[22:823] SteirylSleiy Unlocked EnergyPack
[23:966] SteirylSleiy Placed/Upgraded MiningDroid
[25:455] SteirylSleiy Unlocked OpticalVisor
[25:814] SteirylSleiy Placed/Upgraded HealingDrone
[32:059] SteirylSleiy Placed/Upgraded MiningDroid
[32:992] SteirylSleiy Placed/Upgraded SensorTower
[34:134] SteirylSleiy Placed/Upgraded HealingDrone
[34:320] SteirylSleiy Placed/Upgraded HealingDrone
[34:903] SteirylSleiy Placed/Upgraded HealingDrone
[35:167] SteirylSleiy Placed/Upgraded HealingDrone
[35:756] SteirylSleiy Placed/Upgraded HealingDrone
[36:740] SteirylSleiy Placed/Upgraded SensorTower
[00:588] Yello Unlocked AssaultRifle
[00:667] Yello Placed/Upgraded MiningDroid
[00:745] Yello Unlocked FragGrenade
[00:758] Yello Unlocked SpecOpsFragGrenade
[03:477] Yello Unlocked AdvancedDroidEngines
[04:705] Yello Unlocked BioMechanicalRepairDrone
[04:993] Yello Placed/Upgraded HealingDrone
[05:983] Yello Placed/Upgraded HealingDrone
[06:902] Yello Unlocked Shotgun
[10:546] Yello Placed/Upgraded MiningDroid
[10:788] Yello Unlocked SpecOpsShotgun
[12:854] Yello Unlocked Shieldsiotunlocked
[12:855] Yello Unlocked ShieldSuit
[12:855] Yello Unlocked AdvancedShieldSuit
[12:855] Yello Unlocked CombatSuit
[12:855] Yello Unlocked AdvancedCombatSuit
[12:855] Yello Unlocked HazmatSuit
[12:855] Yello Unlocked AdvancedHazmatSuit
[12:855] Yello Unlocked ShieldSuit
[14:660] Yello Unlocked HighPrecisionBeams
[15:262] Yello Placed/Upgraded HealingDrone
[16:334] Yello Unlocked Teleporter
