Analyzed: Oh No It's Zombies Arctic Updated (109)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: JMM Race: Terran
ID : 2 PlayerName: SkyFireYZ Race: Terran
ID : 3 PlayerName: Jmsslayer Race: Terran
ID : 4 PlayerName: ybg Race: Terran
ID : 5 PlayerName: Swinty Race: Zerg
ID : 6 PlayerName: Rio Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Swinty Zombie Loss
Public Lobby

Game Length:[36:341]
Players ammount: 8
Marine rank avg: 9,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:206] Frosky Unlocked AdvancedDroidEngines
[04:633] Frosky Unlocked TurboDroidEngines
[06:620] Frosky Unlocked SpecOpsAssaultRifle
[08:603] Frosky Unlocked TitaniumBulletCasings
[10:260] Frosky Unlocked AutoTurret
[10:280] Frosky Unlocked FlameTurret
[10:354] Frosky Placed/Upgraded AutoTurret
[10:650] Frosky Placed/Upgraded AutoTurret
[11:365] Frosky Placed/Upgraded AutoTurret
[12:268] Frosky Unlocked Stimpack
[13:132] Frosky Unlocked BioMechanicalRepairDrone
[13:229] Frosky Placed/Upgraded HealingDrone
[13:657] Frosky Placed/Upgraded HealingDrone
[15:868] Frosky Unlocked CombatSuit
[15:882] Frosky Unlocked AdvancedCombatSuit
[17:397] Frosky Placed/Upgraded HealingDrone
[18:488] Frosky Unlocked QuantumBackpack
[18:652] Frosky Unlocked Teleporter
[20:863] Frosky Placed/Upgraded HealingDrone
[23:965] Frosky Placed/Upgraded HealingDrone
[27:198] Frosky Placed/Upgraded HealingDrone
[33:896] Frosky Placed/Upgraded HealingDrone
[00:588] JMM Unlocked AssaultRifle
[00:667] JMM Placed/Upgraded MiningDroid
[02:950] JMM Unlocked FragGrenade
[02:958] JMM Unlocked SpecOpsFragGrenade
[03:356] JMM Unlocked PowerConverter
[07:309] JMM Unlocked SpecOpsAssaultRifle
[08:918] JMM Unlocked AutoTargetingSystem
[10:731] JMM Unlocked PsiDisrupter
[11:151] JMM Placed/Upgraded PsiIndoctrinator
[12:758] JMM Placed/Upgraded PsiIndoctrinator
[13:617] JMM Placed/Upgraded PsiIndoctrinator
[15:655] JMM Placed/Upgraded PsiIndoctrinator
[15:776] JMM Unlocked BioMechanicalRepairDrone
[15:869] JMM Bought ShieldSuit
[15:869] JMM Bought CombatSuit
[15:869] JMM Bought HazmatSuit
[15:869] JMM Bought CombatSuit
[15:883] JMM Bought CombatSuit
[18:576] JMM Placed/Upgraded PsiIndoctrinator
[18:784] JMM Unlocked Stimpack
[19:421] JMM Placed/Upgraded PsiIndoctrinator
[20:025] JMM Placed/Upgraded HealingDrone
[20:466] JMM Placed/Upgraded HealingDrone
[22:171] JMM Placed/Upgraded PsiIndoctrinator
[22:419] JMM Placed/Upgraded HealingDrone
[23:136] JMM Unlocked PsiDepressor
[26:972] JMM Placed/Upgraded PsiIndoctrinator
[28:326] JMM Placed/Upgraded PsiIndoctrinator
[30:464] JMM Unlocked MiningCharge
[30:473] JMM Unlocked AdvancedMiningCharge
[30:918] JMM Placed/Upgraded HealingDrone
[30:946] JMM Placed/Upgraded NukePack
[31:829] JMM Placed/Upgraded HealingDrone
[33:233] JMM Placed/Upgraded NukePack
[33:536] JMM Placed/Upgraded PsiIndoctrinator
[34:235] JMM Placed/Upgraded NukePack
[00:588] SkyFireYZ Unlocked AssaultRifle
[00:667] SkyFireYZ Placed/Upgraded MiningDroid
[00:814] SkyFireYZ Unlocked MotionSensor
[01:056] SkyFireYZ Placed/Upgraded SensorTower
[01:875] SkyFireYZ Placed/Upgraded SensorTower
[03:290] SkyFireYZ Placed/Upgraded SensorTower
[03:689] SkyFireYZ Placed/Upgraded SensorTower
[05:976] SkyFireYZ Unlocked BioMechanicalRepairDrone
[07:452] SkyFireYZ Unlocked CombatAccelerationDrone
[08:630] SkyFireYZ Placed/Upgraded HealingDrone
[08:874] SkyFireYZ Placed/Upgraded HealingDrone
[09:353] SkyFireYZ Placed/Upgraded HealingDrone
[11:551] SkyFireYZ Unlocked AdvancedDroidEngines
[15:773] SkyFireYZ Unlocked PsiDisrupter
[16:045] SkyFireYZ Placed/Upgraded PsiIndoctrinator
[16:389] SkyFireYZ Placed/Upgraded PsiIndoctrinator
[17:066] SkyFireYZ Unlocked SpecOpsPsiDisruptor
[17:679] SkyFireYZ Unlocked SpecOpsBioMechanicalRepairDrone
[18:078] SkyFireYZ Placed/Upgraded HealingDrone
[20:063] SkyFireYZ Unlocked IncendiaryGrenade
[20:124] SkyFireYZ Unlocked SpecOpsIncendiaryGrenade
[20:428] SkyFireYZ Placed/Upgraded HealingDrone
[20:784] SkyFireYZ Placed/Upgraded HealingDrone
[24:023] SkyFireYZ Unlocked TurboDroidEngines
[25:149] SkyFireYZ Placed/Upgraded PsiIndoctrinator
[27:414] SkyFireYZ Unlocked BeamRifle
[27:754] SkyFireYZ Unlocked Stimpack
[29:327] SkyFireYZ Unlocked SpecOpsPlasmaRifle
[30:593] SkyFireYZ Placed/Upgraded HealingDrone
[32:023] SkyFireYZ Unlocked EnergySuit
[32:024] SkyFireYZ Unlocked EnergySuit
[32:036] SkyFireYZ Unlocked AdvancedEnergySuit
[32:037] SkyFireYZ Unlocked EnergySuit
[32:037] SkyFireYZ Unlocked AdvancedEnergySuit
[33:707] SkyFireYZ Unlocked CloakingDevice
[34:181] SkyFireYZ Unlocked SpecOpsCloakingDevice
[35:636] SkyFireYZ Placed/Upgraded HealingDrone
[35:679] SkyFireYZ Placed/Upgraded SensorTower
[36:202] SkyFireYZ Placed/Upgraded SensorTower
[00:588] Jmsslayer Unlocked AssaultRifle
[00:922] Jmsslayer Unlocked SuperStimpack
