Date: 2021.08.18  11:51:33

ID : 0 PlayerName: Rambo Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: FireFurry Race: Zerg
ID : 3 PlayerName: Velociraptor Race: Terran
ID : 4 PlayerName: LouDawg Race: Terran
ID : 5 PlayerName: Crylexen Race: Terran
ID : 6 PlayerName: NeguhDrama Race: Terran
ID : 7 PlayerName: Security Race: 
FireFurry  Loss
Public Lobby

Game Length:[42:312]
Players ammount: 7
Marine rank avg: 0
GrandMaster ammount: 0

Crylexen First Gun SpecOpsAssaultRifle
LouDawg First Gun Flamethrower
Velociraptor First Gun BeamRifle
Rambo First Gun SpecOpsAssaultRifle

PURCHASES: 
[00:588] Rambo Unlocked AssaultRifle
[01:670] Rambo Placed/Upgraded MiningDroid
[01:868] Rambo Unlocked Teleporter
[04:482] Rambo Unlocked Shieldsiotunlocked
[06:607] Rambo Unlocked AdvancedShieldSuit
[08:710] Rambo Unlocked MedicShield
[12:600] Rambo Unlocked SpecOpsAssaultRifle
[14:886] Rambo Unlocked AutoTargetingSystem
[18:743] Rambo Unlocked Stimpack
[20:987] Rambo Unlocked SpecOpsTeleporter
[22:894] Rambo Unlocked AdvancedDroidEngines
[25:629] Rambo Unlocked TurboDroidEngines
[27:729] Rambo Unlocked IncendiaryGrenade
[27:847] Rambo Unlocked SpecOpsIncendiaryGrenade
[00:588] Frosky Unlocked AssaultRifle
[00:755] Frosky Unlocked AdvancedDroidEngines
[00:941] Frosky Placed MiningDroid
[04:483] Frosky Bought ShieldSuit
[04:483] Frosky Bought CombatSuit
[04:483] Frosky Bought HazmatSuit
[04:483] Frosky Bought ShieldSuit
[06:608] Frosky Bought ShieldSuit
[00:552] FireFurry Bought PlayerNumber
[01:005] FireFurry Bought StrainDamage
[02:673] FireFurry Spawned MassiveCocoon
[04:113] FireFurry Spawned Anubalisk
[04:185] FireFurry Bought PureStrainDamage
[06:536] FireFurry Bought DefilerStrain
[09:238] FireFurry Placed/Upgraded NydusCanalCreeper
[11:037] FireFurry Bought UnlockDropPods
[11:484] FireFurry Bought EvolveDropPods
[13:454] FireFurry Bought CreepSpeed
[14:345] FireFurry Bought BuildExtractorExcavationZone
[14:345] FireFurry Placed/Upgraded AutomatedExtractor
[14:986] FireFurry Placed/Upgraded PrimalSunkenColony
[14:987] FireFurry Bought SunkenColony
[15:262] FireFurry Bought SiphonFuel
[16:330] FireFurry Bought StrainHealth
[16:603] FireFurry Bought EvolveDropPods
[16:612] FireFurry Bought EvolveDropPods
[17:461] FireFurry Bought StrainHealth
[18:398] FireFurry Bought BuildExtractorProcessingFacilities
[18:398] FireFurry Placed/Upgraded AutomatedExtractor
[19:390] FireFurry Bought PureStrainHealth
[20:284] FireFurry Bought SiphonFuel
[21:329] FireFurry Bought VirulentCreep
[21:329] FireFurry Bought VirulentCreep
[21:618] FireFurry Bought EvolveDropPods
[22:538] FireFurry Placed/Upgraded PrimalSunkenColony
[22:539] FireFurry Bought SunkenColony
[22:980] FireFurry Bought EvolveDropPods
[23:009] FireFurry Bought EvolveDropPods
[23:084] FireFurry Placed/Upgraded NydusCanalCreeper
[24:508] FireFurry Spawned MassiveCocoon
[25:441] FireFurry Bought TankStrain
[25:876] FireFurry Bought BuildExtractorScienceLabs
[25:876] FireFurry Placed/Upgraded AutomatedExtractor
[25:948] FireFurry Spawned Anubalisk
[26:334] FireFurry Placed/Upgraded NydusCanalCreeper
[27:028] FireFurry Placed/Upgraded Virophage
[27:251] FireFurry Bought SiphonFuel
[27:485] FireFurry Placed/Upgraded Virophage
[28:954] FireFurry Bought BuildExtractorManufacturingSector
[28:954] FireFurry Placed/Upgraded AutomatedExtractor
[29:501] FireFurry Bought PureStrainHealth
[30:441] FireFurry Placed/Upgraded Virophage
[30:674] FireFurry Bought SiphonFuel
[31:112] FireFurry Spawned MassiveCocoon
[32:093] FireFurry Bought TankStrain
[32:552] FireFurry Spawned Hunter
