Analyzed: Oh No It's Zombies Arctic Updated (114)

ID : 0 PlayerName: RyK Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Niku Race: Terran
ID : 3 PlayerName: sanadel Race: Zerg
ID : 4 PlayerName: yoloLife Race: Terran
ID : 5 PlayerName: HiJack Race: Terran
ID : 6 PlayerName: Gafe Race: Terran
ID : 7 PlayerName: Security Race: Terran
sanadel Zombie Loss
Public Lobby

Game Length:[38:293]
Players ammount: 8
Marine rank avg: 8,5
GrandMaster ammount: 2
PURCHASES: 
[00:588] RyK Unlocked AssaultRifle
[00:863] RyK Placed/Upgraded MiningDroid
[00:924] RyK Unlocked ArcWelder
[02:080] RyK Unlocked AdvancedDroidEngines
[03:512] RyK Unlocked TurboDroidEngines
[04:489] RyK Unlocked MotionSensor
[04:923] RyK Placed/Upgraded SensorTower
[05:947] RyK Placed/Upgraded SensorTower
[06:554] RyK Placed/Upgraded SensorTower
[07:724] RyK Unlocked BioMechanicalRepairDrone
[07:742] RyK Unlocked CombatAccelerationDrone
[08:318] RyK Placed/Upgraded HealingDrone
[08:666] RyK Placed/Upgraded HealingDrone
[08:820] RyK Placed/Upgraded HealingDrone
[10:214] RyK Unlocked Stimpack
[10:374] RyK Placed/Upgraded SensorTower
[12:187] RyK Unlocked SpecOpsArcWelder
[12:907] RyK Unlocked MiningCharge
[13:507] RyK Placed/Upgraded NukePack
[13:867] RyK Placed/Upgraded SensorTower
[15:642] RyK Unlocked ArcWelderMod3
[15:667] RyK Unlocked AutoTurret
[15:701] RyK Unlocked SpecOpsTurret
[16:129] RyK Placed/Upgraded AutoTurret
[16:169] RyK Placed/Upgraded NukePack
[16:927] RyK Placed/Upgraded AutoTurret
[17:169] RyK Placed/Upgraded AutoTurret
[19:236] RyK Unlocked QuantumBackpack
[19:444] RyK Placed/Upgraded AutoTurret
[19:596] RyK Placed/Upgraded AutoTurret
[19:803] RyK Placed/Upgraded AutoTurret
[20:170] RyK Placed/Upgraded AutoTurret
[20:572] RyK Placed/Upgraded NukePack
[20:908] RyK Placed/Upgraded HealingDrone
[23:203] RyK Unlocked EnergySuit
[23:204] RyK Unlocked EnergySuit
[23:214] RyK Unlocked AdvancedEnergySuit
[23:215] RyK Unlocked EnergySuit
[23:215] RyK Unlocked AdvancedEnergySuit
[26:059] RyK Unlocked PsiDisrupter
[26:072] RyK Unlocked SpecOpsBioMechanicalRepairDrone
