Analyzed: Oh No It's Zombies Arctic Updated (115)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Gafe Race: Terran
ID : 2 PlayerName: yoloLife Race: Terran
ID : 3 PlayerName: HiJack Race: Zerg
ID : 4 PlayerName: RyK Race: Terran
ID : 5 PlayerName: Kelsoo Race: Terran
ID : 6 PlayerName: sanadel Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
HiJack Zombie Loss
Public Lobby

Game Length:[34:246]
Players ammount: 8
Marine rank avg: 8,666666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:668] Frosky Placed/Upgraded MiningDroid
[02:236] Frosky Unlocked AdvancedDroidEngines
[04:246] Frosky Unlocked TurboDroidEngines
[06:735] Frosky Unlocked SpecOpsAssaultRifle
[08:217] Frosky Unlocked TitaniumBulletCasings
[10:270] Frosky Unlocked Stimpack
[11:558] Frosky Unlocked CombatSuit
[14:132] Frosky Unlocked BioMechanicalRepairDrone
[14:154] Frosky Placed/Upgraded HealingDrone
[14:438] Frosky Placed/Upgraded HealingDrone
[15:783] Frosky Placed/Upgraded HealingDrone
[16:385] Frosky Placed/Upgraded HealingDrone
[16:606] Frosky Unlocked AdvancedCombatSuit
[18:610] Frosky Unlocked AutoTurret
[19:989] Frosky Placed/Upgraded AutoTurret
[20:156] Frosky Placed/Upgraded AutoTurret
[21:231] Frosky Unlocked HeavyTurret
[22:220] Frosky Unlocked CombatShield
[22:226] Frosky Unlocked QuantumBackpack
[22:232] Frosky Unlocked OpticalVisor
[22:347] Frosky Placed/Upgraded HealingDrone
[23:910] Frosky Unlocked Teleporter
[24:200] Frosky Placed/Upgraded AutoTurret
[25:403] Frosky Placed/Upgraded AutoTurret
[26:205] Frosky Placed/Upgraded AutoTurret
[26:515] Frosky Placed/Upgraded AutoTurret
[26:689] Frosky Placed/Upgraded HealingDrone
[29:304] Frosky Placed/Upgraded AutoTurret
[29:631] Frosky Placed/Upgraded AutoTurret
[31:606] Frosky Placed/Upgraded AutoTurret
[31:830] Frosky Placed/Upgraded AutoTurret
[32:508] Frosky Placed/Upgraded AutoTurret
[32:907] Frosky Placed/Upgraded AutoTurret
[00:588] Gafe Unlocked AssaultRifle
[00:709] Gafe Placed/Upgraded MiningDroid
[02:275] Gafe Unlocked AdvancedDroidEngines
[04:054] Gafe Unlocked SpecOpsAssaultRifle
[06:487] Gafe Unlocked AutoTargetingSystem
[08:399] Gafe Unlocked OverloadWeapon
[09:894] Gafe Unlocked CombatShield
[11:293] Gafe Unlocked EnergyPack
[11:559] Gafe Bought ShieldSuit
[11:559] Gafe Bought CombatSuit
[11:559] Gafe Bought HazmatSuit
[11:559] Gafe Bought CombatSuit
[11:708] Gafe Unlocked EnergySuit
[11:709] Gafe Unlocked EnergySuit
[11:751] Gafe Unlocked AdvancedEnergySuit
[11:752] Gafe Unlocked EnergySuit
[11:752] Gafe Unlocked AdvancedEnergySuit
[16:607] Gafe Bought CombatSuit
[17:998] Gafe Unlocked Teleporter
[18:037] Gafe Unlocked SpecOpsTeleporter
[18:091] Gafe Unlocked PsiDisrupter
[18:115] Gafe Unlocked SpecOpsPsiDisruptor
[18:170] Gafe Placed/Upgraded PsiIndoctrinator
[18:358] Gafe Placed/Upgraded PsiIndoctrinator
[25:440] Gafe Placed/Upgraded PsiIndoctrinator
[25:631] Gafe Placed/Upgraded PsiIndoctrinator
[25:806] Gafe Unlocked MiningCharge
[25:816] Gafe Unlocked AdvancedMiningCharge
[25:862] Gafe Placed/Upgraded NukePack
[25:982] Gafe Placed/Upgraded NukePack
[26:143] Gafe Placed/Upgraded NukePack
[26:225] Gafe Unlocked TurboDroidEngines
[00:588] yoloLife Unlocked AssaultRifle
[00:695] yoloLife Placed MiningDroid
