Analyzed: Oh No It's Zombies Arctic Updated (116)

ID : 0 PlayerName: Yello Race: Zerg
ID : 1 PlayerName: Niku Race: Zerg
ID : 2 PlayerName: yoloLife Race: Terran
ID : 3 PlayerName: Kelsoo Race: Terran
ID : 4 PlayerName: RyK Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: HiJack Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Niku Zombie Loss
Public Lobby

Game Length:[33:398]
Players ammount: 8
Marine rank avg: 7
GrandMaster ammount: 2
PURCHASES: 
[00:588] Yello Unlocked AssaultRifle
[00:667] Yello Placed MiningDroid
[00:939] Yello Unlocked HellfireRocketLauncher
[02:205] Yello Unlocked MotionSensor
[04:800] Yello Placed SensorTower
[05:076] Yello Unlocked AdvancedDroidEngines
[07:879] Yello Unlocked MiningCharge
[07:927] Yello Unlocked Teleporter
[08:266] Yello Unlocked ExplorationDroid
[08:295] Yello Placed ExplorationDroid
[08:311] Yello Placed ExplorationDroid
[10:394] Yello Placed NukePack
[10:840] Yello Unlocked Stimpack
[10:983] Yello Unlocked Shieldsiotunlocked
[13:604] Yello Unlocked TurboDroidEngines
[14:292] Yello Unlocked SpecOpsHellfireRocketLauncher
[15:350] Yello Unlocked ShockwaveMissiles
[16:178] Yello Placed MiningDroid
[17:559] Yello Unlocked AdvancedMiningCharge
[17:644] Yello Unlocked BioMechanicalRepairDrone
[18:196] Yello Placed NukePack
[19:195] Yello Placed NukePack
[20:245] Yello Unlocked AdvancedShieldSuit
[20:297] Yello Unlocked SpecOpsBioMechanicalRepairDrone
[20:433] Yello Unlocked PsiDisrupter
[21:552] Yello Placed ExplorationDroid
[21:763] Yello Placed HealingDrone
[22:079] Yello Placed NukePack
[22:240] Yello Placed PsiIndoctrinator
[22:793] Yello Placed HealingDrone
[23:124] Yello Unlocked AutoTurret
[23:166] Yello Placed AutoTurret
[23:261] Yello Unlocked SpecOpsTurret
[23:833] Yello Placed HealingDrone
[24:179] Yello Placed AutoTurret
[24:719] Yello Placed AutoTurret
[24:903] Yello Placed HealingDrone
[26:324] Yello Placed AutoTurret
[26:700] Yello Placed AutoTurret
[26:888] Yello Placed AutoTurret
[28:145] Yello Placed HealingDrone
[00:552] Niku Bought PlayerNumber
[03:013] Niku Spawned MassiveCocoon
[03:137] Niku Bought StrainVolatile
[04:453] Niku Spawned Hunter
[04:484] Niku Bought PureStrainVolatile
[07:022] Niku Bought KaboomerStrain
[10:165] Niku Spawned MassiveCocoon
[10:984] Niku Bought ShieldSuit
[10:984] Niku Bought CombatSuit
[10:984] Niku Bought HazmatSuit
[10:984] Niku Bought ShieldSuit
[11:605] Niku Spawned Anubalisk
[13:461] Niku Bought CreepSpeed
[14:956] Niku Bought StrainVolatile
[14:965] Niku Bought PureStrainVolatile
[15:519] Niku Bought KaboomerStrain
[16:068] Niku Bought StrainVolatile
[18:259] Niku Bought PureStrainVolatile
[19:451] Niku Placed/Upgraded NydusCanalCreeper
[20:246] Niku Bought ShieldSuit
[20:792] Niku Spawned MassiveCocoon
[22:232] Niku Spawned Lurker
[23:628] Niku Bought DropshipsFueled
[24:013] Niku Bought KaboomerStrain
[25:790] Niku Bought StrainVolatile
[28:863] Niku Bought UnlockDropPods
[28:864] Niku Bought UnlockDropPods
[28:891] Niku Bought EvolveDropPods
[28:892] Niku Bought EvolveDropPods
[30:204] Niku Bought EvolveDropPods
[30:205] Niku Bought EvolveDropPods
[30:224] Niku Bought EvolveDropPods
[30:225] Niku Bought EvolveDropPods
[00:588] yoloLife Unlocked AssaultRifle
[00:676] yoloLife Placed/Upgraded MiningDroid
[00:758] yoloLife Unlocked AdvancedDroidEngines
[03:258] yoloLife Unlocked TurboDroidEngines
[05:025] yoloLife Unlocked SpecOpsAssaultRifle
[06:201] yoloLife Unlocked AutoTargetingSystem
[07:688] yoloLife Unlocked Stimpack
[09:196] yoloLife Unlocked Teleporter
[09:271] yoloLife Unlocked MedicShield
[10:533] yoloLife Unlocked FlashBang
[10:541] yoloLife Unlocked SpecOpsFlashbang
[11:694] yoloLife Unlocked EnergySuit
[11:695] yoloLife Unlocked EnergySuit
[11:701] yoloLife Unlocked AdvancedEnergySuit
[11:702] yoloLife Unlocked EnergySuit
[11:702] yoloLife Unlocked AdvancedEnergySuit
[13:913] yoloLife Unlocked QuantumBackpack
[13:956] yoloLife Unlocked AIAssistant
[14:033] yoloLife Unlocked BioMechanicalRepairDrone
[14:178] yoloLife Unlocked SpecOpsBioMechanicalRepairDrone
[15:859] yoloLife Placed/Upgraded HealingDrone
[17:107] yoloLife Unlocked PsiDisrupter
[17:123] yoloLife Unlocked PsiDepressor
[17:307] yoloLife Placed/Upgraded PsiIndoctrinator
[17:509] yoloLife Placed/Upgraded HealingDrone
