Analyzed: Oh No It's Zombies Arctic Updated (12)

ID : 0 PlayerName: Rambo Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: RyK Race: Terran
ID : 3 PlayerName: FireFurry Race: Terran
ID : 4 PlayerName: LouDawg Race: Terran
ID : 5 PlayerName: Almonds Race: Zerg
ID : 6 PlayerName: Velociraptor Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Almonds Zombie Win
Public Lobby

Game Length:[32:793]
Players ammount: 8
Marine rank avg: 6
GrandMaster ammount: 2
PURCHASES: 
[00:588] Rambo Unlocked AssaultRifle
[01:734] Rambo Unlocked CombatSuit
[01:754] Rambo Unlocked AdvancedCombatSuit
[05:551] Rambo Placed/Upgraded MiningDroid
[10:361] Rambo Unlocked SpecOpsAssaultRifle
[12:546] Rambo Unlocked Teleporter
[20:297] Rambo Unlocked TitaniumBulletCasings
[22:413] Rambo Unlocked AutoTargetingSystem
[00:588] Frosky Unlocked AssaultRifle
[00:722] Frosky Placed/Upgraded MiningDroid
[01:117] Frosky Unlocked AdvancedDroidEngines
[01:735] Frosky Bought ShieldSuit
[01:735] Frosky Bought CombatSuit
[01:735] Frosky Bought HazmatSuit
[01:735] Frosky Bought CombatSuit
[01:755] Frosky Bought CombatSuit
[03:241] Frosky Unlocked TurboDroidEngines
[05:383] Frosky Unlocked SpecOpsAssaultRifle
[08:759] Frosky Unlocked CombatShield
[11:915] Frosky Unlocked AutoTargetingSystem
[16:843] Frosky Unlocked Teleporter
[00:588] RyK Unlocked AssaultRifle
[00:669] RyK Placed/Upgraded MiningDroid
[01:006] RyK Unlocked AdvancedDroidEngines
[03:834] RyK Unlocked TurboDroidEngines
[06:627] RyK Unlocked SpecOpsAssaultRifle
[08:918] RyK Unlocked Stimpack
[09:333] RyK Unlocked Shieldsiotunlocked
[10:620] RyK Placed/Upgraded MiningDroid
[13:091] RyK Unlocked AutoTargetingSystem
[13:342] RyK Unlocked IncendiaryGrenade
[17:155] RyK Unlocked Teleporter
[21:138] RyK Unlocked PsiDisrupter
[21:380] RyK Unlocked SpecOpsPsiDisruptor
[22:495] RyK Placed/Upgraded PsiIndoctrinator
[25:648] RyK Unlocked AutoTurret
[25:852] RyK Unlocked SpecOpsTurret
[00:588] FireFurry Unlocked AssaultRifle
[00:675] FireFurry Placed/Upgraded MiningDroid
[01:009] FireFurry Unlocked Shotgun
[03:120] FireFurry Unlocked Stimpack
[04:393] FireFurry Unlocked BioMechanicalRepairDrone
[04:506] FireFurry Placed/Upgraded HealingDrone
[08:629] FireFurry Unlocked AdvancedDroidEngines
[09:260] FireFurry Unlocked Teleporter
[09:334] FireFurry Bought ShieldSuit
[09:334] FireFurry Bought CombatSuit
[09:334] FireFurry Bought HazmatSuit
[09:334] FireFurry Bought ShieldSuit
[13:146] FireFurry Unlocked SpecOpsShotgun
[13:530] FireFurry Unlocked IncendiaryBullets
[14:670] FireFurry Unlocked MedicShield
[14:914] FireFurry Unlocked CombatSuit
[15:317] FireFurry Placed/Upgraded HealingDrone
[16:441] FireFurry Placed/Upgraded HealingDrone
[17:617] FireFurry Unlocked AdvancedCombatSuit
[19:333] FireFurry Unlocked EnergyPack
[20:502] FireFurry Placed/Upgraded HealingDrone
[21:260] FireFurry Placed/Upgraded MiningDroid
[21:924] FireFurry Placed/Upgraded HealingDrone
[23:518] FireFurry Placed/Upgraded HealingDrone
[23:707] FireFurry Placed/Upgraded HealingDrone
[24:360] FireFurry Placed/Upgraded HealingDrone
[24:627] FireFurry Unlocked HazmatSuit
[29:304] FireFurry Unlocked AdvancedHazmatSuit
[29:913] FireFurry Placed/Upgraded HealingDrone
[30:713] FireFurry Placed/Upgraded HealingDrone
[00:588] LouDawg Unlocked AssaultRifle
[00:680] LouDawg Placed MiningDroid
[09:018] LouDawg Unlocked MotionSensor
[09:042] LouDawg Unlocked AdvancedDroidEngines
[09:058] LouDawg Unlocked TurboDroidEngines
[09:071] LouDawg Unlocked AdvancedMotionSensor
[09:242] LouDawg Unlocked Stimpack
[09:426] LouDawg Placed SensorTower
[10:420] LouDawg Placed SensorTower
[10:912] LouDawg Placed SensorTower
[12:128] LouDawg Unlocked SpecOpsAssaultRifle
[14:105] LouDawg Placed SensorTower
