Analyzed: Oh No It's Zombies Arctic Updated (124)

ID : 0 PlayerName: RyK Race: Zerg
ID : 1 PlayerName: OwlEater Race: Terran
ID : 2 PlayerName: BCman Race: Terran
ID : 3 PlayerName: chickenparts Race: Terran
ID : 4 PlayerName: SteirylSleiy Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Mclovin Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
RyK Zombie Loss
Public Lobby

Game Length:[28:339]
Players ammount: 8
Marine rank avg: 12,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[01:087] RyK Spawned MassiveCocoon
[02:527] RyK Spawned InfestedAbomination
[02:916] RyK Placed/Upgraded PrimalSunkenColony
[02:917] RyK Bought SunkenColony
[03:588] RyK Bought SunkenColony
[03:997] RyK Bought SunkenColony
[03:997] RyK Placed/Upgraded PrimalSunkenColony
[04:891] RyK Bought StrainHealth
[04:911] RyK Bought PureStrainHealth
[05:484] RyK Bought SunkenColony
[06:279] RyK Bought StrainSpeed
[06:290] RyK Bought PureStrainSpeed
[07:026] RyK Bought HunterlingStrain
[08:903] RyK Bought TankStrain
[11:188] RyK Spawned MassiveCocoon
[13:441] RyK Bought AdvancedInfestationContainment
[15:213] RyK Bought SpawnNydusWorm
[16:395] RyK Bought BuildExtractorScienceLabs
[16:395] RyK Placed/Upgraded AutomatedExtractor
[16:477] RyK Bought BuildExtractorProcessingFacilities
[16:477] RyK Placed/Upgraded AutomatedExtractor
[17:561] RyK Bought UnlockDropPods
[17:564] RyK Bought EvolveDropPods
[17:821] RyK Placed/Upgraded GreaterNydusWorm
[19:073] RyK Bought BuildExtractorExcavationZone
[19:073] RyK Placed/Upgraded AutomatedExtractor
[19:746] RyK Bought VirulentCreep
[20:854] RyK Placed/Upgraded NydusCanalCreeper
[20:925] RyK Bought CreepSpeed
[22:465] RyK Bought StrainSpeed
[22:736] RyK Placed/Upgraded Virophage
[22:897] RyK Placed/Upgraded Virophage
[24:233] RyK Bought VirulentCreep
[24:631] RyK Bought BuildExtractorExcavationZone
[24:865] RyK Placed/Upgraded GreaterNydusWorm
[24:976] RyK Bought EvolveDropPods
[24:979] RyK Bought EvolveDropPods
[24:982] RyK Bought EvolveDropPods
[25:834] RyK Bought EvolveDropPods
[25:837] RyK Bought EvolveDropPods
[27:415] RyK Placed/Upgraded LesserNydusWorm
[27:416] RyK Bought GreaterNydus
[27:653] RyK Bought PureStrainSpeed
[27:662] RyK Bought HunterlingStrain
[00:588] OwlEater Unlocked AssaultRifle
[03:323] OwlEater Placed/Upgraded MiningDroid
[05:066] OwlEater Unlocked SpecOpsAssaultRifle
[05:214] OwlEater Unlocked TitaniumBulletCasings
[05:990] OwlEater Unlocked PsiDisrupter
[07:069] OwlEater Placed/Upgraded PsiIndoctrinator
[10:799] OwlEater Unlocked CombatSuit
[10:800] OwlEater Unlocked ShieldSuit
[10:800] OwlEater Unlocked AdvancedShieldSuit
[10:800] OwlEater Unlocked CombatSuit
[10:800] OwlEater Unlocked AdvancedCombatSuit
[10:800] OwlEater Unlocked HazmatSuit
[10:800] OwlEater Unlocked AdvancedHazmatSuit
[10:800] OwlEater Unlocked CombatSuit
[10:860] OwlEater Unlocked AdvancedCombatSuit
[10:861] OwlEater Unlocked CombatSuit
[10:861] OwlEater Unlocked AdvancedCombatSuit
[11:297] OwlEater Placed/Upgraded PsiIndoctrinator
[14:319] OwlEater Unlocked SpecOpsPsiDisruptor
[15:736] OwlEater Placed/Upgraded MiningDroid
[17:294] OwlEater Placed/Upgraded PsiIndoctrinator
[00:588] BCman Unlocked AssaultRifle
[00:738] BCman Placed/Upgraded MiningDroid
[00:891] BCman Unlocked AdvancedDroidEngines
[02:907] BCman Unlocked Stimpack
[04:506] BCman Unlocked BeamRifle
[05:662] BCman Unlocked SpecOpsAssaultRifle
[07:457] BCman Unlocked SpecOpsPlasmaRifle
[08:129] BCman Unlocked BioMechanicalRepairDrone
[08:516] BCman Placed/Upgraded HealingDrone
[09:095] BCman Placed/Upgraded HealingDrone
[10:661] BCman Unlocked CorrosivePlasma
[11:628] BCman Unlocked CombatSuit
[11:629] BCman Unlocked ShieldSuit
[11:629] BCman Unlocked AdvancedShieldSuit
[11:629] BCman Unlocked CombatSuit
