Analyzed: Oh No It's Zombies Arctic Updated (127)

ID : 0 PlayerName: Salem Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: chickenparts Race: Terran
ID : 3 PlayerName: Cruel Race: Terran
ID : 4 PlayerName: Squallball Race: Terran
ID : 5 PlayerName: SteirylSleiy Race: Terran
ID : 6 PlayerName: TheZergKing Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Public Lobby

Game Length:[32:737]
Players ammount: 8
Marine rank avg: 14,166666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] Salem Unlocked AssaultRifle
[00:667] Salem Placed MiningDroid
[00:732] Salem Unlocked AdvancedDroidEngines
[04:187] Salem Unlocked BioMechanicalRepairDrone
[04:220] Salem Unlocked CombatAccelerationDrone
[04:587] Salem Placed HealingDrone
[04:790] Salem Placed HealingDrone
[04:985] Salem Placed HealingDrone
[05:379] Salem Placed HealingDrone
[06:905] Salem Unlocked ArcWelder
[08:882] Salem Unlocked CombatSuit
[08:890] Salem Unlocked AdvancedCombatSuit
[11:000] Salem Unlocked TurboDroidEngines
[12:723] Salem Unlocked PsiDisrupter
[12:747] Salem Unlocked PsiDepressor
[13:669] Salem Placed PsiIndoctrinator
[14:092] Salem Placed PsiIndoctrinator
[15:553] Salem Placed PsiIndoctrinator
[17:524] Salem Placed PsiIndoctrinator
[19:881] Salem Unlocked AutoTurret
[19:909] Salem Unlocked HeavyTurret
[20:864] Salem Placed AutoTurret
[21:186] Salem Placed AutoTurret
[22:098] Salem Placed AutoTurret
[22:608] Salem Placed AutoTurret
[22:857] Salem Placed AutoTurret
[23:018] Salem Placed AutoTurret
[23:350] Salem Placed AutoTurret
[23:968] Salem Unlocked SpecOpsBioMechanicalRepairDrone
[24:894] Salem Placed HealingDrone
[26:356] Salem Unlocked MiningCharge
[26:363] Salem Unlocked AdvancedMiningCharge
[27:187] Salem Placed NukePack
[27:389] Salem Placed NukePack
[28:242] Salem Placed NukePack
[31:895] Salem Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[00:853] Frosky Placed/Upgraded PrimalSunkenColony
[00:854] Frosky Bought SunkenColony
[01:033] Frosky Bought UnlockDropPods
[02:223] Frosky Bought EvolveDropPods
[03:162] Frosky Bought EvolveDropPods
[03:834] Frosky Bought EvolveDropPods
[04:843] Frosky Bought EvolveDropPods
[05:208] Frosky Bought EvolveDropPods
[06:066] Frosky Bought EvolveDropPods
[08:164] Frosky Bought StrainDamage
[08:883] Frosky Bought ShieldSuit
[08:883] Frosky Bought CombatSuit
[08:883] Frosky Bought HazmatSuit
[08:883] Frosky Bought CombatSuit
[08:891] Frosky Bought CombatSuit
[09:769] Frosky Bought StrainHealth
[10:540] Frosky Bought BuildExtractorProcessingFacilities
[10:540] Frosky Placed/Upgraded AutomatedExtractor
[12:177] Frosky Bought StrainSpeed
[13:409] Frosky Bought PureStrainSpeed
[14:223] Frosky Bought ExtractorCostReductionProcessingFacilities
[14:223] Frosky Bought BuildExtractorProcessingFacilities
[16:206] Frosky Bought CreepSpeed
[18:513] Frosky Bought StrainVolatile
[21:162] Frosky Bought PureStrainDamage
[22:168] Frosky Bought VirulentCreep
[22:168] Frosky Bought VirulentCreep
[23:628] Frosky Bought DropshipsFueled
[24:553] Frosky Bought UltimateInfestationResearched
[25:490] Frosky Bought VirulentCreep
[25:490] Frosky Bought VirulentCreep
[25:671] Frosky Placed/Upgraded NydusCanalCreeper
[28:090] Frosky Spawned MassiveCocoon
[29:960] Frosky Bought SpawnNydusWorm
[30:264] Frosky Placed/Upgraded GreaterNydusWorm
[00:588] chickenparts Unlocked AssaultRifle
[00:702] chickenparts Placed/Upgraded MiningDroid
[00:787] chickenparts Unlocked AdvancedDroidEngines
[04:411] chickenparts Unlocked SpecOpsAssaultRifle
[09:281] chickenparts Unlocked TitaniumBulletCasings
[09:370] chickenparts Unlocked IncendiaryGrenade
[11:984] chickenparts Unlocked TurboDroidEngines
[13:696] chickenparts Unlocked Teleporter
[13:994] chickenparts Unlocked SpecOpsTeleporter
[16:214] chickenparts Unlocked OverloadWeapon
[18:835] chickenparts Unlocked EnergySuit
[18:836] chickenparts Unlocked EnergySuit
[18:842] chickenparts Unlocked AdvancedEnergySuit
[18:843] chickenparts Unlocked EnergySuit
[18:843] chickenparts Unlocked AdvancedEnergySuit
[18:963] chickenparts Unlocked MiningCharge
[19:864] chickenparts Placed/Upgraded NukePack
[20:015] chickenparts Unlocked PsiDisrupter
[20:500] chickenparts Placed/Upgraded PsiIndoctrinator
[21:980] chickenparts Unlocked PsiDepressor
[27:513] chickenparts Unlocked AdvancedMiningCharge
[27:618] chickenparts Placed/Upgraded NukePack
[27:752] chickenparts Placed/Upgraded NukePack
[28:571] chickenparts Placed/Upgraded NukePack
[28:757] chickenparts Unlocked BioMechanicalRepairDrone
[28:773] chickenparts Unlocked SpecOpsBioMechanicalRepairDrone
[28:803] chickenparts Placed/Upgraded HealingDrone
[29:173] chickenparts Placed/Upgraded HealingDrone
[29:967] chickenparts Unlocked SpecOpsIncendiaryGrenade
[31:006] chickenparts Placed/Upgraded NukePack
[00:588] Cruel Unlocked AssaultRifle
[00:692] Cruel Placed/Upgraded MiningDroid
[00:703] Cruel Unlocked AdvancedDroidEngines
[03:659] Cruel Unlocked SpecOpsAssaultRifle
[05:514] Cruel Unlocked OverloadWeapon
[06:562] Cruel Unlocked CombatSuit
[08:301] Cruel Unlocked TitaniumBulletCasings
[09:041] Cruel Unlocked ExplorationDroid
[09:069] Cruel Placed/Upgraded ExplorationDroid
[09:113] Cruel Placed/Upgraded ExplorationDroid
[09:310] Cruel Placed/Upgraded ExplorationDroid
[10:310] Cruel Unlocked AdvancedCombatSuit
[11:194] Cruel Unlocked PsiDisrupter
[13:297] Cruel Unlocked TurboDroidEngines
[14:596] Cruel Placed/Upgraded PsiIndoctrinator
[15:183] Cruel Placed/Upgraded PsiIndoctrinator
[15:954] Cruel Unlocked BioMechanicalRepairDrone
[18:115] Cruel Unlocked AutoTurret
[18:157] Cruel Unlocked HeavyTurret
[18:242] Cruel Placed/Upgraded AutoTurret
[18:462] Cruel Placed/Upgraded AutoTurret
[18:836] Cruel Bought ShieldSuit
[18:836] Cruel Bought CombatSuit
[18:836] Cruel Bought HazmatSuit
[20:852] Cruel Placed/Upgraded PsiIndoctrinator
[26:412] Cruel Unlocked MiningCharge
[26:418] Cruel Unlocked AdvancedMiningCharge
[26:464] Cruel Unlocked MotionSensor
[26:539] Cruel Placed/Upgraded SensorTower
[26:739] Cruel Placed/Upgraded SensorTower
[26:904] Cruel Placed/Upgraded PsiIndoctrinator
[27:695] Cruel Placed/Upgraded PsiIndoctrinator
[28:272] Cruel Placed/Upgraded PsiIndoctrinator
[29:088] Cruel Placed/Upgraded NukePack
[29:137] Cruel Placed/Upgraded AutoTurret
[29:430] Cruel Placed/Upgraded AutoTurret
[29:824] Cruel Placed/Upgraded AutoTurret
[30:118] Cruel Placed/Upgraded AutoTurret
[30:615] Cruel Unlocked PowerConverter
[30:706] Cruel Placed/Upgraded NukePack
[30:863] Cruel Unlocked PsiDepressor
[31:007] Cruel Placed/Upgraded NukePack
[31:121] Cruel Placed/Upgraded AutoTurret
[31:398] Cruel Placed/Upgraded AutoTurret
[31:672] Cruel Placed/Upgraded AutoTurret
[00:588] Squallball Unlocked AssaultRifle
[00:780] Squallball Placed/Upgraded MiningDroid
[01:029] Squallball Unlocked AdvancedDroidEngines
[04:447] Squallball Unlocked TurboDroidEngines
[06:563] Squallball Bought ShieldSuit
[06:563] Squallball Bought CombatSuit
