Analyzed: Oh No It's Zombies Arctic Updated (128)

ID : 0 PlayerName: Trogdor Race: Terran
ID : 1 PlayerName: Cruel Race: Zerg
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: TheZergKing Race: Terran
ID : 4 PlayerName: lman Race: Terran
ID : 5 PlayerName: archdracon Race: Terran
ID : 6 PlayerName: khorne Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Cruel Zombie Win
Public Lobby

Game Length:[31:585]
Players ammount: 8
Marine rank avg: 5,833333333333333
GrandMaster ammount: 3
PURCHASES: 
[00:588] Trogdor Unlocked AssaultRifle
[00:941] Trogdor Placed MiningDroid
[02:088] Trogdor Unlocked AdvancedDroidEngines
[02:196] Trogdor Unlocked MedicShield
[04:940] Trogdor Unlocked TurboDroidEngines
[06:769] Trogdor Unlocked Stimpack
[10:289] Trogdor Unlocked Flamethrower
[10:310] Trogdor Unlocked SpecOpsFlamethrower
[10:377] Trogdor Unlocked LongRangeIncinerators
[12:701] Trogdor Unlocked BeamRifle
[12:720] Trogdor Unlocked SpecOpsPlasmaRifle
[26:330] Trogdor Unlocked LongRangeScope
[00:552] Cruel Bought PlayerNumber
[00:741] Cruel Spawned MassiveCocoon
[02:181] Cruel Spawned Hunter
[02:836] Cruel Placed/Upgraded ToxicNest
[02:847] Cruel Placed/Upgraded ToxicNest
[02:856] Cruel Placed/Upgraded ToxicNest
[06:120] Cruel Bought CreepSpeed
[06:171] Cruel Bought SunkenColony
[06:171] Cruel Placed/Upgraded PrimalSunkenColony
[06:629] Cruel Bought SunkenColony
[07:475] Cruel Spawned MassiveCocoon
[08:915] Cruel Spawned Hunter
[10:550] Cruel Bought BuildExtractorScienceLabs
[10:550] Cruel Placed/Upgraded AutomatedExtractor
[10:654] Cruel Placed/Upgraded PrimalSunkenColony
[10:655] Cruel Bought SunkenColony
[10:895] Cruel Bought SunkenColony
[10:895] Cruel Placed/Upgraded PrimalSunkenColony
[11:136] Cruel Placed/Upgraded NydusCanalCreeper
[12:544] Cruel Bought CreepSpeed
[13:825] Cruel Placed/Upgraded PrimalSunkenColony
[13:826] Cruel Bought SunkenColony
[14:041] Cruel Placed/Upgraded ToxicNest
[14:047] Cruel Placed/Upgraded ToxicNest
[14:060] Cruel Placed/Upgraded ToxicNest
[14:176] Cruel Spawned MassiveCocoon
[14:458] Cruel Bought BuildExtractorManufacturingSector
[14:458] Cruel Placed/Upgraded AutomatedExtractor
[15:308] Cruel Bought ExtractorCostReductionManufacturingSector
[15:308] Cruel Bought BuildExtractorManufacturingSector
[15:430] Cruel Placed/Upgraded NydusCanalCreeper
[16:868] Cruel Bought SunkenColony
[17:009] Cruel Bought StrainSpeed
[17:021] Cruel Bought PureStrainSpeed
[17:769] Cruel Bought BuildExtractorProcessingFacilities
[17:769] Cruel Placed/Upgraded AutomatedExtractor
[18:475] Cruel Bought ExtractorCostReductionProcessingFacilities
[18:475] Cruel Bought BuildExtractorProcessingFacilities
[19:250] Cruel Placed/Upgraded Virophage
[19:266] Cruel Placed/Upgraded Virophage
[19:488] Cruel Placed/Upgraded Virophage
[19:888] Cruel Placed/Upgraded PrimalSunkenColony
[19:889] Cruel Bought SunkenColony
[20:792] Cruel Bought HunterlingStrain
[21:270] Cruel Placed/Upgraded NydusCanalCreeper
[21:647] Cruel Placed/Upgraded PrimalSunkenColony
[21:648] Cruel Bought SunkenColony
[21:888] Cruel Bought SunkenColony
[21:888] Cruel Placed/Upgraded PrimalSunkenColony
[23:225] Cruel Bought StrainVolatile
[23:240] Cruel Bought PureStrainVolatile
[23:880] Cruel Placed/Upgraded PrimalSunkenColony
[23:881] Cruel Bought SunkenColony
[24:344] Cruel Placed/Upgraded ToxicNest
[24:351] Cruel Placed/Upgraded ToxicNest
[24:363] Cruel Placed/Upgraded ToxicNest
[25:247] Cruel Bought DropshipsFueled
[25:758] Cruel Bought UnlockDropPods
[25:761] Cruel Bought EvolveDropPods
[25:765] Cruel Bought EvolveDropPods
[25:770] Cruel Bought EvolveDropPods
[26:071] Cruel Bought SunkenColony
[26:246] Cruel Bought SunkenColony
[26:246] Cruel Bought SunkenColony
[26:246] Cruel Bought SunkenColony
[26:246] Cruel Bought SunkenColony
[26:246] Cruel Bought SunkenColony
[26:610] Cruel Bought KaboomerStrain
[27:124] Cruel Bought UltimateInfestationResearched
[28:191] Cruel Bought EvolveDropPods
[28:195] Cruel Bought EvolveDropPods
[28:198] Cruel Bought EvolveDropPods
[28:949] Cruel Bought StrainHealth
[28:957] Cruel Bought PureStrainHealth
[28:967] Cruel Bought TankStrain
[29:539] Cruel Spawned MassiveCocoon
[29:545] Cruel Spawned MassiveCocoon
[30:726] Cruel Bought StrainDamage
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:748] Frosky Unlocked Flamethrower
[03:286] Frosky Unlocked AdvancedDroidEngines
[06:468] Frosky Unlocked TurboDroidEngines
[08:115] Frosky Unlocked SpecOpsFlamethrower
[10:913] Frosky Unlocked ThermiteFilaments
[12:609] Frosky Unlocked BioMechanicalRepairDrone
[13:253] Frosky Placed/Upgraded HealingDrone
[18:914] Frosky Placed/Upgraded HealingDrone
[19:160] Frosky Placed/Upgraded HealingDrone
[19:706] Frosky Placed/Upgraded HealingDrone
[21:357] Frosky Unlocked CombatSuit
[23:694] Frosky Unlocked Stimpack
[25:741] Frosky Placed/Upgraded HealingDrone
[26:066] Frosky Placed/Upgraded HealingDrone
[27:664] Frosky Placed/Upgraded HealingDrone
[00:588] TheZergKing Unlocked AssaultRifle
[00:667] TheZergKing Placed/Upgraded MiningDroid
[00:922] TheZergKing Unlocked AdvancedDroidEngines
[04:922] TheZergKing Unlocked TurboDroidEngines
[06:432] TheZergKing Unlocked SpecOpsAssaultRifle
[08:564] TheZergKing Unlocked MotionSensor
[09:446] TheZergKing Placed/Upgraded SensorTower
[10:482] TheZergKing Unlocked TitaniumBulletCasings
[10:532] TheZergKing Unlocked OverloadWeapon
[11:822] TheZergKing Unlocked CombatSuit
[11:943] TheZergKing Unlocked AdvancedCombatSuit
[14:327] TheZergKing Placed/Upgraded SensorTower
[15:255] TheZergKing Unlocked PowerConverter
[16:150] TheZergKing Unlocked SpecOpsPowerConverter
[18:969] TheZergKing Unlocked EnergyPack
[19:005] TheZergKing Unlocked AIAssistant
[19:043] TheZergKing Unlocked CombatShield
[21:358] TheZergKing Bought ShieldSuit
[21:358] TheZergKing Bought CombatSuit
[21:358] TheZergKing Bought HazmatSuit
[21:358] TheZergKing Bought CombatSuit
[00:588] lman Unlocked AssaultRifle
[00:720] lman Placed/Upgraded MiningDroid
[00:788] lman Unlocked BeamRifle
[02:531] lman Unlocked Shieldsiotunlocked
[04:686] lman Unlocked MedicShield
[06:935] lman Unlocked SpecOpsPlasmaRifle
[08:276] lman Unlocked FragGrenade
[11:823] lman Bought ShieldSuit
[11:823] lman Bought CombatSuit
[11:823] lman Bought HazmatSuit
[11:823] lman Bought CombatSuit
[11:944] lman Bought CombatSuit
[13:466] lman Placed/Upgraded MiningDroid
[00:588] archdracon Unlocked AssaultRifle
[00:747] archdracon Placed/Upgraded MiningDroid
