Analyzed: Oh No It's Zombies Arctic Updated (129)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: JMM Race: Terran
ID : 2 PlayerName: tinmanactual Race: Terran
ID : 3 PlayerName: Cruel Race: Terran
ID : 4 PlayerName: BOBELE Race: Zerg
ID : 5 PlayerName: NSCG Race: Terran
ID : 6 PlayerName: timbit Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
BOBELE Zombie Loss
Public Lobby

Game Length:[37:887]
Players ammount: 8
Marine rank avg: 9,833333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[03:562] Frosky Unlocked AdvancedDroidEngines
[04:198] Frosky Unlocked TurboDroidEngines
[06:022] Frosky Unlocked Shotgun
[07:833] Frosky Unlocked SpecOpsShotgun
[12:750] Frosky Unlocked ConcussiveBeams
[14:452] Frosky Unlocked Stimpack
[16:368] Frosky Unlocked Teleporter
[19:544] Frosky Unlocked BioMechanicalRepairDrone
[19:603] Frosky Unlocked RechargeDrone
[19:664] Frosky Placed/Upgraded HealingDrone
[20:743] Frosky Unlocked CombatSuit
[20:758] Frosky Unlocked AdvancedCombatSuit
[21:583] Frosky Placed/Upgraded HealingDrone
[22:665] Frosky Unlocked AutoTurret
[22:678] Frosky Unlocked HeavyTurret
[22:819] Frosky Placed/Upgraded AutoTurret
[24:554] Frosky Placed/Upgraded AutoTurret
[24:728] Frosky Placed/Upgraded AutoTurret
[24:949] Frosky Placed/Upgraded AutoTurret
[26:225] Frosky Unlocked CombatShield
[26:231] Frosky Unlocked QuantumBackpack
[26:235] Frosky Unlocked OpticalVisor
[27:697] Frosky Placed/Upgraded AutoTurret
[28:457] Frosky Placed/Upgraded AutoTurret
[29:000] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[29:055] Frosky Placed/Upgraded HealingDrone
[29:242] Frosky Placed/Upgraded AutoTurret
[34:936] Frosky Placed/Upgraded AutoTurret
[35:105] Frosky Placed/Upgraded AutoTurret
[35:570] Frosky Placed/Upgraded HealingDrone
[37:031] Frosky Placed/Upgraded HealingDrone
[00:588] JMM Unlocked AssaultRifle
[01:426] JMM Placed/Upgraded MiningDroid
[02:058] JMM Unlocked AdvancedDroidEngines
[05:527] JMM Unlocked TurboDroidEngines
[09:211] JMM Unlocked Flamethrower
[09:222] JMM Unlocked SpecOpsFlamethrower
[09:268] JMM Unlocked ThermiteFilaments
[11:714] JMM Unlocked Teleporter
[12:837] JMM Unlocked Stimpack
[13:444] JMM Unlocked BioMechanicalRepairDrone
[14:115] JMM Placed/Upgraded HealingDrone
[14:542] JMM Unlocked Shieldsiotunlocked
[15:229] JMM Unlocked MiningCharge
[15:566] JMM Placed/Upgraded NukePack
[15:929] JMM Placed/Upgraded HealingDrone
[16:343] JMM Placed/Upgraded HealingDrone
[17:343] JMM Placed/Upgraded HealingDrone
[20:124] JMM Unlocked SpecOpsTeleporter
[20:178] JMM Unlocked AdvancedShieldSuit
[20:224] JMM Unlocked CombatShield
[20:346] JMM Unlocked QuantumBackpack
[20:418] JMM Unlocked AIAssistant
[20:458] JMM Unlocked AdvancedMiningCharge
[20:520] JMM Unlocked AutoTurret
[20:553] JMM Unlocked SpecOpsTurret
[20:744] JMM Bought ShieldSuit
[20:744] JMM Bought CombatSuit
[20:744] JMM Bought HazmatSuit
[20:744] JMM Bought CombatSuit
[20:759] JMM Bought CombatSuit
[21:203] JMM Placed/Upgraded HealingDrone
[21:999] JMM Placed/Upgraded HealingDrone
[24:499] JMM Unlocked FlashBang
[24:506] JMM Unlocked SpecOpsFlashbang
[24:591] JMM Placed/Upgraded NukePack
[24:659] JMM Placed/Upgraded AutoTurret
[24:845] JMM Placed/Upgraded AutoTurret
[25:034] JMM Placed/Upgraded HealingDrone
[26:245] JMM Placed/Upgraded AutoTurret
[26:452] JMM Placed/Upgraded AutoTurret
[26:648] JMM Placed/Upgraded AutoTurret
[26:838] JMM Placed/Upgraded HealingDrone
[27:329] JMM Placed/Upgraded HealingDrone
[27:628] JMM Placed/Upgraded AutoTurret
[27:814] JMM Placed/Upgraded AutoTurret
[28:354] JMM Placed/Upgraded NukePack
