Analyzed: Oh No It's Zombies Arctic Updated (132)

ID : 0 PlayerName: Toretto Race: Terran
ID : 1 PlayerName: Dalruin Race: Terran
ID : 2 PlayerName: Cruel Race: Terran
ID : 3 PlayerName: Mandarina Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: BCman Race: Terran
ID : 6 PlayerName: GianCarlo Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Win
Public Lobby

Game Length:[34:611]
Players ammount: 8
Marine rank avg: 3,1666666666666665
GrandMaster ammount: 2
PURCHASES: 
[00:588] Toretto Unlocked AssaultRifle
[00:766] Toretto Placed/Upgraded MiningDroid
[00:934] Toretto Unlocked AdvancedDroidEngines
[03:636] Toretto Unlocked Flamethrower
[04:804] Toretto Unlocked SpecOpsFlamethrower
[05:832] Toretto Unlocked Stimpack
[07:260] Toretto Unlocked Shieldsiotunlocked
[10:493] Toretto Unlocked PsiDisrupter
[10:591] Toretto Unlocked SpecOpsPsiDisruptor
[10:672] Toretto Placed/Upgraded PsiIndoctrinator
[12:160] Toretto Unlocked AdvancedShieldSuit
[22:468] Toretto Unlocked BioMechanicalRepairDrone
[22:605] Toretto Unlocked RechargeDrone
[22:718] Toretto Unlocked LongRangeIncinerators
[24:617] Toretto Unlocked AutoTurret
[24:647] Toretto Unlocked FlameTurret
[25:301] Toretto Placed/Upgraded AutoTurret
[26:492] Toretto Placed/Upgraded AutoTurret
[26:677] Toretto Placed/Upgraded AutoTurret
[31:392] Toretto Placed/Upgraded AutoTurret
[31:714] Toretto Placed/Upgraded AutoTurret
[33:511] Toretto Placed/Upgraded AutoTurret
[00:588] Dalruin Unlocked AssaultRifle
[01:469] Dalruin Unlocked Shotgun
[03:423] Dalruin Placed/Upgraded MiningDroid
[07:261] Dalruin Bought ShieldSuit
[07:261] Dalruin Bought CombatSuit
[07:261] Dalruin Bought HazmatSuit
[07:261] Dalruin Bought ShieldSuit
[09:395] Dalruin Unlocked AdvancedDroidEngines
[11:452] Dalruin Unlocked SpecOpsShotgun
[12:161] Dalruin Bought ShieldSuit
[12:490] Dalruin Unlocked ConcussiveBeams
[21:751] Dalruin Placed/Upgraded MiningDroid
[22:351] Dalruin Unlocked TurboDroidEngines
[23:097] Dalruin Unlocked CombatSuit
[24:338] Dalruin Unlocked AdvancedCombatSuit
[24:656] Dalruin Unlocked IncendiaryBullets
[00:588] Cruel Unlocked AssaultRifle
[01:581] Cruel Placed/Upgraded MiningDroid
[01:629] Cruel Unlocked AdvancedDroidEngines
[03:929] Cruel Unlocked AutoTurret
[03:945] Cruel Unlocked HeavyTurret
[07:845] Cruel Placed/Upgraded AutoTurret
[08:190] Cruel Placed/Upgraded AutoTurret
[08:406] Cruel Placed/Upgraded AutoTurret
[08:599] Cruel Placed/Upgraded AutoTurret
[08:684] Cruel Unlocked FragGrenade
[08:691] Cruel Unlocked SpecOpsFragGrenade
[08:904] Cruel Placed/Upgraded AutoTurret
[10:155] Cruel Unlocked ArcWelder
[10:479] Cruel Placed/Upgraded AutoTurret
[10:610] Cruel Placed/Upgraded AutoTurret
[11:800] Cruel Unlocked TurboDroidEngines
[12:215] Cruel Placed/Upgraded AutoTurret
