Analyzed: Oh No It's Zombies Arctic Updated (14)

ID : 0 PlayerName: bonkybonky Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: RyK Race: Terran
ID : 3 PlayerName: FireFurry Race: Terran
ID : 4 PlayerName: SuperFlanker Race: Terran
ID : 5 PlayerName: Manweslover Race: Terran
ID : 6 PlayerName: Swarmlord Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
bonkybonky Zombie Win
Public Lobby

Game Length:[32:307]
Players ammount: 8
Marine rank avg: 12
GrandMaster ammount: 3
PURCHASES: 
[00:750] bonkybonky Spawned MassiveCocoon
[03:170] bonkybonky Bought StrainSpeed
[04:805] bonkybonky Bought StrainSpeed
[07:751] bonkybonky Placed/Upgraded LesserNydusWorm
[07:752] bonkybonky Bought GreaterNydus
[08:086] bonkybonky Bought PureStrainSpeed
[10:127] bonkybonky Bought AdvancedInfestationContainment
[10:825] bonkybonky Bought BuildExtractorScienceLabs
[10:825] bonkybonky Placed/Upgraded AutomatedExtractor
[11:392] bonkybonky Bought GreaterNydus
[11:958] bonkybonky Bought CreepSpeed
[12:348] bonkybonky Bought VirulentCreep
[13:072] bonkybonky Bought BuildExtractorProcessingFacilities
[13:072] bonkybonky Placed/Upgraded AutomatedExtractor
[13:611] bonkybonky Bought StrainSpeed
[14:213] bonkybonky Placed/Upgraded NydusCanalCreeper
[14:318] bonkybonky Bought BuildExtractorScienceLabs
[14:630] bonkybonky Bought HunterlingStrain
[15:891] bonkybonky Bought StrainSpeed
[17:104] bonkybonky Bought PureStrainSpeed
[17:449] bonkybonky Placed/Upgraded NydusCanalCreeper
[19:399] bonkybonky Bought BuildExtractorExcavationZone
[19:399] bonkybonky Placed/Upgraded AutomatedExtractor
[19:584] bonkybonky Placed/Upgraded Virophage
[19:616] bonkybonky Placed/Upgraded Virophage
[19:699] bonkybonky Bought SiphonFuel
[20:779] bonkybonky Bought StrainSpeed
[21:742] bonkybonky Bought BuildExtractorScienceLabs
[21:742] bonkybonky Placed/Upgraded AutomatedExtractor
[22:181] bonkybonky Bought BuildExtractorManufacturingSector
[22:181] bonkybonky Placed/Upgraded AutomatedExtractor
[23:366] bonkybonky Unlocked HazmatSuit
[23:366] bonkybonky Bought VirulentCreep
[23:960] bonkybonky Bought SiphonFuel
[24:313] bonkybonky Bought PureStrainSpeed
[24:804] bonkybonky Bought PureStrainSpeed
[25:210] bonkybonky Bought PureStrainSpeed
[25:412] bonkybonky Placed/Upgraded NydusCanalCreeper
[25:665] bonkybonky Placed/Upgraded PrimalSunkenColony
[25:666] bonkybonky Bought SunkenColony
[26:246] bonkybonky Bought SunkenColony
[26:589] bonkybonky Bought HunterlingStrain
[26:949] bonkybonky Bought HunterlingStrain
[27:786] bonkybonky Bought ConstructiveCreep
[28:438] bonkybonky Bought HunterlingStrain
[29:120] bonkybonky Placed/Upgraded NydusCanalCreeper
[29:280] bonkybonky Placed/Upgraded NydusCanalCreeper
[29:303] bonkybonky Bought HunterlingStrain
[29:636] bonkybonky Placed/Upgraded PrimalSunkenColony
[29:637] bonkybonky Bought SunkenColony
[30:518] bonkybonky Bought RegenerativeCreep
[30:782] bonkybonky Bought DropshipsFueled
[30:880] bonkybonky Bought UltimateInfestationResearched
[30:929] bonkybonky Bought AdvancedInfestationSecurity
[30:939] bonkybonky Bought AdvancedPowerInfestation
[30:983] bonkybonky Spawned MassiveCocoon
[31:006] bonkybonky Spawned MassiveCocoon
[31:023] bonkybonky Spawned MassiveCocoon
[31:072] bonkybonky Spawned MassiveCocoon
[31:094] bonkybonky Spawned MassiveCocoon
