Analyzed: Oh No It's Zombies Arctic Updated (143)

ID : 0 PlayerName: Trogdor Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Moscowabunga Race: Terran
ID : 3 PlayerName: RunningRat Race: Terran
ID : 4 PlayerName: Bleid Race: Terran
ID : 5 PlayerName: TheZergKing Race: Terran
ID : 6 PlayerName: GARRUS Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[34:731]
Players ammount: 8
Marine rank avg: 11,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] Trogdor Unlocked AssaultRifle
[00:674] Trogdor Placed MiningDroid
[00:964] Trogdor Unlocked MedicShield
[02:648] Trogdor Unlocked Stimpack
[05:741] Trogdor Unlocked AdvancedDroidEngines
[05:799] Trogdor Unlocked CombatSuit
[07:512] Trogdor Unlocked AdvancedCombatSuit
[09:447] Trogdor Unlocked CloakingDevice
[09:467] Trogdor Unlocked SpecOpsCloakingDevice
[11:846] Trogdor Unlocked BioMechanicalRepairDrone
[11:859] Trogdor Unlocked SpecOpsBioMechanicalRepairDrone
[13:064] Trogdor Unlocked BeamRifle
[13:094] Trogdor Unlocked SpecOpsPlasmaRifle
[16:352] Trogdor Unlocked CorrosivePlasma
[18:119] Trogdor Placed HealingDrone
[20:384] Trogdor Placed MiningDroid
[22:632] Trogdor Unlocked TurboDroidEngines
[32:473] Trogdor Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[00:757] Frosky Spawned MassiveCocoon
[02:197] Frosky Spawned Hunter
[05:800] Frosky Bought ShieldSuit
[05:800] Frosky Bought CombatSuit
[05:800] Frosky Bought HazmatSuit
[05:800] Frosky Bought CombatSuit
[06:439] Frosky Bought CreepSpeed
[07:513] Frosky Bought CombatSuit
[09:432] Frosky Bought CreepSpeed
[11:955] Frosky Bought StrainSpeed
[12:996] Frosky Bought StrainSpeed
[16:075] Frosky Bought VirulentCreep
[16:075] Frosky Bought VirulentCreep
[16:295] Frosky Bought StrainVolatile
[18:251] Frosky Bought PureStrainVolatile
[22:093] Frosky Bought PureStrainSpeed
[23:694] Frosky Bought KaboomerStrain
[25:325] Frosky Bought PureStrainSpeed
[25:548] Frosky Bought DropshipsFueled
[26:825] Frosky Bought HunterlingStrain
[27:025] Frosky Bought HunterlingStrain
[27:786] Frosky Bought StrainSpeed
[30:888] Frosky Spawned RoyalCocoon
