Analyzed: Oh No It's Zombies Arctic Updated (150)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: JYC Race: Terran
ID : 2 PlayerName: Kmannamk Race: Zerg
ID : 3 PlayerName: Radovid Race: Terran
ID : 4 PlayerName: longpusu Race: Terran
ID : 5 PlayerName: IPoseidonI Race: Terran
ID : 6 PlayerName: FeralNoodle Race: Terran
ID : 7 PlayerName: Security Race: 
Kmannamk Zombie Loss
Public Lobby

Game Length:[34:333]
Players ammount: 8
Marine rank avg: 8,833333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[02:530] Frosky Placed/Upgraded MiningDroid
[03:982] Frosky Unlocked AdvancedDroidEngines
[23:254] Frosky Placed/Upgraded MiningDroid
[26:841] Frosky Unlocked SpecOpsAssaultRifle
[27:785] Frosky Unlocked Teleporter
[29:697] Frosky Unlocked TitaniumBulletCasings
[00:588] JYC Unlocked AssaultRifle
[00:679] JYC Placed MiningDroid
[00:820] JYC Unlocked AdvancedDroidEngines
[02:293] JYC Unlocked FragGrenade
[04:786] JYC Unlocked TurboDroidEngines
[07:912] JYC Unlocked Flamethrower
[07:940] JYC Unlocked SpecOpsFlamethrower
[11:388] JYC Placed MiningDroid
[11:558] JYC Unlocked Shieldsiotunlocked
[11:574] JYC Unlocked AdvancedShieldSuit
[11:655] JYC Unlocked ThermiteFilaments
[13:614] JYC Unlocked Stimpack
[14:740] JYC Unlocked BioMechanicalRepairDrone
[14:761] JYC Unlocked SpecOpsBioMechanicalRepairDrone
[16:118] JYC Unlocked CombatShield
[16:283] JYC Unlocked EnergyPack
[17:701] JYC Placed HealingDrone
[18:019] JYC Unlocked AIAssistant
[18:114] JYC Unlocked SpecOpsFragGrenade
[18:302] JYC Placed HealingDrone
[19:687] JYC Placed MiningDroid
[21:917] JYC Unlocked MiningCharge
[21:932] JYC Unlocked AdvancedMiningCharge
[21:973] JYC Placed NukePack
[22:743] JYC Placed HealingDrone
[22:952] JYC Placed HealingDrone
[24:721] JYC Unlocked PsiDisrupter
[24:760] JYC Unlocked PsiDepressor
[24:911] JYC Placed PsiIndoctrinator
[25:452] JYC Placed PsiIndoctrinator
[25:614] JYC Placed NukePack
[28:483] JYC Placed HealingDrone
[28:536] JYC Placed NukePack
[28:770] JYC Placed HealingDrone
[28:963] JYC Placed HealingDrone
[30:062] JYC Placed NukePack
[30:145] JYC Placed HealingDrone
[30:503] JYC Placed HealingDrone
[00:552] Kmannamk Bought PlayerNumber
[00:997] Kmannamk Bought StrainSpeed
[01:611] Kmannamk Bought StrainVolatile
[04:610] Kmannamk Bought VirulentCreep
[04:610] Kmannamk Bought VirulentCreep
[08:131] Kmannamk Bought CreepSpeed
[09:125] Kmannamk Bought PureStrainSpeed
[10:169] Kmannamk Bought StrainHealth
[11:385] Kmannamk Bought AdvancedInfestationSecurity
[11:559] Kmannamk Bought ShieldSuit
[11:559] Kmannamk Bought CombatSuit
[11:559] Kmannamk Bought HazmatSuit
[11:559] Kmannamk Bought ShieldSuit
[11:575] Kmannamk Bought ShieldSuit
[11:787] Kmannamk Bought TrackHumans
[12:249] Kmannamk Bought UnlockDropPods
[12:263] Kmannamk Bought EvolveDropPods
[13:053] Kmannamk Bought EvolveDropPods
[13:058] Kmannamk Bought EvolveDropPods
[15:444] Kmannamk Bought TrackHumans
[17:581] Kmannamk Bought AdvancedInfestationGateControl
[17:677] Kmannamk Bought PureStrainHealth
[17:690] Kmannamk Bought HunterlingStrain
[18:053] Kmannamk Bought TrackHumans
[19:815] Kmannamk Bought TrackHumans
[20:163] Kmannamk Bought StrainSpeed
[20:739] Kmannamk Placed/Upgraded Virophage
[22:334] Kmannamk Bought TrackHumans
[22:622] Kmannamk Bought EvolveDropPods
[22:626] Kmannamk Bought EvolveDropPods
[22:632] Kmannamk Bought EvolveDropPods
