Analyzed: Oh No It's Zombies Arctic Updated (160)

ID : 0 PlayerName: SteirylSleiy Race: Terran
ID : 1 PlayerName: JMM Race: Terran
ID : 2 PlayerName: RachniThane Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Zepherd Race: Terran
ID : 5 PlayerName: SpeedyRogue Race: Terran
ID : 6 PlayerName: minigranja Race: Zerg
ID : 7 PlayerName: Security Race: Zerg
minigranja Zombie Win
Public Lobby

Game Length:[31:034]
Players ammount: 8
Marine rank avg: 18
GrandMaster ammount: 3
PURCHASES: 
[00:588] SteirylSleiy Unlocked AssaultRifle
[00:668] SteirylSleiy Placed/Upgraded MiningDroid
[00:744] SteirylSleiy Unlocked AdvancedDroidEngines
[02:435] SteirylSleiy Unlocked ArcWelder
[04:568] SteirylSleiy Unlocked TurboDroidEngines
[05:377] SteirylSleiy Unlocked HellfireRocketLauncher
[07:739] SteirylSleiy Unlocked ExplorationDroid
[07:754] SteirylSleiy Unlocked AdvancedExplorationDroid
[07:839] SteirylSleiy Placed/Upgraded ExplorationDroid
[07:850] SteirylSleiy Placed/Upgraded ExplorationDroid
[08:020] SteirylSleiy Unlocked SpecOpsHellfireRocketLauncher
[08:338] SteirylSleiy Placed/Upgraded ExplorationDroid
[09:647] SteirylSleiy Unlocked Stimpack
[10:585] SteirylSleiy Unlocked ShockwaveMissiles
[16:199] SteirylSleiy Placed/Upgraded MiningDroid
[16:257] SteirylSleiy Unlocked CombatSuit
[17:807] SteirylSleiy Unlocked BioMechanicalRepairDrone
[17:823] SteirylSleiy Placed/Upgraded HealingDrone
[18:391] SteirylSleiy Unlocked AdvancedCombatSuit
[24:757] SteirylSleiy Unlocked MiningCharge
[24:767] SteirylSleiy Unlocked AdvancedMiningCharge
[25:042] SteirylSleiy Unlocked PsiDisrupter
[25:089] SteirylSleiy Unlocked PsiDepressor
[25:268] SteirylSleiy Placed/Upgraded PsiIndoctrinator
[25:373] SteirylSleiy Placed/Upgraded NukePack
[26:727] SteirylSleiy Placed/Upgraded HealingDrone
[27:126] SteirylSleiy Placed/Upgraded HealingDrone
[27:329] SteirylSleiy Placed/Upgraded HealingDrone
[27:870] SteirylSleiy Placed/Upgraded NukePack
[28:883] SteirylSleiy Placed/Upgraded HealingDrone
[29:793] SteirylSleiy Placed/Upgraded HealingDrone
[00:588] JMM Unlocked AssaultRifle
[00:695] JMM Placed/Upgraded MiningDroid
[03:970] JMM Unlocked Flamethrower
[03:977] JMM Unlocked SpecOpsFlamethrower
[06:026] JMM Unlocked Stimpack
