Analyzed: Oh No It's Zombies Arctic Updated (161)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Salem Race: Terran
ID : 2 PlayerName: TamSun Race: Terran
ID : 3 PlayerName: Sia Race: Terran
ID : 4 PlayerName: JMM Race: Terran
ID : 5 PlayerName: RachniThane Race: Terran
ID : 6 PlayerName: Jmsslayer Race: Zerg
ID : 7 PlayerName: Security Race: Protoss
Jmsslayer Zombie Win
Public Lobby

Game Length:[37:943]
Players ammount: 8
Marine rank avg: 16,166666666666668
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:889] Frosky Unlocked AdvancedDroidEngines
[04:600] Frosky Unlocked Shotgun
[06:074] Frosky Unlocked TurboDroidEngines
[07:737] Frosky Unlocked SpecOpsShotgun
[10:132] Frosky Placed/Upgraded MiningDroid
[12:733] Frosky Unlocked ConcussiveBeams
[12:802] Frosky Unlocked CombatSuit
[12:821] Frosky Unlocked AdvancedCombatSuit
[17:084] Frosky Placed/Upgraded MiningDroid
[23:358] Frosky Unlocked Stimpack
[23:630] Frosky Unlocked BioMechanicalRepairDrone
[23:717] Frosky Placed/Upgraded HealingDrone
[26:058] Frosky Unlocked AutoTurret
[26:090] Frosky Placed/Upgraded AutoTurret
[26:324] Frosky Placed/Upgraded AutoTurret
[26:560] Frosky Placed/Upgraded MiningDroid
[27:296] Frosky Placed/Upgraded HealingDrone
[31:650] Frosky Placed/Upgraded HealingDrone
[32:317] Frosky Placed/Upgraded HealingDrone
[32:773] Frosky Placed/Upgraded HealingDrone
[00:588] Salem Unlocked AssaultRifle
[00:689] Salem Placed/Upgraded MiningDroid
[00:738] Salem Unlocked AdvancedDroidEngines
[03:856] Salem Unlocked TurboDroidEngines
[06:648] Salem Unlocked Shotgun
[06:651] Salem Unlocked SpecOpsShotgun
[07:878] Salem Unlocked SuperStimpack
[08:844] Salem Unlocked HighPrecisionBeams
[11:827] Salem Unlocked HazmatSuit
[11:835] Salem Unlocked AdvancedHazmatSuit
[12:803] Salem Bought ShieldSuit
[12:803] Salem Bought CombatSuit
[12:803] Salem Bought HazmatSuit
[12:803] Salem Bought CombatSuit
[12:822] Salem Bought CombatSuit
[14:460] Salem Unlocked CombatShield
[14:512] Salem Unlocked BioMechanicalRepairDrone
[15:351] Salem Placed/Upgraded HealingDrone
[15:520] Salem Placed/Upgraded HealingDrone
[16:600] Salem Placed/Upgraded HealingDrone
[17:379] Salem Placed/Upgraded HealingDrone
[17:485] Salem Unlocked SpecOpsSuperStimpack
[17:896] Salem Unlocked AIAssistant
[17:906] Salem Unlocked EnergyPack
[18:576] Salem Placed/Upgraded HealingDrone
[19:514] Salem Placed/Upgraded HealingDrone
[19:691] Salem Placed/Upgraded HealingDrone
[22:687] Salem Unlocked FlashBang
[22:694] Salem Unlocked SpecOpsFlashbang
[22:743] Salem Unlocked MiningCharge
[22:751] Salem Unlocked AdvancedMiningCharge
[23:119] Salem Placed/Upgraded HealingDrone
[24:251] Salem Placed/Upgraded HealingDrone
[24:669] Salem Placed/Upgraded HealingDrone
