Analyzed: Oh No It's Zombies Arctic Updated (164)

ID : 0 PlayerName: ZaqazDeath Race: Terran
ID : 1 PlayerName: SteirylSleiy Race: Terran
ID : 2 PlayerName: mari Race: Zerg
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: PlayerZero Race: Terran
ID : 5 PlayerName: Freddythe Race: Terran
ID : 6 PlayerName: Prohibitor Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
mari Zombie Loss
Public Lobby

Game Length:[34:820]
Players ammount: 8
Marine rank avg: 11
GrandMaster ammount: 2
PURCHASES: 
[00:588] ZaqazDeath Unlocked AssaultRifle
[00:667] ZaqazDeath Placed/Upgraded MiningDroid
[00:703] ZaqazDeath Unlocked Stimpack
[05:838] ZaqazDeath Unlocked SpecOpsAssaultRifle
[07:565] ZaqazDeath Unlocked AutoTargetingSystem
[10:732] ZaqazDeath Placed/Upgraded MiningDroid
[00:588] SteirylSleiy Unlocked AssaultRifle
[00:708] SteirylSleiy Placed MiningDroid
[00:823] SteirylSleiy Unlocked HellfireRocketLauncher
[03:077] SteirylSleiy Unlocked Stimpack
[13:454] SteirylSleiy Unlocked SuperStimpack
[13:504] SteirylSleiy Unlocked SpecOpsHellfireRocketLauncher
[14:976] SteirylSleiy Unlocked BioMechanicalRepairDrone
[14:983] SteirylSleiy Unlocked SpecOpsBioMechanicalRepairDrone
[15:102] SteirylSleiy Placed HealingDrone
[16:137] SteirylSleiy Unlocked CombatSuit
[17:334] SteirylSleiy Placed HealingDrone
[18:894] SteirylSleiy Unlocked AdvancedCombatSuit
[18:947] SteirylSleiy Unlocked EnergyPack
[20:120] SteirylSleiy Placed HealingDrone
[22:320] SteirylSleiy Unlocked MiningCharge
[22:444] SteirylSleiy Placed NukePack
[22:690] SteirylSleiy Placed NukePack
[24:058] SteirylSleiy Placed HealingDrone
[24:898] SteirylSleiy Placed HealingDrone
[26:842] SteirylSleiy Placed NukePack
[29:566] SteirylSleiy Placed NukePack
[30:146] SteirylSleiy Placed HealingDrone
[30:742] SteirylSleiy Placed NukePack
[31:420] SteirylSleiy Placed HealingDrone
[32:131] SteirylSleiy Placed HealingDrone
[00:552] mari Bought PlayerNumber
[00:874] mari Spawned MassiveCocoon
[02:314] mari Spawned Hunter
[02:468] mari Placed/Upgraded ToxicNest
[02:483] mari Placed/Upgraded ToxicNest
[02:582] mari Placed/Upgraded ToxicNest
[03:857] mari Placed/Upgraded ToxicNest
[03:908] mari Placed/Upgraded ToxicNest
[03:922] mari Placed/Upgraded ToxicNest
[04:167] mari Placed/Upgraded PrimalSunkenColony
[04:168] mari Bought SunkenColony
[05:298] mari Bought VirulentCreep
[05:298] mari Bought VirulentCreep
[05:386] mari Bought SunkenColony
[05:588] mari Placed/Upgraded ToxicNest
[05:854] mari Placed/Upgraded ToxicNest
[05:947] mari Placed/Upgraded ToxicNest
[06:320] mari Placed/Upgraded ToxicNest
[06:565] mari Placed/Upgraded PrimalSunkenColony
[06:566] mari Bought SunkenColony
[07:336] mari Bought CreepSpeed
[07:351] mari Bought SunkenColony
[07:654] mari Placed/Upgraded ToxicNest
[07:692] mari Placed/Upgraded ToxicNest
[07:719] mari Placed/Upgraded ToxicNest
[07:941] mari Bought BuildExtractorScienceLabs
[07:941] mari Placed/Upgraded AutomatedExtractor
[07:994] mari Placed/Upgraded PrimalSunkenColony
[07:995] mari Bought SunkenColony
[08:198] mari Placed/Upgraded ToxicNest
[08:957] mari Placed/Upgraded ToxicNest
[09:471] mari Placed/Upgraded ToxicNest
[09:674] mari Placed/Upgraded ToxicNest
[11:710] mari Bought SunkenColony
[12:910] mari Bought BuildExtractorProcessingFacilities
[12:910] mari Placed/Upgraded AutomatedExtractor
[13:148] mari Placed/Upgraded ToxicNest
[13:159] mari Placed/Upgraded ToxicNest
[13:170] mari Placed/Upgraded ToxicNest
[16:138] mari Bought ShieldSuit
[16:138] mari Bought CombatSuit
[16:138] mari Bought HazmatSuit
[16:138] mari Bought CombatSuit
[16:346] mari Spawned MassiveCocoon
[16:354] mari Spawned MassiveCocoon
[16:361] mari Spawned MassiveCocoon
[17:786] mari Spawned PrimalTownHallUprooted
[17:794] mari Spawned PrimalTownHallUprooted
[17:801] mari Spawned PrimalTownHallUprooted
[18:755] mari Bought AdvancedInfestationContainment
[18:895] mari Bought CombatSuit
[19:928] mari Bought StrainHealth
[19:937] mari Bought PureStrainHealth
[19:970] mari Bought TankStrain
[21:543] mari Bought StrainHealth
[21:566] mari Bought PureStrainHealth
[23:088] mari Bought TankStrain
[25:017] mari Bought StrainHealth
[25:024] mari Bought PureStrainHealth
[25:040] mari Bought TankStrain
[25:388] mari Bought DropshipsFueled
[25:585] mari Spawned RoyalCocoon
[25:585] mari Bought SpawnHiveQueen
[25:585] mari Bought UltimateInfestationResearched
[25:934] mari Placed/Upgraded ToxicNest
[25:946] mari Placed/Upgraded ToxicNest
[25:960] mari Placed/Upgraded ToxicNest
[26:286] mari Bought StrainHealth
[26:304] mari Spawned QueenCoop
[26:635] mari Placed/Upgraded ToxicNest
[27:104] mari Bought PureStrainHealth
[29:134] mari Bought TankStrain
[29:174] mari Bought SpawnNydusWorm
[31:526] mari Bought AdvancedInfestationSecurity
[31:725] mari Placed/Upgraded GreaterNydusWorm
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:885] Frosky Unlocked Shotgun
[03:015] Frosky Unlocked AdvancedDroidEngines
[12:554] Frosky Unlocked TurboDroidEngines
[13:595] Frosky Unlocked SpecOpsAssaultRifle
[14:574] Frosky Placed/Upgraded MiningDroid
[16:507] Frosky Unlocked SpecOpsShotgun
[18:790] Frosky Unlocked ConcussiveBeams
[18:849] Frosky Unlocked Stimpack
[20:232] Frosky Unlocked CombatSuit
[20:251] Frosky Unlocked AdvancedCombatSuit
[21:383] Frosky Unlocked BioMechanicalRepairDrone
[21:394] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[21:529] Frosky Placed/Upgraded HealingDrone
[22:002] Frosky Unlocked AutoTurret
[22:199] Frosky Placed/Upgraded AutoTurret
[22:460] Frosky Placed/Upgraded AutoTurret
[26:678] Frosky Unlocked Teleporter
[00:588] PlayerZero Unlocked AssaultRifle
[00:713] PlayerZero Placed/Upgraded MiningDroid
[00:847] PlayerZero Unlocked AdvancedDroidEngines
[04:298] PlayerZero Unlocked TurboDroidEngines
[06:216] PlayerZero Unlocked FragGrenade
[08:520] PlayerZero Placed/Upgraded MiningDroid
[10:163] PlayerZero Unlocked SpecOpsFragGrenade
[11:265] PlayerZero Unlocked ExplorationDroid
[11:295] PlayerZero Placed/Upgraded ExplorationDroid
[11:783] PlayerZero Placed/Upgraded ExplorationDroid
[14:303] PlayerZero Unlocked CloakingDevice
[14:852] PlayerZero Unlocked HazmatSuit
[17:918] PlayerZero Unlocked BioMechanicalRepairDrone
[17:960] PlayerZero Placed/Upgraded HealingDrone
[18:584] PlayerZero Unlocked AutoTurret
[18:694] PlayerZero Placed/Upgraded AutoTurret
[19:048] PlayerZero Placed/Upgraded HealingDrone
[20:163] PlayerZero Placed/Upgraded ExplorationDroid
[20:233] PlayerZero Bought ShieldSuit
[20:233] PlayerZero Bought CombatSuit
[20:233] PlayerZero Bought HazmatSuit
[20:233] PlayerZero Bought CombatSuit
[20:252] PlayerZero Bought CombatSuit
[20:384] PlayerZero Unlocked RechargeDrone
[20:493] PlayerZero Placed/Upgraded HealingDrone
[20:772] PlayerZero Unlocked SpecOpsTurret
[21:904] PlayerZero Placed/Upgraded AutoTurret
[22:735] PlayerZero Placed/Upgraded HealingDrone
[22:998] PlayerZero Placed/Upgraded HealingDrone
[23:535] PlayerZero Unlocked HeavyTurret
[23:867] PlayerZero Placed/Upgraded AutoTurret
[25:023] PlayerZero Placed/Upgraded AutoTurret
[30:063] PlayerZero Placed/Upgraded AutoTurret
[32:275] PlayerZero Placed/Upgraded AutoTurret
[33:131] PlayerZero Placed/Upgraded AutoTurret
[00:588] Freddythe Unlocked AssaultRifle
[01:396] Freddythe Placed/Upgraded MiningDroid
[01:577] Freddythe Unlocked MedicShield
[05:022] Freddythe Unlocked QuantumBackpack
[05:246] Freddythe Unlocked Stimpack
[11:882] Freddythe Unlocked CombatSuit
[11:885] Freddythe Unlocked AdvancedCombatSuit
[11:950] Freddythe Unlocked HellfireRocketLauncher
[11:997] Freddythe Unlocked SpecOpsHellfireRocketLauncher
[14:853] Freddythe Bought ShieldSuit
[14:853] Freddythe Bought CombatSuit
[14:853] Freddythe Bought HazmatSuit
[14:853] Freddythe Bought HazmatSuit
[15:497] Freddythe Unlocked RocketLauncherMod1
[20:129] Freddythe Unlocked Teleporter
[24:889] Freddythe Unlocked ShockwaveMissiles
[27:188] Freddythe Unlocked MiningCharge
[27:732] Freddythe Placed/Upgraded NukePack
[30:413] Freddythe Placed/Upgraded NukePack
[00:588] Prohibitor Unlocked AssaultRifle
[01:093] Prohibitor Unlocked SpecOpsAssaultRifle
[11:883] Prohibitor Bought ShieldSuit
[11:883] Prohibitor Bought CombatSuit
[11:883] Prohibitor Bought HazmatSuit
[11:883] Prohibitor Bought CombatSuit
[11:886] Prohibitor Bought CombatSuit
[12:088] Prohibitor Unlocked CombatSuit
[12:108] Prohibitor Unlocked AdvancedCombatSuit
[12:208] Prohibitor Unlocked OverloadWeapon
[21:216] Prohibitor Unlocked CombatShield
[21:246] Prohibitor Unlocked OpticalVisor
[21:283] Prohibitor Unlocked EnergyPack
[24:257] Prohibitor Unlocked AutoTurret
[24:277] Prohibitor Unlocked SpecOpsTurret
[24:385] Prohibitor Unlocked HellfireRocketLauncher
[12:089] Security Bought ShieldSuit
[12:089] Security Bought CombatSuit
[12:089] Security Bought HazmatSuit
[12:089] Security Bought CombatSuit
[12:109] Security Bought CombatSuit
mari First Alpha Hunter |  Loss

mari Placed 1 Greaters.
--------------------------------
