Analyzed: Oh No It's Zombies Arctic Updated (168)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: QUINTESSA Race: Terran
ID : 2 PlayerName: Gafe Race: Zerg
ID : 3 PlayerName: Cascade Race: Terran
ID : 4 PlayerName: qwsakixs Race: Terran
ID : 5 PlayerName: Thongbmt Race: Terran
ID : 6 PlayerName: Tin Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Gafe Zombie Loss
Public Lobby

Game Length:[40:039]
Players ammount: 8
Marine rank avg: 11,5
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:768] Frosky Unlocked AdvancedDroidEngines
[03:893] Frosky Unlocked TurboDroidEngines
[06:281] Frosky Unlocked SpecOpsAssaultRifle
[08:327] Frosky Unlocked TitaniumBulletCasings
[09:281] Frosky Unlocked MotionSensor
[09:496] Frosky Placed/Upgraded SensorTower
[11:806] Frosky Placed/Upgraded SensorTower
[12:016] Frosky Unlocked Stimpack
[14:434] Frosky Unlocked CombatSuit
[16:372] Frosky Unlocked AdvancedCombatSuit
[23:216] Frosky Unlocked MedicShield
[23:972] Frosky Placed/Upgraded MiningDroid
[24:855] Frosky Unlocked AutoTurret
[25:079] Frosky Placed/Upgraded AutoTurret
[25:266] Frosky Placed/Upgraded AutoTurret
[27:674] Frosky Unlocked Teleporter
[27:893] Frosky Placed/Upgraded AutoTurret
[32:675] Frosky Unlocked HeavyTurret
[32:806] Frosky Placed/Upgraded AutoTurret
[32:979] Frosky Placed/Upgraded AutoTurret
[33:329] Frosky Placed/Upgraded AutoTurret
[00:588] QUINTESSA Unlocked AssaultRifle
[00:684] QUINTESSA Placed MiningDroid
[00:947] QUINTESSA Unlocked Stimpack
[11:751] QUINTESSA Placed MiningDroid
[14:435] QUINTESSA Bought ShieldSuit
[14:435] QUINTESSA Bought CombatSuit
[14:435] QUINTESSA Bought HazmatSuit
[14:435] QUINTESSA Bought CombatSuit
[14:662] QUINTESSA Unlocked HellfireRocketLauncher
[16:373] QUINTESSA Bought CombatSuit
[16:834] QUINTESSA Unlocked SpecOpsHellfireRocketLauncher
[22:172] QUINTESSA Placed MiningDroid
[23:909] QUINTESSA Unlocked HazmatSuit
[23:923] QUINTESSA Unlocked AdvancedHazmatSuit
[28:728] QUINTESSA Unlocked ShockwaveMissiles
[29:870] QUINTESSA Unlocked BioMechanicalRepairDrone
[31:148] QUINTESSA Unlocked SpecOpsBioMechanicalRepairDrone
[31:701] QUINTESSA Placed HealingDrone
[31:954] QUINTESSA Placed HealingDrone
[37:836] QUINTESSA Placed HealingDrone
[00:552] Gafe Bought PlayerNumber
[00:741] Gafe Spawned MassiveCocoon
[02:537] Gafe Bought UnlockDropPods
[02:850] Gafe Placed/Upgraded PrimalSunkenColony
[02:851] Gafe Bought SunkenColony
[03:108] Gafe Bought EvolveDropPods
[03:867] Gafe Bought EvolveDropPods
[04:510] Gafe Bought EvolveDropPods
[05:417] Gafe Bought EvolveDropPods
[05:852] Gafe Bought EvolveDropPods
[06:668] Gafe Spawned MassiveCocoon
[08:108] Gafe Spawned Anubalisk
[11:898] Gafe Bought StrainVolatile
[12:557] Gafe Bought PureStrainVolatile
[12:612] Gafe Bought BuildExtractorProcessingFacilities
[12:612] Gafe Placed/Upgraded AutomatedExtractor
[14:687] Gafe Spawned MassiveCocoon
[16:127] Gafe Spawned Anubalisk
[17:396] Gafe Bought KaboomerStrain
[19:190] Gafe Bought SpawnNydusWorm
[19:246] Gafe Placed/Upgraded GreaterNydusWorm
[19:457] Gafe Placed/Upgraded PrimalSunkenColony
[19:458] Gafe Bought SunkenColony
[20:748] Gafe Placed/Upgraded LesserNydusWorm
[20:749] Gafe Bought GreaterNydus
[21:217] Gafe Bought BuildExtractorExcavationZone
[21:217] Gafe Placed/Upgraded AutomatedExtractor
[21:748] Gafe Bought SiphonFuel
