Analyzed: Oh No It's Zombies Arctic Updated (178)

ID : 0 PlayerName: ROY Race: Terran
ID : 1 PlayerName: khorne Race: Terran
ID : 2 PlayerName: Craxle Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: alank Race: Terran
ID : 5 PlayerName: Krizzex Race: Terran
ID : 6 PlayerName: krazeyo Race: Zerg
ID : 7 PlayerName: Security Race: Zerg
krazeyo Zombie Win
Public Lobby

Game Length:[31:634]
Players ammount: 8
Marine rank avg: 10,333333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] ROY Unlocked AssaultRifle
[01:256] ROY Placed/Upgraded MiningDroid
[01:355] ROY Unlocked AdvancedDroidEngines
[01:397] ROY Unlocked ExplorationDroid
[01:708] ROY Placed/Upgraded ExplorationDroid
[03:126] ROY Unlocked IncendiaryGrenade
[03:404] ROY Placed/Upgraded ExplorationDroid
[04:093] ROY Placed/Upgraded ExplorationDroid
[07:182] ROY Unlocked SpecOpsAssaultRifle
[07:987] ROY Unlocked BioMechanicalRepairDrone
[08:419] ROY Placed/Upgraded HealingDrone
[09:506] ROY Placed/Upgraded HealingDrone
[09:784] ROY Placed/Upgraded HealingDrone
[10:605] ROY Unlocked AutoTargetingSystem
[11:469] ROY Placed/Upgraded HealingDrone
[13:913] ROY Unlocked OverloadWeapon
[14:126] ROY Placed/Upgraded ExplorationDroid
[15:294] ROY Placed/Upgraded HealingDrone
[17:649] ROY Placed/Upgraded MiningDroid
[18:576] ROY Unlocked PowerConverter
[19:135] ROY Placed/Upgraded ExplorationDroid
[20:329] ROY Placed/Upgraded HealingDrone
[24:859] ROY Unlocked EnergySuit
[24:860] ROY Unlocked EnergySuit
[26:693] ROY Placed/Upgraded HealingDrone
[27:542] ROY Unlocked AdvancedEnergySuit
[27:543] ROY Unlocked EnergySuit
[27:543] ROY Unlocked AdvancedEnergySuit
[27:932] ROY Placed/Upgraded HealingDrone
[28:730] ROY Placed/Upgraded HealingDrone
[29:111] ROY Placed/Upgraded HealingDrone
[29:504] ROY Placed/Upgraded HealingDrone
[29:756] ROY Placed/Upgraded HealingDrone
[00:588] khorne Unlocked AssaultRifle
[00:667] khorne Placed/Upgraded MiningDroid
[00:919] khorne Unlocked AdvancedDroidEngines
[06:130] khorne Unlocked TurboDroidEngines
[06:686] khorne Unlocked MotionSensor
[06:851] khorne Placed/Upgraded SensorTower
[07:617] khorne Placed/Upgraded SensorTower
[09:493] khorne Unlocked BioMechanicalRepairDrone
[09:618] khorne Placed/Upgraded HealingDrone
[09:927] khorne Placed/Upgraded SensorTower
[10:309] khorne Placed/Upgraded SensorTower
[10:379] khorne Placed/Upgraded HealingDrone
[10:592] khorne Placed/Upgraded HealingDrone
[11:545] khorne Unlocked CombatShield
[12:104] khorne Placed/Upgraded HealingDrone
[12:837] khorne Unlocked Teleporter
[14:374] khorne Unlocked SpecOpsTeleporter
[17:210] khorne Unlocked MiningCharge
[17:223] khorne Unlocked AdvancedMiningCharge
[17:273] khorne Unlocked PsiDisrupter
[17:312] khorne Unlocked PsiDepressor
[21:142] khorne Placed/Upgraded PsiIndoctrinator
[22:022] khorne Placed/Upgraded PsiIndoctrinator
[23:063] khorne Placed/Upgraded HealingDrone
[24:860] khorne Bought ShieldSuit
[24:860] khorne Bought CombatSuit
[24:860] khorne Bought HazmatSuit
[25:724] khorne Placed/Upgraded PsiIndoctrinator
[25:862] khorne Placed/Upgraded NukePack
[00:588] Craxle Unlocked AssaultRifle
[01:640] Craxle Placed/Upgraded MiningDroid
[01:743] Craxle Unlocked AdvancedDroidEngines
[04:521] Craxle Unlocked TurboDroidEngines
[07:049] Craxle Unlocked Stimpack
[08:939] Craxle Unlocked Flamethrower
[08:954] Craxle Unlocked SpecOpsFlamethrower
[10:669] Craxle Unlocked Teleporter
[10:788] Craxle Unlocked LongRangeIncinerators
[11:947] Craxle Unlocked HazmatSuit
[13:044] Craxle Unlocked AdvancedHazmatSuit
[13:920] Craxle Unlocked BioMechanicalRepairDrone
[13:981] Craxle Placed/Upgraded HealingDrone
[15:055] Craxle Unlocked SpecOpsTeleporter
[16:157] Craxle Placed/Upgraded HealingDrone
[16:494] Craxle Placed/Upgraded HealingDrone
[17:770] Craxle Unlocked IncendiaryGrenade
[17:790] Craxle Unlocked SpecOpsIncendiaryGrenade
[17:837] Craxle Unlocked CombatShield
[17:847] Craxle Unlocked AIAssistant
[19:123] Craxle Unlocked EnergyPack
[20:435] Craxle Placed/Upgraded HealingDrone
[26:707] Craxle Placed/Upgraded HealingDrone
[27:968] Craxle Placed/Upgraded HealingDrone
[29:168] Craxle Placed/Upgraded HealingDrone
[30:227] Craxle Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:834] Frosky Unlocked ArcWelder
[02:451] Frosky Unlocked BioMechanicalRepairDrone
[02:465] Frosky Unlocked CombatAccelerationDrone
[02:516] Frosky Placed/Upgraded HealingDrone
[02:642] Frosky Placed/Upgraded HealingDrone
[02:999] Frosky Placed/Upgraded HealingDrone
[03:836] Frosky Placed/Upgraded HealingDrone
[03:977] Frosky Placed/Upgraded HealingDrone
