Analyzed: Oh No It's Zombies Arctic Updated (179)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Craxle Race: Zerg
ID : 2 PlayerName: Danny Race: Terran
ID : 3 PlayerName: Krizzex Race: Terran
ID : 4 PlayerName: gaks Race: Terran
ID : 5 PlayerName: TheKidChild Race: Terran
ID : 6 PlayerName: algesiansam Race: Terran
ID : 7 PlayerName: Security Race: 
Craxle Zombie Win
Public Lobby

Game Length:[36:540]
Players ammount: 8
Marine rank avg: 2,8333333333333335
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:690] Frosky Placed MiningDroid
[00:810] Frosky Unlocked ArcWelder
[02:365] Frosky Unlocked BioMechanicalRepairDrone
[02:382] Frosky Unlocked CombatAccelerationDrone
[02:455] Frosky Placed HealingDrone
[03:286] Frosky Placed HealingDrone
[03:423] Frosky Placed HealingDrone
[04:490] Frosky Placed HealingDrone
[04:623] Frosky Placed HealingDrone
[05:197] Frosky Unlocked AdvancedDroidEngines
[06:941] Frosky Unlocked TurboDroidEngines
[08:078] Frosky Unlocked AutoTurret
[08:281] Frosky Placed AutoTurret
[08:925] Frosky Placed AutoTurret
[09:501] Frosky Placed AutoTurret
[14:881] Frosky Placed MiningDroid
[15:678] Frosky Placed HealingDrone
[15:808] Frosky Placed HealingDrone
[16:396] Frosky Placed HealingDrone
[16:531] Frosky Placed HealingDrone
[16:664] Frosky Placed HealingDrone
[18:127] Frosky Unlocked HeavyTurret
[18:577] Frosky Placed AutoTurret
[18:714] Frosky Placed AutoTurret
[19:059] Frosky Placed AutoTurret
[19:146] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[19:513] Frosky Placed HealingDrone
[21:144] Frosky Placed AutoTurret
[21:275] Frosky Placed AutoTurret
[21:765] Frosky Placed AutoTurret
[21:908] Frosky Placed AutoTurret
[22:403] Frosky Placed AutoTurret
[22:575] Frosky Placed HealingDrone
[29:449] Frosky Placed HealingDrone
[00:552] Craxle Bought PlayerNumber
