Analyzed: Oh No It's Zombies Arctic Updated (183)

ID : 0 PlayerName: minigranja Race: Terran
ID : 1 PlayerName: Yello Race: Zerg
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: JMM Race: Terran
ID : 4 PlayerName: TheBadHost Race: Terran
ID : 5 PlayerName: Prohibitor Race: Terran
ID : 6 PlayerName: PlayerZero Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Yello Zombie Loss
Public Lobby

Game Length:[36:389]
Players ammount: 8
Marine rank avg: 1,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] minigranja Unlocked AssaultRifle
[00:691] minigranja Placed MiningDroid
[00:800] minigranja Unlocked HellfireRocketLauncher
[02:828] minigranja Unlocked MedicShield
[03:934] minigranja Unlocked Stimpack
[04:796] minigranja Unlocked SpecOpsHellfireRocketLauncher
[06:011] minigranja Unlocked CombatSuit
[07:296] minigranja Unlocked ShockwaveMissiles
[07:908] minigranja Unlocked AdvancedCombatSuit
[24:398] minigranja Unlocked SuperStimpack
[24:528] minigranja Unlocked AutoTurret
[24:633] minigranja Unlocked HeavyTurret
[25:428] minigranja Unlocked IncendiaryGrenade
[25:433] minigranja Unlocked SpecOpsIncendiaryGrenade
[25:684] minigranja Placed AutoTurret
[25:911] minigranja Placed AutoTurret
[26:119] minigranja Placed AutoTurret
[26:807] minigranja Placed AutoTurret
[26:979] minigranja Unlocked FlameTurret
[29:338] minigranja Placed MiningDroid
[29:403] minigranja Unlocked PsiDisrupter
[29:522] minigranja Unlocked PsiDepressor
[30:455] minigranja Placed PsiIndoctrinator
[00:552] Yello Bought PlayerNumber
[00:903] Yello Placed/Upgraded PrimalSunkenColony
[00:904] Yello Bought SunkenColony
[01:143] Yello Bought SunkenColony
[01:143] Yello Placed/Upgraded PrimalSunkenColony
[01:418] Yello Spawned MassiveCocoon
[01:810] Yello Bought SunkenColony
[02:505] Yello Spawned MassiveCocoon
[04:779] Yello Spawned MassiveCocoon
[06:012] Yello Bought ShieldSuit
[06:012] Yello Bought CombatSuit
[06:012] Yello Bought HazmatSuit
[06:012] Yello Bought CombatSuit
[06:763] Yello Bought StrainSpeed
[06:775] Yello Bought PureStrainSpeed
[07:909] Yello Bought CombatSuit
[09:438] Yello Bought HunterlingStrain
[11:317] Yello Spawned MassiveCocoon
[11:743] Yello Bought SunkenColony
[11:743] Yello Placed/Upgraded PrimalSunkenColony
[11:809] Yello Bought SunkenColony
[14:277] Yello Bought StrainHealth
[14:912] Yello Placed/Upgraded PrimalSunkenColony
[14:913] Yello Bought SunkenColony
[15:152] Yello Bought SunkenColony
[15:152] Yello Placed/Upgraded PrimalSunkenColony
[16:236] Yello Bought PureStrainHealth
[16:266] Yello Bought TankStrain
[16:357] Yello Bought SunkenColony
[16:369] Yello Bought SunkenColony
[17:978] Yello Bought UnlockDropPods
[19:701] Yello Bought EvolveDropPods
[19:704] Yello Bought EvolveDropPods
[19:707] Yello Bought EvolveDropPods
[20:508] Yello Bought BuildExtractorScienceLabs
[20:508] Yello Placed/Upgraded AutomatedExtractor
[21:219] Yello Bought EvolveDropPods
[22:691] Yello Bought BuildExtractorManufacturingSector
[22:691] Yello Placed/Upgraded AutomatedExtractor
[23:900] Yello Bought EvolveDropPods
[23:917] Yello Bought EvolveDropPods
[24:413] Yello Bought DropshipsFueled
[27:174] Yello Spawned MassiveCocoon
[27:205] Yello Spawned MassiveCocoon
[27:256] Yello Spawned MassiveCocoon
[28:614] Yello Spawned InfestedAbomination
[28:645] Yello Spawned InfestedAbomination
[28:696] Yello Spawned Anubalisk
[30:421] Yello Spawned RoyalCocoon
[30:421] Yello Bought SpawnHiveQueen
[30:421] Yello Bought UltimateInfestationResearched
[31:140] Yello Spawned QueenCoop
[31:667] Yello Bought AdvancedInfestationContainment
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:749] Frosky Unlocked Shotgun
[07:807] Frosky Unlocked AdvancedDroidEngines
[08:356] Frosky Unlocked TurboDroidEngines
[09:917] Frosky Placed/Upgraded MiningDroid
[18:236] Frosky Placed/Upgraded MiningDroid
[18:345] Frosky Unlocked Stimpack
[19:313] Frosky Unlocked SpecOpsShotgun
[20:764] Frosky Unlocked ConcussiveBeams
[21:796] Frosky Unlocked CombatSuit
[23:180] Frosky Unlocked AdvancedCombatSuit
[23:904] Frosky Unlocked Teleporter
[26:883] Frosky Unlocked AutoTurret
[26:896] Frosky Unlocked HeavyTurret
[27:233] Frosky Placed/Upgraded AutoTurret
[27:423] Frosky Placed/Upgraded AutoTurret
[27:535] Frosky Unlocked BioMechanicalRepairDrone
[29:031] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[29:285] Frosky Placed/Upgraded HealingDrone
[29:463] Frosky Placed/Upgraded HealingDrone
[29:819] Frosky Unlocked MiningCharge
[30:013] Frosky Placed/Upgraded NukePack
[30:885] Frosky Placed/Upgraded HealingDrone
[31:066] Frosky Placed/Upgraded HealingDrone
[32:166] Frosky Placed/Upgraded HealingDrone
[00:588] JMM Unlocked AssaultRifle
[00:790] JMM Placed/Upgraded MiningDroid
[00:942] JMM Unlocked Stimpack
[06:193] JMM Unlocked Flamethrower
[06:205] JMM Unlocked SpecOpsFlamethrower
[06:258] JMM Unlocked BioMechanicalRepairDrone
[07:203] JMM Unlocked CombatShield
[09:832] JMM Unlocked Teleporter
[09:994] JMM Placed/Upgraded HealingDrone
[14:342] JMM Unlocked HazmatSuit
[14:355] JMM Unlocked AdvancedHazmatSuit
[14:427] JMM Unlocked FlashBang
[14:434] JMM Unlocked SpecOpsFlashbang
[14:483] JMM Unlocked MiningCharge
[14:496] JMM Unlocked AdvancedMiningCharge
[14:872] JMM Placed/Upgraded HealingDrone
[15:074] JMM Placed/Upgraded HealingDrone
[16:182] JMM Placed/Upgraded NukePack
[16:874] JMM Placed/Upgraded HealingDrone
[19:335] JMM Placed/Upgraded NukePack
[19:434] JMM Unlocked MotionSensor
[19:447] JMM Unlocked AdvancedMotionSensor
[19:580] JMM Placed/Upgraded SensorTower
