Analyzed: Oh No It's Zombies Arctic Updated (185)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: JOENG Race: Terran
ID : 2 PlayerName: Talik Race: Terran
ID : 3 PlayerName: Sovereign Race: Terran
ID : 4 PlayerName: GlenWaverley Race: Zerg
ID : 5 PlayerName: Niku Race: Terran
ID : 6 PlayerName: CachedOut Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
GlenWaverley Zombie Loss
Public Lobby

Game Length:[37:753]
Players ammount: 8
Marine rank avg: 7,833333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:865] Frosky Unlocked FragGrenade
[02:133] Frosky Unlocked AdvancedDroidEngines
[05:091] Frosky Unlocked TurboDroidEngines
[07:154] Frosky Unlocked SpecOpsAssaultRifle
[10:460] Frosky Unlocked AutoTargetingSystem
[11:876] Frosky Unlocked HazmatSuit
[14:705] Frosky Placed/Upgraded MiningDroid
[16:301] Frosky Unlocked ExplorationDroid
[16:396] Frosky Placed/Upgraded ExplorationDroid
[16:506] Frosky Placed/Upgraded ExplorationDroid
[16:642] Frosky Placed/Upgraded ExplorationDroid
[18:699] Frosky Unlocked AutoTurret
[18:770] Frosky Placed/Upgraded AutoTurret
[20:530] Frosky Unlocked AdvancedHazmatSuit
[20:805] Frosky Placed/Upgraded AutoTurret
[20:978] Frosky Placed/Upgraded AutoTurret
[21:742] Frosky Unlocked HeavyTurret
[22:279] Frosky Placed/Upgraded AutoTurret
[22:732] Frosky Placed/Upgraded AutoTurret
[22:851] Frosky Unlocked Stimpack
[23:063] Frosky Placed/Upgraded AutoTurret
[23:455] Frosky Placed/Upgraded AutoTurret
[24:306] Frosky Placed/Upgraded AutoTurret
[24:671] Frosky Placed/Upgraded AutoTurret
[25:031] Frosky Placed/Upgraded AutoTurret
[27:921] Frosky Placed/Upgraded AutoTurret
[29:102] Frosky Unlocked Teleporter
[32:376] Frosky Placed/Upgraded AutoTurret
[32:606] Frosky Placed/Upgraded AutoTurret
[33:498] Frosky Placed/Upgraded AutoTurret
[00:588] JOENG Unlocked AssaultRifle
[00:952] JOENG Placed/Upgraded MiningDroid
[11:877] JOENG Bought ShieldSuit
[11:877] JOENG Bought CombatSuit
[11:877] JOENG Bought HazmatSuit
[11:877] JOENG Bought HazmatSuit
[20:531] JOENG Bought HazmatSuit
[00:588] Talik Unlocked AssaultRifle
[00:667] Talik Placed/Upgraded MiningDroid
[07:154] Talik Unlocked SpecOpsAssaultRifle
[09:175] Talik Unlocked AdvancedDroidEngines
[11:699] Talik Unlocked TurboDroidEngines
[13:038] Talik Unlocked OverloadWeapon
[14:496] Talik Unlocked TitaniumBulletCasings
[16:146] Talik Unlocked EnergySuit
[16:147] Talik Unlocked EnergySuit
[16:156] Talik Unlocked AdvancedEnergySuit
[16:157] Talik Unlocked EnergySuit
[16:157] Talik Unlocked AdvancedEnergySuit
[16:209] Talik Unlocked BioMechanicalRepairDrone
[16:235] Talik Unlocked SpecOpsBioMechanicalRepairDrone
[16:327] Talik Unlocked EnergyPack
[16:346] Talik Unlocked CombatShield
[16:425] Talik Placed/Upgraded HealingDrone
[18:157] Talik Placed/Upgraded HealingDrone
[19:803] Talik Placed/Upgraded HealingDrone
[20:627] Talik Placed/Upgraded HealingDrone
[22:714] Talik Unlocked Teleporter
[22:723] Talik Unlocked SpecOpsTeleporter
[22:858] Talik Placed/Upgraded HealingDrone
[23:101] Talik Placed/Upgraded HealingDrone
[24:410] Talik Unlocked MiningCharge
[24:420] Talik Unlocked AdvancedMiningCharge
[24:502] Talik Placed/Upgraded NukePack
[24:741] Talik Placed/Upgraded NukePack
[25:020] Talik Placed/Upgraded HealingDrone
[26:311] Talik Placed/Upgraded NukePack
