Analyzed: Oh No It's Zombies Arctic Updated (195)

ID : 0 PlayerName: RyK Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: meTT Race: Terran
ID : 3 PlayerName: Sern Race: Terran
ID : 4 PlayerName: JYC Race: Zerg
ID : 5 PlayerName: killerkings Race: Terran
ID : 6 PlayerName: ProDem Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
JYC Zombie Loss
Public Lobby

Game Length:[36:406]
Players ammount: 8
Marine rank avg: 9,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] RyK Unlocked AssaultRifle
[00:667] RyK Placed/Upgraded MiningDroid
[00:783] RyK Unlocked FragGrenade
[02:444] RyK Unlocked AdvancedDroidEngines
[06:317] RyK Unlocked SpecOpsAssaultRifle
[06:440] RyK Unlocked TitaniumBulletCasings
[07:587] RyK Unlocked OverloadWeapon
[08:884] RyK Unlocked ExplorationDroid
[09:523] RyK Placed/Upgraded ExplorationDroid
[09:529] RyK Placed/Upgraded ExplorationDroid
[11:193] RyK Unlocked PowerConverter
[12:969] RyK Unlocked SpecOpsPowerConverter
[12:996] RyK Unlocked BioMechanicalRepairDrone
[14:934] RyK Placed/Upgraded HealingDrone
[15:107] RyK Placed/Upgraded ExplorationDroid
[16:216] RyK Placed/Upgraded MiningDroid
[18:439] RyK Unlocked HazmatSuit
[18:642] RyK Unlocked AdvancedHazmatSuit
[19:219] RyK Placed/Upgraded MiningDroid
[22:424] RyK Placed/Upgraded HealingDrone
[22:648] RyK Placed/Upgraded HealingDrone
[22:931] RyK Placed/Upgraded HealingDrone
[23:202] RyK Placed/Upgraded HealingDrone
[24:601] RyK Placed/Upgraded MiningDroid
[25:069] RyK Placed/Upgraded ExplorationDroid
[25:137] RyK Placed/Upgraded HealingDrone
[26:750] RyK Unlocked CombatShield
[26:802] RyK Unlocked QuantumBackpack
[27:054] RyK Placed/Upgraded HealingDrone
[27:808] RyK Unlocked AutoTurret
[28:604] RyK Placed/Upgraded HealingDrone
[30:932] RyK Placed/Upgraded HealingDrone
[31:282] RyK Placed/Upgraded HealingDrone
[31:361] RyK Unlocked SpecOpsBioMechanicalRepairDrone
[31:565] RyK Unlocked PsiDisrupter
[31:607] RyK Unlocked PsiDepressor
[31:960] RyK Placed/Upgraded PsiIndoctrinator
[32:577] RyK Placed/Upgraded HealingDrone
[34:060] RyK Placed/Upgraded HealingDrone
[34:589] RyK Placed/Upgraded HealingDrone
[34:974] RyK Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[01:846] Frosky Unlocked AdvancedDroidEngines
[03:207] Frosky Placed/Upgraded MiningDroid
[05:893] Frosky Unlocked Flamethrower
[09:588] Frosky Unlocked TurboDroidEngines
[10:830] Frosky Unlocked SpecOpsFlamethrower
[11:609] Frosky Unlocked BioMechanicalRepairDrone
[11:694] Frosky Placed/Upgraded HealingDrone
[13:349] Frosky Unlocked CombatSuit
[14:835] Frosky Placed/Upgraded MiningDroid
[16:449] Frosky Placed/Upgraded HealingDrone
[17:187] Frosky Unlocked Stimpack
[18:253] Frosky Unlocked AdvancedCombatSuit
[18:440] Frosky Bought ShieldSuit
[18:440] Frosky Bought CombatSuit
[18:440] Frosky Bought HazmatSuit
[18:440] Frosky Bought HazmatSuit
[18:643] Frosky Bought HazmatSuit
[19:022] Frosky Unlocked CombatShield
[19:026] Frosky Unlocked QuantumBackpack
[19:796] Frosky Placed/Upgraded HealingDrone
[21:564] Frosky Unlocked AutoTurret
[21:778] Frosky Placed/Upgraded AutoTurret
[24:254] Frosky Placed/Upgraded AutoTurret
[25:583] Frosky Placed/Upgraded AutoTurret
[26:140] Frosky Placed/Upgraded AutoTurret
[26:426] Frosky Placed/Upgraded HealingDrone
[27:175] Frosky Unlocked MiningCharge
[27:367] Frosky Placed/Upgraded NukePack
[27:996] Frosky Placed/Upgraded NukePack
[29:016] Frosky Unlocked Teleporter
[30:298] Frosky Placed/Upgraded HealingDrone
[30:573] Frosky Placed/Upgraded MiningDroid
[31:785] Frosky Placed/Upgraded AutoTurret
[31:984] Frosky Placed/Upgraded AutoTurret
[32:219] Frosky Placed/Upgraded HealingDrone
[32:753] Frosky Placed/Upgraded HealingDrone
[32:947] Frosky Placed/Upgraded HealingDrone
[34:502] Frosky Placed/Upgraded HealingDrone
[34:907] Frosky Placed/Upgraded HealingDrone
[00:588] meTT Unlocked AssaultRifle
[00:724] meTT Placed/Upgraded MiningDroid
[00:823] meTT Unlocked HellfireRocketLauncher
[04:365] meTT Unlocked AdvancedDroidEngines
[06:913] meTT Unlocked SpecOpsHellfireRocketLauncher
[07:469] meTT Unlocked TurboDroidEngines
[08:769] meTT Unlocked MotionSensor
[09:770] meTT Placed/Upgraded SensorTower
[10:598] meTT Unlocked Stimpack
[12:151] meTT Unlocked BioMechanicalRepairDrone
[13:160] meTT Placed/Upgraded MiningDroid
[13:350] meTT Bought ShieldSuit
[13:350] meTT Bought CombatSuit
[13:350] meTT Bought HazmatSuit
[13:350] meTT Bought CombatSuit
