Analyzed: Oh No It's Zombies Arctic Updated (196)

ID : 0 PlayerName: BuildAWall Race: Terran
ID : 1 PlayerName: JOENG Race: Terran
ID : 2 PlayerName: Sovereign Race: Terran
ID : 3 PlayerName: Yello Race: Zerg
ID : 4 PlayerName: JYC Race: Terran
ID : 5 PlayerName: Sern Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Yello Zombie Win
Public Lobby

Game Length:[37:318]
Players ammount: 8
Marine rank avg: 6,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[00:588] BuildAWall Unlocked AssaultRifle
[00:748] BuildAWall Placed/Upgraded MiningDroid
[00:842] BuildAWall Unlocked AdvancedDroidEngines
[03:657] BuildAWall Unlocked SpecOpsAssaultRifle
[05:639] BuildAWall Unlocked TitaniumBulletCasings
[06:214] BuildAWall Unlocked OverloadWeapon
[08:055] BuildAWall Unlocked CombatSuit
[08:059] BuildAWall Unlocked AdvancedCombatSuit
[08:236] BuildAWall Unlocked CombatShield
[10:841] BuildAWall Unlocked BioMechanicalRepairDrone
[10:857] BuildAWall Unlocked AutoTurret
[10:869] BuildAWall Unlocked HeavyTurret
[11:080] BuildAWall Placed/Upgraded AutoTurret
[11:331] BuildAWall Placed/Upgraded AutoTurret
[11:506] BuildAWall Placed/Upgraded AutoTurret
[11:711] BuildAWall Unlocked SpecOpsBioMechanicalRepairDrone
[11:897] BuildAWall Placed/Upgraded HealingDrone
[12:400] BuildAWall Placed/Upgraded HealingDrone
[12:564] BuildAWall Unlocked RechargeDrone
[13:052] BuildAWall Placed/Upgraded HealingDrone
[16:781] BuildAWall Placed/Upgraded HealingDrone
[17:161] BuildAWall Placed/Upgraded HealingDrone
[17:335] BuildAWall Placed/Upgraded AutoTurret
[17:532] BuildAWall Placed/Upgraded AutoTurret
[17:775] BuildAWall Placed/Upgraded AutoTurret
[17:984] BuildAWall Placed/Upgraded AutoTurret
[18:164] BuildAWall Placed/Upgraded AutoTurret
[18:370] BuildAWall Placed/Upgraded AutoTurret
[18:577] BuildAWall Placed/Upgraded HealingDrone
[18:814] BuildAWall Placed/Upgraded HealingDrone
[18:999] BuildAWall Placed/Upgraded HealingDrone
[19:189] BuildAWall Placed/Upgraded HealingDrone
[20:296] BuildAWall Unlocked EnergyPack
[21:682] BuildAWall Unlocked MiningCharge
[21:772] BuildAWall Placed/Upgraded NukePack
[23:519] BuildAWall Placed/Upgraded HealingDrone
[24:555] BuildAWall Placed/Upgraded MiningDroid
[25:662] BuildAWall Placed/Upgraded HealingDrone
[27:236] BuildAWall Placed/Upgraded HealingDrone
[27:727] BuildAWall Placed/Upgraded HealingDrone
[27:952] BuildAWall Placed/Upgraded NukePack
[28:500] BuildAWall Placed/Upgraded HealingDrone
[29:587] BuildAWall Placed/Upgraded HealingDrone
[32:244] BuildAWall Placed/Upgraded HealingDrone
[33:216] BuildAWall Placed/Upgraded NukePack
[33:438] BuildAWall Unlocked PowerConverter
[33:742] BuildAWall Placed/Upgraded HealingDrone
[34:817] BuildAWall Placed/Upgraded HealingDrone
[35:919] BuildAWall Placed/Upgraded HealingDrone
[00:588] JOENG Unlocked AssaultRifle
[02:299] JOENG Placed/Upgraded MiningDroid
[08:056] JOENG Bought ShieldSuit
[08:056] JOENG Bought CombatSuit
[08:056] JOENG Bought HazmatSuit
[08:056] JOENG Bought CombatSuit
[08:060] JOENG Bought CombatSuit
[00:588] Sovereign Unlocked AssaultRifle
[00:667] Sovereign Placed MiningDroid
[01:088] Sovereign Unlocked HellfireRocketLauncher
[01:826] Sovereign Unlocked FragGrenade
[04:016] Sovereign Unlocked AdvancedDroidEngines
[08:541] Sovereign Unlocked TurboDroidEngines
[10:500] Sovereign Unlocked BeamRifle
[10:512] Sovereign Unlocked SpecOpsPlasmaRifle
[10:549] Sovereign Unlocked LongRangeScope
[11:564] Sovereign Unlocked OverloadWeapon
[12:033] Sovereign Unlocked ExplorationDroid
[12:110] Sovereign Placed ExplorationDroid
[12:673] Sovereign Placed ExplorationDroid
[12:963] Sovereign Unlocked Shieldsiotunlocked
[13:692] Sovereign Unlocked MedicShield
[13:702] Sovereign Unlocked EnergyPack
[14:263] Sovereign Unlocked OpticalVisor
[14:695] Sovereign Placed ExplorationDroid
[16:473] Sovereign Unlocked AdvancedExplorationDroid
[16:559] Sovereign Unlocked PsiDisrupter
[16:919] Sovereign Placed PsiIndoctrinator
[18:612] Sovereign Placed PsiIndoctrinator
[20:608] Sovereign Unlocked PsiDepressor
[20:692] Sovereign Unlocked Teleporter
[20:798] Sovereign Unlocked SpecOpsTeleporter
[23:488] Sovereign Placed MiningDroid
[24:439] Sovereign Placed ExplorationDroid
[25:299] Sovereign Placed ExplorationDroid
[25:734] Sovereign Unlocked MiningCharge
[26:270] Sovereign Placed NukePack
[27:558] Sovereign Unlocked SpecOpsFragGrenade
[28:436] Sovereign Placed NukePack
[34:181] Sovereign Placed ExplorationDroid
[00:552] Yello Bought PlayerNumber
[01:179] Yello Spawned MassiveCocoon
[01:345] Yello Placed/Upgraded PrimalSunkenColony
[01:346] Yello Bought SunkenColony
[02:619] Yello Spawned Hunter
[06:239] Yello Spawned MassiveCocoon
[06:331] Yello Spawned MassiveCocoon
[06:511] Yello Bought BuildExtractorScienceLabs
[06:511] Yello Placed/Upgraded AutomatedExtractor
[07:245] Yello Bought BuildExtractorScienceLabs
[07:679] Yello Spawned Anubalisk
[08:789] Yello Spawned MassiveCocoon
[10:229] Yello Spawned Anubalisk
[10:376] Yello Bought VirulentCreep
[10:376] Yello Bought VirulentCreep
[11:683] Yello Bought StrainSpeed
[12:486] Yello Bought AdvancedInfestationContainment
[12:964] Yello Bought ShieldSuit
[12:964] Yello Bought CombatSuit
[12:964] Yello Bought HazmatSuit
[12:964] Yello Bought ShieldSuit
[13:373] Yello Bought PureStrainSpeed
[14:700] Yello Bought SiphonFuel
[14:977] Yello Bought HunterlingStrain
[15:794] Yello Bought SunkenColony
[16:060] Yello Bought BuildExtractorProcessingFacilities
[16:060] Yello Placed/Upgraded AutomatedExtractor
[16:882] Yello Bought BuildExtractorExcavationZone
