Analyzed: Oh No It's Zombies Arctic Updated (197)

ID : 0 PlayerName: Dalas Race: Terran
ID : 1 PlayerName: Salem Race: Terran
ID : 2 PlayerName: Toxicpanda Race: Terran
ID : 3 PlayerName: HulkSmash Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: krazeyo Race: Terran
ID : 6 PlayerName: Meliodas Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Private Lobby

Game Length:[35:065]
Players ammount: 8
Marine rank avg: 17,166666666666668
GrandMaster ammount: 5
PURCHASES: 
[00:588] Dalas Unlocked AssaultRifle
[00:755] Dalas Unlocked Flamethrower
[00:808] Dalas Placed/Upgraded MiningDroid
[03:330] Dalas Unlocked SpecOpsFlamethrower
[05:479] Dalas Unlocked OverloadWeapon
[07:090] Dalas Unlocked SuperHealingDrone
[09:523] Dalas Unlocked SpecOpsSuperHealingDrone
[12:858] Dalas Unlocked CombatShield
[14:056] Dalas Unlocked ThermiteFilaments
[14:519] Dalas Unlocked BioMechanicalRepairDrone
[14:590] Dalas Placed/Upgraded HealingDrone
[16:880] Dalas Placed/Upgraded MiningDroid
[17:162] Dalas Unlocked AutoTurret
[17:641] Dalas Placed/Upgraded AutoTurret
[18:037] Dalas Placed/Upgraded AutoTurret
[21:439] Dalas Placed/Upgraded HealingDrone
[27:336] Dalas Unlocked HazmatSuit
[27:339] Dalas Unlocked AdvancedHazmatSuit
[29:374] Dalas Unlocked EnergyPack
[32:334] Dalas Unlocked Shieldsiotunlocked
[32:343] Dalas Unlocked AdvancedShieldSuit
[00:588] Salem Unlocked AssaultRifle
[00:667] Salem Placed/Upgraded MiningDroid
[00:784] Salem Unlocked AdvancedDroidEngines
[04:060] Salem Unlocked TurboDroidEngines
[05:821] Salem Unlocked Shotgun
[06:949] Salem Unlocked SpecOpsShotgun
[07:606] Salem Unlocked SuperStimpack
[09:513] Salem Unlocked HighPrecisionBeams
[11:820] Salem Unlocked SpecOpsSuperStimpack
[11:869] Salem Unlocked BioMechanicalRepairDrone
[13:235] Salem Unlocked CombatShield
[13:479] Salem Placed/Upgraded HealingDrone
[14:892] Salem Unlocked Stimpack
[15:618] Salem Placed/Upgraded HealingDrone
[16:022] Salem Placed/Upgraded HealingDrone
[19:556] Salem Unlocked Shieldsiotunlocked
[19:562] Salem Unlocked AdvancedShieldSuit
[21:587] Salem Unlocked MiningCharge
[21:596] Salem Unlocked AdvancedMiningCharge
[22:405] Salem Placed/Upgraded NukePack
[23:391] Salem Unlocked AutoTurret
[23:414] Salem Unlocked HeavyTurret
[23:564] Salem Placed/Upgraded AutoTurret
[24:289] Salem Placed/Upgraded AutoTurret
[24:500] Salem Placed/Upgraded AutoTurret
[26:212] Salem Placed/Upgraded NukePack
[26:385] Salem Placed/Upgraded NukePack
[26:536] Salem Placed/Upgraded NukePack
[26:745] Salem Placed/Upgraded AutoTurret
[26:944] Salem Placed/Upgraded AutoTurret
[27:135] Salem Placed/Upgraded AutoTurret
[27:292] Salem Unlocked SpecOpsBioMechanicalRepairDrone
[27:337] Salem Bought ShieldSuit
[27:337] Salem Bought CombatSuit
[27:337] Salem Bought HazmatSuit
[27:337] Salem Bought HazmatSuit
[27:340] Salem Bought HazmatSuit
[27:479] Salem Placed/Upgraded HealingDrone
[27:879] Salem Placed/Upgraded HealingDrone
[28:081] Salem Placed/Upgraded HealingDrone
[29:200] Salem Placed/Upgraded HealingDrone
[29:390] Salem Placed/Upgraded HealingDrone
[29:600] Salem Placed/Upgraded HealingDrone
[32:233] Salem Unlocked PsiDisrupter
[32:250] Salem Unlocked PsiDepressor
[32:301] Salem Placed/Upgraded PsiIndoctrinator
[32:335] Salem Bought ShieldSuit
[32:335] Salem Bought CombatSuit
[32:335] Salem Bought HazmatSuit
[32:335] Salem Bought ShieldSuit
[32:344] Salem Bought ShieldSuit
[33:884] Salem Placed/Upgraded NukePack
[00:588] Toxicpanda Unlocked AssaultRifle
[00:667] Toxicpanda Placed/Upgraded MiningDroid
[00:705] Toxicpanda Unlocked IncendiaryGrenade
[02:615] Toxicpanda Unlocked AdvancedDroidEngines
[03:555] Toxicpanda Unlocked ExplorationDroid
[03:617] Toxicpanda Placed/Upgraded ExplorationDroid
[07:131] Toxicpanda Unlocked SpecOpsAssaultRifle
[08:900] Toxicpanda Unlocked TitaniumBulletCasings
[11:494] Toxicpanda Unlocked Stimpack
[12:423] Toxicpanda Unlocked AIAssistant
[13:789] Toxicpanda Unlocked SpecOpsIncendiaryGrenade
[13:945] Toxicpanda Unlocked MedicShield
[16:025] Toxicpanda Unlocked HazmatSuit
[17:921] Toxicpanda Unlocked AutoTurret
[18:270] Toxicpanda Unlocked CombatSuit
[18:819] Toxicpanda Placed/Upgraded AutoTurret
[19:079] Toxicpanda Placed/Upgraded AutoTurret
[19:557] Toxicpanda Bought ShieldSuit
[19:557] Toxicpanda Bought CombatSuit
[19:557] Toxicpanda Bought HazmatSuit
[19:557] Toxicpanda Bought ShieldSuit
[19:563] Toxicpanda Bought ShieldSuit
[19:623] Toxicpanda Placed/Upgraded AutoTurret
[19:721] Toxicpanda Unlocked FlameTurret
[21:732] Toxicpanda Unlocked SpecOpsTurret
[21:813] Toxicpanda Unlocked AdvancedCombatSuit
[22:534] Toxicpanda Unlocked TurboDroidEngines
[23:199] Toxicpanda Placed/Upgraded AutoTurret
[23:940] Toxicpanda Placed/Upgraded MiningDroid
[24:365] Toxicpanda Placed/Upgraded AutoTurret
[24:562] Toxicpanda Placed/Upgraded AutoTurret
[25:135] Toxicpanda Placed/Upgraded AutoTurret
[25:596] Toxicpanda Placed/Upgraded AutoTurret
[26:311] Toxicpanda Placed/Upgraded AutoTurret
[26:504] Toxicpanda Placed/Upgraded AutoTurret
[27:245] Toxicpanda Placed/Upgraded AutoTurret
[29:236] Toxicpanda Unlocked PsiDisrupter
[29:258] Toxicpanda Unlocked PsiDepressor
[30:693] Toxicpanda Unlocked QuantumBackpack
[30:726] Toxicpanda Unlocked BioMechanicalRepairDrone
[30:768] Toxicpanda Unlocked SpecOpsBioMechanicalRepairDrone
[31:070] Toxicpanda Placed/Upgraded HealingDrone
[31:362] Toxicpanda Placed/Upgraded HealingDrone
[33:978] Toxicpanda Placed/Upgraded HealingDrone
[33:991] Toxicpanda Placed/Upgraded MiningDroid
[00:588] HulkSmash Unlocked AssaultRifle
[00:670] HulkSmash Placed MiningDroid
[00:738] HulkSmash Unlocked BeamRifle
[03:205] HulkSmash Unlocked Stimpack
[05:904] HulkSmash Unlocked SpecOpsPlasmaRifle
[07:597] HulkSmash Unlocked PlasmaRifleMod3
[08:828] HulkSmash Unlocked MedicShield
[11:055] HulkSmash Unlocked SuperStimpack
[12:311] HulkSmash Unlocked AdvancedDroidEngines
[16:026] HulkSmash Bought ShieldSuit
[16:026] HulkSmash Bought CombatSuit
[16:026] HulkSmash Bought HazmatSuit
[16:026] HulkSmash Bought HazmatSuit
[18:271] HulkSmash Bought ShieldSuit
[18:271] HulkSmash Bought CombatSuit
[18:271] HulkSmash Bought HazmatSuit
[18:271] HulkSmash Bought CombatSuit
[21:814] HulkSmash Bought CombatSuit
[00:552] Frosky Bought PlayerNumber
[00:651] Frosky Spawned MassiveCocoon
[02:091] Frosky Spawned Hunter
[05:908] Frosky Bought CreepSpeed
[07:667] Frosky Placed/Upgraded ToxicNest
[08:603] Frosky Bought CreepSpeed
[11:235] Frosky Bought VirulentCreep
[11:235] Frosky Bought VirulentCreep
[13:596] Frosky Bought StrainSpeed
[14:659] Frosky Spawned MassiveCocoon
[16:099] Frosky Spawned Hunter
[17:332] Frosky Bought StrainSpeed
[18:161] Frosky Bought StrainDamage
[19:822] Frosky Bought StrainHealth
[19:830] Frosky Bought PureStrainSpeed
[21:775] Frosky Bought HunterlingStrain
[21:782] Frosky Bought PureStrainSpeed
[24:011] Frosky Bought HunterlingStrain
[25:548] Frosky Bought DropshipsFueled
[26:716] Frosky Spawned MassiveCocoon
[27:721] Frosky Bought SpawnNydusWorm
[30:300] Frosky Bought SweepingInfestation
[30:300] Frosky Bought UltimateInfestationResearched
[30:859] Frosky Bought PureStrainHealth
[30:865] Frosky Bought PureStrainDamage
[32:344] Frosky Bought DefilerStrain
[33:071] Frosky Placed/Upgraded GreaterNydusWorm
[00:588] krazeyo Unlocked AssaultRifle
[00:718] krazeyo Placed/Upgraded MiningDroid
[01:767] krazeyo Unlocked Flamethrower
