Analyzed: Oh No It's Zombies Arctic Updated (203)

ID : 0 PlayerName: Yello Race: Terran
ID : 1 PlayerName: Frosky Race: Zerg
ID : 2 PlayerName: Hurzty Race: Terran
ID : 3 PlayerName: Tind Race: Terran
ID : 4 PlayerName: PrimeSTEMI Race: Terran
ID : 5 PlayerName: iliketerran Race: Terran
ID : 6 PlayerName: Release Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
Frosky Zombie Loss
Public Lobby

Game Length:[46:697]
Players ammount: 8
Marine rank avg: 4,833333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:588] Yello Unlocked AssaultRifle
[00:771] Yello Placed MiningDroid
[00:850] Yello Unlocked FragGrenade
[00:866] Yello Unlocked SpecOpsFragGrenade
[03:015] Yello Unlocked MotionSensor
[03:367] Yello Placed SensorTower
[04:608] Yello Placed SensorTower
[07:008] Yello Unlocked AdvancedDroidEngines
[09:032] Yello Unlocked HellfireRocketLauncher
[09:549] Yello Placed SensorTower
[11:907] Yello Unlocked Stimpack
[14:581] Yello Placed MiningDroid
[18:550] Yello Unlocked HazmatSuit
[18:581] Yello Unlocked SpecOpsHellfireRocketLauncher
[18:612] Yello Unlocked ShockwaveMissiles
[19:317] Yello Unlocked BioMechanicalRepairDrone
[20:012] Yello Unlocked ExplorationDroid
[20:027] Yello Placed ExplorationDroid
[24:012] Yello Unlocked Teleporter
[27:833] Yello Placed ExplorationDroid
[29:606] Yello Placed ExplorationDroid
[36:173] Yello Unlocked AIAssistant
[40:255] Yello Placed HealingDrone
[41:122] Yello Placed HealingDrone
[43:780] Yello Placed HealingDrone
[44:536] Yello Placed HealingDrone
[44:920] Yello Placed HealingDrone
[45:145] Yello Placed HealingDrone
[00:552] Frosky Bought PlayerNumber
[00:645] Frosky Spawned MassiveCocoon
[02:085] Frosky Spawned Hunter
[05:857] Frosky Placed/Upgraded ToxicNest
[06:144] Frosky Placed/Upgraded ToxicNest
[06:282] Frosky Bought CreepSpeed
[06:984] Frosky Placed/Upgraded ToxicNest
[09:030] Frosky Bought CreepSpeed
[10:713] Frosky Bought VirulentCreep
[10:713] Frosky Bought VirulentCreep
