Analyzed: Oh No It's Zombies Arctic Updated (205)

ID : 0 PlayerName: Salem Race: Terran
ID : 1 PlayerName: chilie Race: Terran
ID : 2 PlayerName: Yuno Race: Zerg
ID : 3 PlayerName: Akta Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: Roarzanator Race: Terran
ID : 6 PlayerName: eric Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Yuno Zombie Win
Public Lobby

Game Length:[37:483]
Players ammount: 8
Marine rank avg: 7,333333333333333
GrandMaster ammount: 2
PURCHASES: 
[00:588] Salem Unlocked AssaultRifle
[00:667] Salem Placed/Upgraded MiningDroid
[00:725] Salem Unlocked AdvancedDroidEngines
[03:378] Salem Unlocked TurboDroidEngines
[05:078] Salem Unlocked SpecOpsAssaultRifle
[06:529] Salem Unlocked AutoTargetingSystem
[08:987] Salem Unlocked OverloadWeapon
[09:310] Salem Placed/Upgraded MiningDroid
[11:984] Salem Unlocked EnergySuit
[11:985] Salem Unlocked EnergySuit
[11:993] Salem Unlocked AdvancedEnergySuit
[11:994] Salem Unlocked EnergySuit
[11:994] Salem Unlocked AdvancedEnergySuit
[12:043] Salem Unlocked AIAssistant
[12:153] Salem Unlocked FragGrenade
[12:166] Salem Unlocked SpecOpsFragGrenade
[17:040] Salem Unlocked MedicShield
[17:066] Salem Unlocked EnergyPack
[17:105] Salem Unlocked BioMechanicalRepairDrone
[17:205] Salem Unlocked Teleporter
[17:221] Salem Unlocked SpecOpsTeleporter
[18:924] Salem Placed/Upgraded HealingDrone
[19:074] Salem Unlocked MiningCharge
[19:082] Salem Unlocked AdvancedMiningCharge
[23:982] Salem Placed/Upgraded NukePack
[25:498] Salem Placed/Upgraded HealingDrone
[26:467] Salem Placed/Upgraded HealingDrone
[26:801] Salem Placed/Upgraded NukePack
[27:774] Salem Placed/Upgraded HealingDrone
[28:948] Salem Placed/Upgraded NukePack
[30:024] Salem Placed/Upgraded HealingDrone
[31:240] Salem Placed/Upgraded HealingDrone
[32:234] Salem Placed/Upgraded HealingDrone
[32:763] Salem Placed/Upgraded NukePack
[32:775] Salem Placed/Upgraded HealingDrone
[32:962] Salem Placed/Upgraded HealingDrone
[33:366] Salem Placed/Upgraded NukePack
[34:403] Salem Placed/Upgraded HealingDrone
[35:003] Salem Placed/Upgraded HealingDrone
[35:190] Salem Placed/Upgraded HealingDrone
[35:514] Salem Placed/Upgraded HealingDrone
[00:588] chilie Unlocked AssaultRifle
[00:780] chilie Placed MiningDroid
[01:024] chilie Unlocked Flamethrower
[03:325] chilie Unlocked SpecOpsFlamethrower
[05:500] chilie Unlocked ExplorationDroid
