Analyzed: Oh No It's Zombies Arctic Updated (208)

ID : 0 PlayerName: iliketerran Race: Terran
ID : 1 PlayerName: Problematic Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: Westy Race: Terran
ID : 4 PlayerName: Lionbane Race: Terran
ID : 5 PlayerName: Yello Race: Terran
ID : 6 PlayerName: cheese Race: Terran
ID : 7 PlayerName: Security Race: Terran
Frosky Zombie Win
Public Lobby

Game Length:[41:156]
Players ammount: 8
Marine rank avg: 5,5
GrandMaster ammount: 1
PURCHASES: 
[00:588] iliketerran Unlocked AssaultRifle
[00:718] iliketerran Unlocked AdvancedDroidEngines
[00:748] iliketerran Placed/Upgraded MiningDroid
[03:310] iliketerran Unlocked Flamethrower
[04:299] iliketerran Unlocked Shieldsiotunlocked
[04:639] iliketerran Unlocked AdvancedShieldSuit
[06:618] iliketerran Unlocked SpecOpsFlamethrower
[07:924] iliketerran Unlocked DefensiveMatrix
[10:162] iliketerran Unlocked Shotgun
[11:580] iliketerran Unlocked PsiDisrupter
[13:302] iliketerran Placed/Upgraded PsiIndoctrinator
[14:062] iliketerran Unlocked SpecOpsPsiDisruptor
[16:891] iliketerran Placed/Upgraded MiningDroid
[19:304] iliketerran Unlocked SuperHealingDrone
[35:471] iliketerran Placed/Upgraded PsiIndoctrinator
[00:588] Problematic Unlocked AssaultRifle
[00:791] Problematic Placed MiningDroid
[00:870] Problematic Unlocked AdvancedDroidEngines
[04:050] Problematic Unlocked SpecOpsAssaultRifle
[04:300] Problematic Bought ShieldSuit
[04:300] Problematic Bought CombatSuit
[04:300] Problematic Bought HazmatSuit
[04:300] Problematic Bought ShieldSuit
[04:640] Problematic Bought ShieldSuit
[05:102] Problematic Unlocked CombatSuit
[07:169] Problematic Unlocked TitaniumBulletCasings
[08:684] Problematic Unlocked AdvancedCombatSuit
[09:893] Problematic Unlocked Stimpack
[11:040] Problematic Unlocked MedicShield
[13:972] Problematic Unlocked SuperStimpack
[14:080] Problematic Unlocked AIAssistant
[14:901] Problematic Unlocked PsiDisrupter
[16:026] Problematic Placed PsiIndoctrinator
[18:240] Problematic Placed PsiIndoctrinator
[21:411] Problematic Placed PsiIndoctrinator
[22:266] Problematic Placed PsiIndoctrinator
[22:996] Problematic Placed PsiIndoctrinator
[25:469] Problematic Placed PsiIndoctrinator
[36:505] Problematic Unlocked PsiDepressor
[39:230] Problematic Placed PsiIndoctrinator
[00:552] Frosky Bought PlayerNumber
[00:727] Frosky Spawned MassiveCocoon
[02:167] Frosky Spawned Hunter
[05:103] Frosky Bought ShieldSuit
[05:103] Frosky Bought CombatSuit
[05:103] Frosky Bought HazmatSuit
[05:103] Frosky Bought CombatSuit
[05:393] Frosky Bought CreepSpeed
[08:685] Frosky Bought CombatSuit
[10:238] Frosky Bought CreepSpeed
[12:263] Frosky Bought StrainSpeed
[12:803] Frosky Placed/Upgraded NydusCanalCreeper
[14:936] Frosky Bought StrainSpeed
[15:239] Frosky Placed/Upgraded ToxicNest
[15:246] Frosky Placed/Upgraded ToxicNest
[16:199] Frosky Bought UnlockDropPods
[17:288] Frosky Placed/Upgraded ToxicNest
[17:307] Frosky Placed/Upgraded ToxicNest
[18:030] Frosky Bought VirulentCreep
[18:030] Frosky Bought VirulentCreep
[18:485] Frosky Placed/Upgraded Virophage
[19:582] Frosky Placed/Upgraded ToxicNest
[19:615] Frosky Placed/Upgraded ToxicNest
[19:717] Frosky Bought StrainVolatile
[19:738] Frosky Bought PureStrainVolatile
[20:638] Frosky Placed/Upgraded ToxicNest
[20:650] Frosky Placed/Upgraded ToxicNest
[21:536] Frosky Bought EvolveDropPods
[22:266] Frosky Placed/Upgraded Virophage
[23:876] Frosky Placed/Upgraded NydusCanalCreeper
[25:777] Frosky Bought StrainVolatile
[27:983] Frosky Bought AdvancedInfestationContainment
[29:312] Frosky Bought SiphonFuel
[31:424] Frosky Bought SpawnNydusWorm
[31:866] Frosky Placed/Upgraded NydusCanalCreeper
[32:720] Frosky Placed/Upgraded GreaterNydusWorm
[34:525] Frosky Bought DropshipsFueled
[36:728] Frosky Bought StrainDamage
[36:747] Frosky Bought PureStrainSpeed
[36:790] Frosky Bought PureStrainDamage
[36:825] Frosky Bought HunterlingStrain
[36:924] Frosky Bought SweepingInfestation
[36:924] Frosky Bought UltimateInfestationResearched
[37:076] Frosky Spawned MassiveCocoon
[39:173] Frosky Placed/Upgraded NydusCanalCreeper
[39:478] Frosky Placed/Upgraded GreaterNydusWorm
[00:588] Westy Unlocked AssaultRifle
[00:667] Westy Placed/Upgraded MiningDroid
[00:824] Westy Unlocked SuperStimpack
[02:845] Westy Unlocked BeamRifle
[04:868] Westy Unlocked AdvancedDroidEngines
[07:800] Westy Unlocked TurboDroidEngines
[09:039] Westy Unlocked CombatSuit
[10:199] Westy Unlocked Stimpack
[11:522] Westy Unlocked AdvancedCombatSuit
[12:554] Westy Unlocked BioMechanicalRepairDrone
[12:616] Westy Placed/Upgraded HealingDrone
[14:036] Westy Placed/Upgraded HealingDrone
[15:015] Westy Placed/Upgraded HealingDrone
[15:384] Westy Placed/Upgraded HealingDrone
[16:753] Westy Placed/Upgraded HealingDrone
[22:580] Westy Placed/Upgraded HealingDrone
[24:087] Westy Placed/Upgraded HealingDrone
[30:025] Westy Placed/Upgraded HealingDrone
[00:588] Lionbane Unlocked AssaultRifle
[00:668] Lionbane Placed/Upgraded MiningDroid
[00:849] Lionbane Unlocked FragGrenade
[00:856] Lionbane Unlocked SpecOpsFragGrenade
[04:161] Lionbane Unlocked AdvancedDroidEngines
[04:563] Lionbane Placed/Upgraded MiningDroid
[07:955] Lionbane Unlocked TurboDroidEngines
[09:040] Lionbane Bought ShieldSuit
[09:040] Lionbane Bought CombatSuit
[09:040] Lionbane Bought HazmatSuit
[09:040] Lionbane Bought CombatSuit
[09:746] Lionbane Unlocked AutoTurret
[09:796] Lionbane Unlocked HeavyTurret
[11:523] Lionbane Bought CombatSuit
[12:222] Lionbane Unlocked EnergySuit
[12:223] Lionbane Unlocked EnergySuit
[12:232] Lionbane Unlocked AdvancedEnergySuit
[12:233] Lionbane Unlocked EnergySuit
[12:233] Lionbane Unlocked AdvancedEnergySuit
[13:483] Lionbane Placed/Upgraded AutoTurret
[13:935] Lionbane Placed/Upgraded AutoTurret
[15:882] Lionbane Unlocked BeamRifle
[16:070] Lionbane Unlocked SpecOpsPlasmaRifle
[20:205] Lionbane Unlocked LongRangeScope
[27:565] Lionbane Placed/Upgraded AutoTurret
[33:380] Lionbane Unlocked BioMechanicalRepairDrone
[36:079] Lionbane Placed/Upgraded HealingDrone
[38:002] Lionbane Placed/Upgraded HealingDrone
[38:585] Lionbane Placed/Upgraded AutoTurret
[38:990] Lionbane Placed/Upgraded AutoTurret
[39:658] Lionbane Placed/Upgraded AutoTurret
[40:104] Lionbane Placed/Upgraded AutoTurret
[00:588] Yello Unlocked AssaultRifle
[00:667] Yello Placed/Upgraded MiningDroid
[02:062] Yello Unlocked SuperStimpack
[02:845] Yello Unlocked HazmatSuit
[04:502] Yello Unlocked MotionSensor
[05:656] Yello Placed/Upgraded SensorTower
[07:485] Yello Placed/Upgraded SensorTower
[08:520] Yello Placed/Upgraded SensorTower
[08:879] Yello Unlocked AdvancedDroidEngines
[11:696] Yello Unlocked Shotgun
[12:223] Yello Bought ShieldSuit
[12:223] Yello Bought CombatSuit
[12:223] Yello Bought HazmatSuit
[12:605] Yello Unlocked MedicShield
[12:880] Yello Unlocked BioMechanicalRepairDrone
[14:352] Yello Unlocked SpecOpsShotgun
[17:326] Yello Placed/Upgraded HealingDrone
[17:777] Yello Unlocked ExplorationDroid
[17:794] Yello Placed/Upgraded ExplorationDroid
[17:814] Yello Placed/Upgraded ExplorationDroid
[18:053] Yello Unlocked AdvancedHazmatSuit
[21:758] Yello Placed/Upgraded HealingDrone
[21:963] Yello Placed/Upgraded HealingDrone
[29:967] Yello Unlocked Stimpack
[36:688] Yello Placed/Upgraded HealingDrone
[36:926] Yello Placed/Upgraded ExplorationDroid
[36:993] Yello Unlocked MiningCharge
[38:616] Yello Placed/Upgraded HealingDrone
[39:191] Yello Placed/Upgraded HealingDrone
[00:588] cheese Unlocked AssaultRifle
[00:796] cheese Unlocked AdvancedDroidEngines
[02:817] cheese Unlocked SuperStimpack
[02:846] cheese Bought ShieldSuit
[02:846] cheese Bought CombatSuit
[02:846] cheese Bought HazmatSuit
[02:846] cheese Bought HazmatSuit
[04:799] cheese Unlocked TurboDroidEngines
[07:108] cheese Unlocked SpecOpsSuperStimpack
[07:976] cheese Unlocked AIAssistant
[08:783] cheese Unlocked MotionSensor
[11:252] cheese Unlocked Stimpack
[11:992] cheese Unlocked MedicShield
[12:903] cheese Unlocked EnergyPack
[15:508] cheese Unlocked SpecOpsAssaultRifle
[16:668] cheese Unlocked Bayonette
[18:054] cheese Bought HazmatSuit
[18:066] cheese Unlocked AutoTargetingSystem
[19:285] cheese Unlocked EnergySuit
[19:286] cheese Unlocked EnergySuit
[25:579] cheese Unlocked TitaniumBulletCasings
[19:286] Security Bought ShieldSuit
[19:286] Security Bought CombatSuit
[19:286] Security Bought HazmatSuit
Frosky First Alpha Hunter |  Win

Frosky Placed 2 Greaters.
--------------------------------
