Analyzed: Oh No It's Zombies Arctic Updated (21)

ID : 0 PlayerName: JMM Race: Terran
ID : 1 PlayerName: ArcticBlade Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: Andderson Race: Terran
ID : 4 PlayerName: SkyDragon Race: Terran
ID : 5 PlayerName: Sneakysloth Race: Terran
ID : 6 PlayerName: pegasus Race: Zerg
ID : 7 PlayerName: Security Race: Terran Tychus
pegasus Zombie Win
Public Lobby

Game Length:[41:525]
Players ammount: 8
Marine rank avg: 10,333333333333334
GrandMaster ammount: 2
PURCHASES: 
[00:588] JMM Unlocked AssaultRifle
[00:739] JMM Unlocked SpecOpsAssaultRifle
[05:686] JMM Placed/Upgraded MiningDroid
[09:570] JMM Unlocked AutoTargetingSystem
[11:447] JMM Unlocked Stimpack
[15:256] JMM Unlocked SuperStimpack
[18:063] JMM Unlocked MiningCharge
[18:085] JMM Unlocked AdvancedMiningCharge
[19:046] JMM Placed/Upgraded NukePack
[19:517] JMM Unlocked FlashBang
[21:285] JMM Placed/Upgraded NukePack
[22:418] JMM Placed/Upgraded NukePack
[23:371] JMM Placed/Upgraded NukePack
[23:740] JMM Unlocked BioMechanicalRepairDrone
[23:832] JMM Placed/Upgraded HealingDrone
[26:626] JMM Placed/Upgraded NukePack
[27:296] JMM Unlocked SpecOpsBioMechanicalRepairDrone
[28:234] JMM Unlocked SpecOpsFlashbang
[29:286] JMM Placed/Upgraded MiningDroid
[32:417] JMM Placed/Upgraded HealingDrone
[32:864] JMM Placed/Upgraded HealingDrone
[35:593] JMM Unlocked MedicShield
[36:942] JMM Placed/Upgraded NukePack
[37:389] JMM Placed/Upgraded HealingDrone
[39:250] JMM Placed/Upgraded HealingDrone
[39:721] JMM Placed/Upgraded HealingDrone
[00:588] ArcticBlade Unlocked AssaultRifle
[00:708] ArcticBlade Placed/Upgraded MiningDroid
[00:895] ArcticBlade Unlocked AutoTurret
[01:362] ArcticBlade Placed/Upgraded AutoTurret
[02:724] ArcticBlade Placed/Upgraded AutoTurret
[02:931] ArcticBlade Placed/Upgraded AutoTurret
[05:767] ArcticBlade Unlocked AdvancedDroidEngines
[06:684] ArcticBlade Unlocked BeamRifle
[09:956] ArcticBlade Unlocked TurboDroidEngines
[11:730] ArcticBlade Unlocked BioMechanicalRepairDrone
[11:761] ArcticBlade Unlocked CombatAccelerationDrone
[12:017] ArcticBlade Placed/Upgraded HealingDrone
[12:410] ArcticBlade Placed/Upgraded HealingDrone
[12:776] ArcticBlade Placed/Upgraded HealingDrone
[14:593] ArcticBlade Unlocked ExplorationDroid
[14:640] ArcticBlade Placed/Upgraded ExplorationDroid
[14:810] ArcticBlade Placed/Upgraded ExplorationDroid
[17:762] ArcticBlade Unlocked ArcWelder
[17:811] ArcticBlade Unlocked SpecOpsArcWelder
[18:881] ArcticBlade Placed/Upgraded HealingDrone
[19:085] ArcticBlade Placed/Upgraded HealingDrone
[19:536] ArcticBlade Placed/Upgraded HealingDrone
[20:195] ArcticBlade Placed/Upgraded AutoTurret
[20:397] ArcticBlade Placed/Upgraded AutoTurret
[20:605] ArcticBlade Placed/Upgraded AutoTurret
[21:693] ArcticBlade Placed/Upgraded ExplorationDroid
[22:082] ArcticBlade Unlocked ArcWelderMod1
[24:233] ArcticBlade Placed/Upgraded AutoTurret
[27:399] ArcticBlade Unlocked EnergySuit
[27:400] ArcticBlade Unlocked EnergySuit
[27:420] ArcticBlade Unlocked AdvancedEnergySuit
[27:421] ArcticBlade Unlocked EnergySuit
[27:421] ArcticBlade Unlocked AdvancedEnergySuit
[27:608] ArcticBlade Unlocked SpecOpsTurret
[27:890] ArcticBlade Unlocked OpticalVisor
[27:959] ArcticBlade Unlocked QuantumBackpack
[28:409] ArcticBlade Placed/Upgraded ExplorationDroid
[00:588] Frosky Unlocked AssaultRifle
[00:766] Frosky Placed/Upgraded MiningDroid
[00:867] Frosky Unlocked AdvancedDroidEngines
[06:486] Frosky Unlocked TurboDroidEngines
[06:588] Frosky Unlocked BeamRifle
[07:547] Frosky Unlocked CombatSuit
[12:639] Frosky Unlocked Stimpack
[21:221] Frosky Placed/Upgraded MiningDroid
[27:400] Frosky Bought ShieldSuit
[27:400] Frosky Bought CombatSuit
[27:400] Frosky Bought HazmatSuit
[31:872] Frosky Unlocked Teleporter
[37:077] Frosky Unlocked AutoTurret
[39:249] Frosky Placed/Upgraded AutoTurret
[00:588] Andderson Unlocked AssaultRifle
[01:632] Andderson Unlocked ForceFieldGrenade
[01:646] Andderson Unlocked SpecOpsForcefieldGrenade
[01:721] Andderson Placed/Upgraded MiningDroid
[04:416] Andderson Unlocked AdvancedDroidEngines
[06:601] Andderson Unlocked MotionSensor
[06:983] Andderson Placed/Upgraded SensorTower
[07:463] Andderson Unlocked BioMechanicalRepairDrone
[07:548] Andderson Bought ShieldSuit
[07:548] Andderson Bought CombatSuit
[07:548] Andderson Bought HazmatSuit
[07:548] Andderson Bought CombatSuit
[07:590] Andderson Placed/Upgraded HealingDrone
[09:237] Andderson Placed/Upgraded HealingDrone
[09:690] Andderson Unlocked BeamRifle
[13:008] Andderson Unlocked SpecOpsPlasmaRifle
