Analyzed: Oh No It's Zombies Arctic Updated (211)

ID : 0 PlayerName: Cruel Race: Terran
ID : 1 PlayerName: RyK Race: Terran
ID : 2 PlayerName: reefing Race: Terran
ID : 3 PlayerName: Frosky Race: Zerg
ID : 4 PlayerName: RunningRat Race: Terran
ID : 5 PlayerName: HornyHumplar Race: Terran
ID : 6 PlayerName: Grazx Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Frosky Zombie Loss
Private Lobby

Game Length:[34:637]
Players ammount: 8
Marine rank avg: 16,333333333333332
GrandMaster ammount: 4
PURCHASES: 
[00:588] Cruel Unlocked AssaultRifle
[00:667] Cruel Placed/Upgraded MiningDroid
[04:208] Cruel Unlocked AdvancedDroidEngines
[04:249] Cruel Unlocked Shotgun
[06:431] Cruel Unlocked SpecOpsShotgun
[08:594] Cruel Unlocked SuperStimpack
[10:054] Cruel Unlocked HighPrecisionBeams
[11:345] Cruel Unlocked MedicShield
[11:993] Cruel Unlocked OpticalVisor
[18:684] Cruel Unlocked HazmatSuit
[18:694] Cruel Unlocked AdvancedHazmatSuit
[23:166] Cruel Unlocked SpecOpsSuperStimpack
[24:702] Cruel Unlocked PsiDisrupter
[24:820] Cruel Placed/Upgraded PsiIndoctrinator
[27:602] Cruel Unlocked Stimpack
[29:141] Cruel Placed/Upgraded PsiIndoctrinator
[31:106] Cruel Unlocked PsiDepressor
[00:588] RyK Unlocked AssaultRifle
[00:667] RyK Placed/Upgraded MiningDroid
[00:804] RyK Unlocked FragGrenade
[03:175] RyK Unlocked AdvancedDroidEngines
[04:315] RyK Unlocked ExplorationDroid
[04:328] RyK Placed/Upgraded ExplorationDroid
[04:332] RyK Placed/Upgraded ExplorationDroid
[04:462] RyK Placed/Upgraded ExplorationDroid
[05:818] RyK Unlocked SpecOpsFragGrenade
[08:376] RyK Unlocked SpecOpsAssaultRifle
[09:144] RyK Unlocked Stimpack
[10:932] RyK Unlocked AutoTargetingSystem
[12:576] RyK Unlocked TurboDroidEngines
[13:402] RyK Unlocked PowerConverter
[14:159] RyK Unlocked MedicShield
[17:303] RyK Unlocked QuantumBackpack
[17:348] RyK Unlocked EnergySuit
[17:349] RyK Unlocked EnergySuit
[17:361] RyK Unlocked AdvancedEnergySuit
[17:362] RyK Unlocked EnergySuit
[17:362] RyK Unlocked AdvancedEnergySuit
[18:685] RyK Bought ShieldSuit
[18:685] RyK Bought CombatSuit
[18:685] RyK Bought HazmatSuit
[18:685] RyK Bought HazmatSuit
[18:695] RyK Bought HazmatSuit
[23:157] RyK Placed/Upgraded MiningDroid
[26:722] RyK Unlocked MiningCharge
[26:743] RyK Unlocked AdvancedMiningCharge
[27:313] RyK Unlocked BioMechanicalRepairDrone
[27:579] RyK Placed/Upgraded HealingDrone
[27:928] RyK Placed/Upgraded HealingDrone
[32:488] RyK Placed/Upgraded HealingDrone
[32:751] RyK Placed/Upgraded HealingDrone
[33:094] RyK Placed/Upgraded HealingDrone
[00:588] reefing Unlocked AssaultRifle
[00:667] reefing Placed MiningDroid
[02:182] reefing Unlocked AdvancedDroidEngines
[03:790] reefing Unlocked BeamRifle
[04:283] reefing Unlocked CombatSuit
[05:825] reefing Unlocked SpecOpsPlasmaRifle
