Analyzed: Oh No It's Zombies Arctic Updated (218)

ID : 0 PlayerName: BuildAWall Race: Terran
ID : 1 PlayerName: Yello Race: Terran
ID : 2 PlayerName: NightKnight Race: Terran
ID : 3 PlayerName: Nami Race: Terran
ID : 4 PlayerName: Frosky Race: Zerg
ID : 5 PlayerName: Paiemon Race: Terran
ID : 6 PlayerName: opfewdikopfw Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
Frosky Zombie Loss
Public Lobby

Game Length:[40:385]
Players ammount: 8
Marine rank avg: 3,6666666666666665
GrandMaster ammount: 1
PURCHASES: 
[00:588] BuildAWall Unlocked AssaultRifle
[00:731] BuildAWall Placed/Upgraded MiningDroid
[00:872] BuildAWall Unlocked MiningCharge
[00:883] BuildAWall Unlocked AdvancedMiningCharge
[02:167] BuildAWall Placed/Upgraded NukePack
[04:014] BuildAWall Placed/Upgraded NukePack
[05:847] BuildAWall Placed/Upgraded NukePack
[07:397] BuildAWall Placed/Upgraded MiningDroid
[10:184] BuildAWall Unlocked AdvancedDroidEngines
[12:471] BuildAWall Placed/Upgraded MiningDroid
[13:634] BuildAWall Unlocked TurboDroidEngines
[14:675] BuildAWall Placed/Upgraded NukePack
[16:176] BuildAWall Unlocked Stimpack
[16:693] BuildAWall Unlocked BioMechanicalRepairDrone
[16:851] BuildAWall Placed/Upgraded HealingDrone
[17:793] BuildAWall Unlocked CombatAccelerationDrone
[18:154] BuildAWall Placed/Upgraded HealingDrone
[18:940] BuildAWall Placed/Upgraded HealingDrone
[19:949] BuildAWall Unlocked CloakingDevice
[22:383] BuildAWall Placed/Upgraded MiningDroid
[23:725] BuildAWall Placed/Upgraded HealingDrone
[23:987] BuildAWall Placed/Upgraded HealingDrone
[24:204] BuildAWall Placed/Upgraded HealingDrone
[24:739] BuildAWall Placed/Upgraded HealingDrone
[25:338] BuildAWall Placed/Upgraded HealingDrone
[26:373] BuildAWall Placed/Upgraded HealingDrone
[26:541] BuildAWall Placed/Upgraded NukePack
[27:247] BuildAWall Unlocked AutoTurret
[27:315] BuildAWall Placed/Upgraded AutoTurret
[27:568] BuildAWall Placed/Upgraded AutoTurret
[28:031] BuildAWall Placed/Upgraded AutoTurret
[28:206] BuildAWall Placed/Upgraded AutoTurret
[29:071] BuildAWall Placed/Upgraded AutoTurret
[29:500] BuildAWall Unlocked SpecOpsTurret
[29:999] BuildAWall Placed/Upgraded NukePack
[30:434] BuildAWall Placed/Upgraded NukePack
[30:645] BuildAWall Placed/Upgraded NukePack
[31:030] BuildAWall Placed/Upgraded NukePack
[31:338] BuildAWall Placed/Upgraded NukePack
[32:705] BuildAWall Placed/Upgraded AutoTurret
[33:894] BuildAWall Unlocked EnergySuit
[33:895] BuildAWall Unlocked EnergySuit
[34:733] BuildAWall Placed/Upgraded AutoTurret
[34:915] BuildAWall Placed/Upgraded AutoTurret
[00:588] Yello Unlocked AssaultRifle
[00:738] Yello Placed/Upgraded MiningDroid
[00:788] Yello Unlocked AdvancedDroidEngines
[03:679] Yello Unlocked TurboDroidEngines
[05:623] Yello Unlocked MiningCharge
[05:639] Yello Unlocked AdvancedMiningCharge
[06:183] Yello Placed/Upgraded NukePack
[07:100] Yello Unlocked CloakingDevice
[08:509] Yello Placed/Upgraded NukePack
[09:310] Yello Unlocked Stimpack
[10:173] Yello Placed/Upgraded NukePack
[11:738] Yello Placed/Upgraded NukePack
[13:212] Yello Unlocked SpecOpsCloakingDevice
[14:026] Yello Placed/Upgraded NukePack
[14:879] Yello Unlocked MedicShield
[15:397] Yello Placed/Upgraded NukePack
[16:146] Yello Unlocked ExplorationDroid
[16:160] Yello Placed/Upgraded ExplorationDroid
[16:178] Yello Placed/Upgraded ExplorationDroid
[17:266] Yello Placed/Upgraded NukePack
[17:401] Yello Unlocked BioMechanicalRepairDrone
[18:006] Yello Unlocked EnergySuit
[18:007] Yello Unlocked EnergySuit
[19:146] Yello Placed/Upgraded ExplorationDroid
[19:567] Yello Placed/Upgraded MiningDroid
[21:590] Yello Unlocked SpecOpsAssaultRifle
[23:298] Yello Unlocked AutoTargetingSystem
[24:043] Yello Placed/Upgraded NukePack
[24:582] Yello Placed/Upgraded NukePack
[24:677] Yello Placed/Upgraded HealingDrone
[26:386] Yello Placed/Upgraded NukePack
[26:795] Yello Placed/Upgraded HealingDrone
[27:150] Yello Placed/Upgraded HealingDrone
[27:402] Yello Placed/Upgraded HealingDrone
[28:026] Yello Placed/Upgraded ExplorationDroid
[28:253] Yello Placed/Upgraded NukePack
[28:706] Yello Placed/Upgraded NukePack
[29:212] Yello Placed/Upgraded NukePack
[30:099] Yello Placed/Upgraded NukePack
[30:961] Yello Placed/Upgraded NukePack
[31:182] Yello Placed/Upgraded NukePack
[31:599] Yello Placed/Upgraded NukePack
[31:732] Yello Placed/Upgraded NukePack
[31:934] Yello Placed/Upgraded NukePack
[32:347] Yello Placed/Upgraded NukePack
[32:416] Yello Placed/Upgraded HealingDrone
[33:372] Yello Placed/Upgraded HealingDrone
[33:895] Yello Bought ShieldSuit
[33:895] Yello Bought CombatSuit
[33:895] Yello Bought HazmatSuit
[35:436] Yello Placed/Upgraded HealingDrone
[35:767] Yello Placed/Upgraded HealingDrone
[36:286] Yello Placed/Upgraded NukePack
[00:588] NightKnight Unlocked AssaultRifle
[00:846] NightKnight Placed/Upgraded MiningDroid
[01:180] NightKnight Unlocked Flamethrower
[03:543] NightKnight Unlocked SpecOpsFlamethrower
[06:222] NightKnight Unlocked CryoFreeze
[11:971] NightKnight Unlocked CombatSuit
[11:990] NightKnight Unlocked AdvancedCombatSuit
[13:428] NightKnight Unlocked DefensiveMatrix
[18:007] NightKnight Bought ShieldSuit
[18:007] NightKnight Bought CombatSuit
[18:007] NightKnight Bought HazmatSuit
[21:651] NightKnight Placed/Upgraded MiningDroid
[24:270] NightKnight Unlocked CombatShield
[24:359] NightKnight Unlocked QuantumBackpack
[28:397] NightKnight Unlocked OpticalVisor
[28:822] NightKnight Unlocked SuperHealingDrone
[29:009] NightKnight Unlocked BioMechanicalRepairDrone
[29:254] NightKnight Placed/Upgraded HealingDrone
[29:617] NightKnight Placed/Upgraded HealingDrone
[34:890] NightKnight Placed/Upgraded HealingDrone
[00:588] Nami Unlocked AssaultRifle
[00:692] Nami Placed MiningDroid
[01:024] Nami Unlocked AdvancedDroidEngines
[04:010] Nami Unlocked TurboDroidEngines
[05:461] Nami Unlocked SpecOpsAssaultRifle
[08:053] Nami Unlocked TitaniumBulletCasings
[10:744] Nami Unlocked PsiDisrupter
[10:805] Nami Unlocked PsiDepressor
[11:570] Nami Unlocked SpecOpsPsiDisruptor
[11:972] Nami Bought ShieldSuit
[11:972] Nami Bought CombatSuit
[11:972] Nami Bought HazmatSuit
[11:972] Nami Bought CombatSuit
[11:991] Nami Bought CombatSuit
[13:302] Nami Placed PsiIndoctrinator
[13:728] Nami Unlocked Stimpack
[16:503] Nami Unlocked MedicShield
[16:821] Nami Unlocked SuperStimpack
[21:924] Nami Placed PsiIndoctrinator
[22:749] Nami Placed PsiIndoctrinator
[23:923] Nami Unlocked SpecOpsSuperStimpack
[24:257] Nami Unlocked MiningCharge
[24:276] Nami Unlocked AdvancedMiningCharge
[25:481] Nami Placed NukePack
[31:204] Nami Placed NukePack
[32:641] Nami Placed NukePack
[32:927] Nami Placed NukePack
[00:552] Frosky Bought PlayerNumber
[01:519] Frosky Spawned MassiveCocoon
[03:594] Frosky Spawned MassiveCocoon
[05:447] Frosky Spawned MassiveCocoon
[06:394] Frosky Spawned MassiveCocoon
[07:741] Frosky Spawned MassiveCocoon
[07:834] Frosky Spawned PrimalTownHallUprooted
[09:817] Frosky Spawned MassiveCocoon
[10:096] Frosky Placed/Upgraded NydusCanalCreeper
[10:130] Frosky Bought CreepSpeed
[10:716] Frosky Bought CreepSpeed
[11:409] Frosky Spawned MassiveCocoon
[11:816] Frosky Placed/Upgraded NydusCanalCreeper
[12:836] Frosky Spawned MassiveCocoon
[13:966] Frosky Bought UnlockDropPods
[13:980] Frosky Bought EvolveDropPods
