Analyzed: Oh No It's Zombies Arctic Updated (253)

ID : 0 PlayerName: Gafe Race: Zerg
ID : 1 PlayerName: JMM Race: Terran
ID : 2 PlayerName: BTOOO Race: Terran
ID : 3 PlayerName: Puppetmaker Race: Terran
ID : 4 PlayerName: BATTLE Race: Terran
ID : 5 PlayerName: Salem Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Gafe Zombie Loss
Public Lobby

Game Length:[40:890]
Players ammount: 8
Marine rank avg: 10,5
GrandMaster ammount: 3
PURCHASES: 
[01:832] Gafe Spawned MassiveCocoon
[03:272] Gafe Spawned InfestedAbomination
[04:908] Gafe Bought CreepSpeed
[06:813] Gafe Spawned MassiveCocoon
[08:686] Gafe Bought StrainSpeed
[09:622] Gafe Bought PureStrainSpeed
[10:811] Gafe Bought UnlockDropPods
[11:522] Gafe Bought EvolveDropPods
[11:539] Gafe Bought EvolveDropPods
[12:494] Gafe Bought EvolveDropPods
[12:498] Gafe Bought EvolveDropPods
[12:509] Gafe Bought EvolveDropPods
[14:399] Gafe Bought EvolveDropPods
[15:533] Gafe Placed/Upgraded PrimalSunkenColony
[15:534] Gafe Bought SunkenColony
[15:627] Gafe Bought VirulentCreep
[16:954] Gafe Bought SunkenColony
[17:263] Gafe Spawned MassiveCocoon
[18:703] Gafe Spawned Hunter
[18:902] Gafe Placed/Upgraded LesserNydusWorm
[18:903] Gafe Bought GreaterNydus
[20:491] Gafe Placed/Upgraded Virophage
[21:606] Gafe Placed/Upgraded PrimalSunkenColony
[21:607] Gafe Bought SunkenColony
[23:026] Gafe Bought SiphonFuel
[24:863] Gafe Bought GreaterNydus
[26:206] Gafe Placed/Upgraded Virophage
[26:344] Gafe Bought SiphonFuel
[26:573] Gafe Bought CreepSpeed
[27:175] Gafe Placed/Upgraded LesserNydusWorm
[27:176] Gafe Bought GreaterNydus
[29:211] Gafe Spawned MassiveCocoon
[29:878] Gafe Bought SiphonFuel
[30:651] Gafe Spawned Lurker
[31:314] Gafe Bought DropshipsFueled
[31:956] Gafe Bought UltimateInfestationResearched
[32:006] Gafe Spawned MassiveCocoon
[32:090] Gafe Spawned MassiveCocoon
[32:131] Gafe Bought HunterlingStrain
[32:156] Gafe Bought StrainSpeed
[32:169] Gafe Bought PureStrainSpeed
[32:182] Gafe Bought HunterlingStrain
[33:437] Gafe Placed/Upgraded LesserNydusWorm
[33:438] Gafe Bought GreaterNydus
