Analyzed: Oh No It's Zombies Arctic Updated (257)

ID : 0 PlayerName: Rorschach Race: Zerg
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Westy Race: Terran
ID : 3 PlayerName: Sern Race: Terran
ID : 4 PlayerName: TalentedArc Race: Terran
ID : 5 PlayerName: cheese Race: Terran
ID : 6 PlayerName: ironstone Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Rorschach Zombie Loss
Public Lobby

Game Length:[32:973]
Players ammount: 8
Marine rank avg: 8,5
GrandMaster ammount: 1
PURCHASES: 
[02:241] Rorschach Spawned MassiveCocoon
[03:681] Rorschach Spawned Anubalisk
[05:977] Rorschach Bought VirulentCreep
[09:109] Rorschach Bought StrainSpeed
[11:066] Rorschach Bought PureStrainSpeed
[13:046] Rorschach Spawned MassiveCocoon
[13:170] Rorschach Bought StrainVolatile
[14:016] Rorschach Bought PureStrainVolatile
[14:486] Rorschach Spawned Anubalisk
[15:385] Rorschach Bought UnlockDropPods
[15:715] Rorschach Bought EvolveDropPods
[17:565] Rorschach Bought EvolveDropPods
[18:634] Rorschach Bought EvolveDropPods
[21:235] Rorschach Bought HunterlingStrain
[21:682] Rorschach Bought AdvancedPowerInfestation
[23:468] Rorschach Bought DropshipsFueled
[23:549] Rorschach Bought UltimateInfestationResearched
[24:238] Rorschach Bought EvolveDropPods
[24:251] Rorschach Bought EvolveDropPods
[26:056] Rorschach Bought EvolveDropPods
[27:566] Rorschach Bought KaboomerStrain
[28:923] Rorschach Bought StrainSpeed
[30:202] Rorschach Bought PureStrainSpeed
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:724] Frosky Unlocked AdvancedDroidEngines
[02:270] Frosky Unlocked TurboDroidEngines
[03:958] Frosky Unlocked SpecOpsAssaultRifle
[06:663] Frosky Unlocked Stimpack
[08:580] Frosky Unlocked TitaniumBulletCasings
[08:641] Frosky Unlocked BioMechanicalRepairDrone
[09:018] Frosky Placed/Upgraded HealingDrone
[10:457] Frosky Placed/Upgraded MiningDroid
[10:803] Frosky Placed/Upgraded HealingDrone
[11:328] Frosky Unlocked ExplorationDroid
[11:781] Frosky Placed/Upgraded ExplorationDroid
[11:845] Frosky Placed/Upgraded ExplorationDroid
[12:048] Frosky Placed/Upgraded ExplorationDroid
[13:126] Frosky Unlocked CombatSuit
[13:127] Frosky Unlocked ShieldSuit
[13:127] Frosky Unlocked AdvancedShieldSuit
[13:127] Frosky Unlocked CombatSuit
[13:127] Frosky Unlocked AdvancedCombatSuit
[13:127] Frosky Unlocked HazmatSuit
[13:127] Frosky Unlocked AdvancedHazmatSuit
[13:127] Frosky Unlocked CombatSuit
[13:571] Frosky Placed/Upgraded HealingDrone
[14:725] Frosky Unlocked AutoTurret
[14:905] Frosky Placed/Upgraded AutoTurret
[16:540] Frosky Unlocked Teleporter
[17:808] Frosky Placed/Upgraded AutoTurret
[19:076] Frosky Placed/Upgraded AutoTurret
[21:919] Frosky Placed/Upgraded AutoTurret
