Analyzed: Oh No It's Zombies Arctic Updated (26)

ID : 0 PlayerName: CarLawyer Race: Zerg
ID : 1 PlayerName: fericus Race: Terran
ID : 2 PlayerName: thewolf Race: Terran
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Cruel Race: Terran
ID : 5 PlayerName: FireFurry Race: Terran
ID : 6 PlayerName: TorTatori Race: Terran
ID : 7 PlayerName: Security Race: Terran Tychus
CarLawyer Zombie Loss
Public Lobby

Game Length:[40:383]
Players ammount: 8
Marine rank avg: 4
GrandMaster ammount: 2
PURCHASES: 
[00:844] CarLawyer Spawned MassiveCocoon
[02:095] CarLawyer Placed/Upgraded PrimalSunkenColony
[02:096] CarLawyer Bought SunkenColony
[02:284] CarLawyer Spawned InfestedAbomination
[02:389] CarLawyer Bought SunkenColony
[03:098] CarLawyer Bought StrainSpeed
[04:263] CarLawyer Placed/Upgraded PrimalSunkenColony
[04:264] CarLawyer Bought SunkenColony
[04:315] CarLawyer Bought PureStrainSpeed
[06:036] CarLawyer Bought SunkenColony
[06:369] CarLawyer Placed/Upgraded NydusCanalCreeper
[07:405] CarLawyer Placed/Upgraded PrimalSunkenColony
[07:406] CarLawyer Bought SunkenColony
[07:779] CarLawyer Bought SunkenColony
[07:873] CarLawyer Bought SunkenColony
[07:873] CarLawyer Placed/Upgraded PrimalSunkenColony
[08:447] CarLawyer Bought HunterlingStrain
[09:119] CarLawyer Bought AdvancedPowerInfestation
[10:285] CarLawyer Bought BuildExtractorProcessingFacilities
[10:285] CarLawyer Placed/Upgraded AutomatedExtractor
[11:876] CarLawyer Bought StrainSpeed
[12:442] CarLawyer Bought PureStrainSpeed
[13:659] CarLawyer Bought HunterlingStrain
[14:273] CarLawyer Placed/Upgraded NydusCanalCreeper
[14:356] CarLawyer Bought SunkenColony
[14:748] CarLawyer Placed/Upgraded Virophage
[15:200] CarLawyer Placed/Upgraded PrimalSunkenColony
[15:201] CarLawyer Bought SunkenColony
[15:640] CarLawyer Bought SunkenColony
[16:897] CarLawyer Bought SpawnNydusWorm
[16:985] CarLawyer Placed/Upgraded PrimalSunkenColony
[16:986] CarLawyer Bought SunkenColony
[17:717] CarLawyer Bought SunkenColony
[18:489] CarLawyer Bought UnlockDropPods
[19:210] CarLawyer Bought SiphonFuel
[19:755] CarLawyer Spawned MassiveCocoon
[20:576] CarLawyer Bought EvolveDropPods
[21:049] CarLawyer Placed/Upgraded GreaterNydusWorm
[21:673] CarLawyer Placed/Upgraded PrimalSunkenColony
[21:674] CarLawyer Bought SunkenColony
[22:123] CarLawyer Bought SiphonFuel
[22:420] CarLawyer Bought SunkenColony
[22:921] CarLawyer Bought EvolveDropPods
[22:925] CarLawyer Bought EvolveDropPods
[22:928] CarLawyer Bought EvolveDropPods
[22:931] CarLawyer Bought EvolveDropPods
[22:935] CarLawyer Bought EvolveDropPods
[23:203] CarLawyer Placed/Upgraded Virophage
[23:549] CarLawyer Placed/Upgraded PrimalSunkenColony
[23:550] CarLawyer Bought SunkenColony
[23:811] CarLawyer Placed/Upgraded PrimalSunkenColony
[23:812] CarLawyer Bought SunkenColony
[23:993] CarLawyer Bought SunkenColony
[24:739] CarLawyer Bought BuildExtractorExcavationZone
[24:739] CarLawyer Placed/Upgraded AutomatedExtractor
[25:483] CarLawyer Bought AdvancedInfestationGateControl
[25:618] CarLawyer Bought SiphonFuel
[27:005] CarLawyer Bought StrainDamage
[27:641] CarLawyer Placed/Upgraded NydusCanalCreeper
[28:241] CarLawyer Bought PureStrainDamage
[29:486] CarLawyer Bought SiphonFuel
[30:022] CarLawyer Bought SunkenColony
[30:418] CarLawyer Bought CreepSpeed
[31:120] CarLawyer Bought DropshipsFueled
[31:219] CarLawyer Bought SweepingInfestation
[31:219] CarLawyer Bought UltimateInfestationResearched
[31:299] CarLawyer Placed/Upgraded GreaterNydusWorm
[31:847] CarLawyer Spawned MassiveCocoon
[32:006] CarLawyer Placed/Upgraded NydusCanalCreeper
[33:287] CarLawyer Spawned InfestedAbomination
[33:560] CarLawyer Placed/Upgraded LesserNydusWorm
[33:561] CarLawyer Bought GreaterNydus
[33:854] CarLawyer Bought ConstructiveCreep
[34:020] CarLawyer Bought GreaterNydus
[34:038] CarLawyer Placed/Upgraded LesserNydusWorm
[34:039] CarLawyer Bought GreaterNydus
[34:439] CarLawyer Bought DefilerStrain
[35:136] CarLawyer Bought GreaterNydus
[35:487] CarLawyer Bought StrainVolatile
[36:469] CarLawyer Placed/Upgraded NydusCanalCreeper
[36:642] CarLawyer Bought AdvancedInfestationContainment
[37:345] CarLawyer Placed/Upgraded PrimalSunkenColony
[37:346] CarLawyer Bought SunkenColony
[38:300] CarLawyer Bought SunkenColony
[38:416] CarLawyer Placed/Upgraded GreaterNydusWorm
[00:588] fericus Unlocked AssaultRifle
[00:925] fericus Unlocked SpecOpsAssaultRifle
[05:728] fericus Placed/Upgraded MiningDroid
[08:913] fericus Unlocked HazmatSuit
[08:914] fericus Unlocked ShieldSuit
[08:914] fericus Unlocked AdvancedShieldSuit
[08:914] fericus Unlocked CombatSuit
[08:914] fericus Unlocked AdvancedCombatSuit
[08:914] fericus Unlocked HazmatSuit
[08:914] fericus Unlocked AdvancedHazmatSuit
[08:914] fericus Unlocked HazmatSuit
[11:466] fericus Unlocked TitaniumBulletCasings
[15:350] fericus Unlocked OverloadWeapon
[20:268] fericus Unlocked AIAssistant
[20:481] fericus Unlocked AutoTargetingSystem
[26:540] fericus Unlocked Teleporter
[26:598] fericus Unlocked SpecOpsTeleporter
[32:803] fericus Unlocked AutoTurret
[32:872] fericus Unlocked HeavyTurret
[32:898] fericus Unlocked FlameTurret
[33:082] fericus Placed/Upgraded AutoTurret
