Analyzed: Oh No It's Zombies Arctic Updated (261)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Cruel Race: Terran
ID : 2 PlayerName: Skaliton Race: Terran
ID : 3 PlayerName: PrimeSTEMI Race: Zerg
ID : 4 PlayerName: TIgIIxIIRbXB Race: Terran
ID : 5 PlayerName: LordMyPuta Race: Terran
ID : 6 PlayerName: Ecthelion Race: Terran
ID : 7 PlayerName: Security Race: 
PrimeSTEMI Zombie Loss
Public Lobby

Game Length:[36:390]
Players ammount: 8
Marine rank avg: 10,666666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:830] Frosky Unlocked AdvancedDroidEngines
[03:728] Frosky Unlocked TurboDroidEngines
[04:872] Frosky Unlocked Flamethrower
[05:572] Frosky Unlocked ExplorationDroid
[05:663] Frosky Placed/Upgraded ExplorationDroid
[05:721] Frosky Placed/Upgraded ExplorationDroid
[05:976] Frosky Placed/Upgraded ExplorationDroid
[07:165] Frosky Unlocked SpecOpsFlamethrower
[07:391] Frosky Unlocked BioMechanicalRepairDrone
[07:907] Frosky Placed/Upgraded HealingDrone
[09:271] Frosky Unlocked CombatShield
[09:347] Frosky Unlocked Stimpack
[09:796] Frosky Placed/Upgraded HealingDrone
[10:758] Frosky Unlocked CombatSuit
[10:951] Frosky Placed/Upgraded HealingDrone
[11:366] Frosky Placed/Upgraded HealingDrone
[11:648] Frosky Unlocked AdvancedCombatSuit
[12:700] Frosky Placed/Upgraded HealingDrone
[13:749] Frosky Unlocked CryoFreeze
[14:322] Frosky Placed/Upgraded HealingDrone
[16:159] Frosky Placed/Upgraded HealingDrone
[19:304] Frosky Unlocked AutoTurret
[19:321] Frosky Unlocked HeavyTurret
[19:451] Frosky Unlocked QuantumBackpack
[19:973] Frosky Placed/Upgraded HealingDrone
[20:171] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[20:643] Frosky Placed/Upgraded AutoTurret
[21:063] Frosky Placed/Upgraded AutoTurret
[22:284] Frosky Placed/Upgraded HealingDrone
[22:623] Frosky Placed/Upgraded AutoTurret
[24:708] Frosky Placed/Upgraded AutoTurret
[25:103] Frosky Placed/Upgraded AutoTurret
[26:467] Frosky Placed/Upgraded AutoTurret
[26:637] Frosky Placed/Upgraded AutoTurret
[26:822] Frosky Placed/Upgraded HealingDrone
[27:132] Frosky Placed/Upgraded HealingDrone
[27:578] Frosky Placed/Upgraded HealingDrone
[33:782] Frosky Placed/Upgraded HealingDrone
[00:588] Cruel Unlocked AssaultRifle
[00:679] Cruel Placed/Upgraded MiningDroid
[00:724] Cruel Unlocked ArcWelder
[02:341] Cruel Unlocked BioMechanicalRepairDrone
[02:356] Cruel Unlocked CombatAccelerationDrone
[02:449] Cruel Placed/Upgraded HealingDrone
[03:172] Cruel Placed/Upgraded HealingDrone
[03:544] Cruel Placed/Upgraded HealingDrone
[03:841] Cruel Placed/Upgraded HealingDrone
[04:324] Cruel Unlocked AdvancedDroidEngines
[05:672] Cruel Placed/Upgraded HealingDrone
[05:865] Cruel Unlocked Stimpack
[07:056] Cruel Unlocked TurboDroidEngines
[09:526] Cruel Unlocked AutoTurret
[09:550] Cruel Unlocked FlameTurret
[09:563] Cruel Unlocked SpecOpsTurret
[10:759] Cruel Bought ShieldSuit
[10:759] Cruel Bought CombatSuit
[10:759] Cruel Bought HazmatSuit
[10:759] Cruel Bought CombatSuit
[11:029] Cruel Placed/Upgraded AutoTurret
[11:184] Cruel Placed/Upgraded AutoTurret
[11:649] Cruel Bought CombatSuit
[11:786] Cruel Unlocked SpecOpsArcWelder
[11:855] Cruel Unlocked ArcWelderMod3
[11:941] Cruel Placed/Upgraded AutoTurret
[12:184] Cruel Placed/Upgraded AutoTurret
[12:710] Cruel Placed/Upgraded AutoTurret
[15:362] Cruel Placed/Upgraded MiningDroid
[16:786] Cruel Unlocked ArcWelderMod1
[18:347] Cruel Unlocked QuantumBackpack
[18:770] Cruel Unlocked FlashBang
[18:776] Cruel Unlocked SpecOpsFlashbang
[18:898] Cruel Placed/Upgraded AutoTurret
[19:262] Cruel Unlocked PsiDisrupter
[20:110] Cruel Placed/Upgraded PsiIndoctrinator
[20:309] Cruel Placed/Upgraded PsiIndoctrinator
[20:548] Cruel Placed/Upgraded PsiIndoctrinator
[21:100] Cruel Placed/Upgraded PsiIndoctrinator
[21:765] Cruel Placed/Upgraded PsiIndoctrinator
[22:730] Cruel Placed/Upgraded PsiIndoctrinator
[23:312] Cruel Placed/Upgraded AutoTurret
[23:469] Cruel Placed/Upgraded AutoTurret
[23:834] Cruel Placed/Upgraded AutoTurret
[23:962] Cruel Placed/Upgraded AutoTurret
[24:937] Cruel Placed/Upgraded MiningDroid
[25:508] Cruel Placed/Upgraded HealingDrone
[25:672] Cruel Placed/Upgraded HealingDrone
[25:760] Cruel Placed/Upgraded HealingDrone
[25:950] Cruel Placed/Upgraded HealingDrone
[26:103] Cruel Placed/Upgraded HealingDrone
[27:411] Cruel Unlocked MedicShield
[28:508] Cruel Placed/Upgraded PsiIndoctrinator
[28:698] Cruel Placed/Upgraded AutoTurret
[29:324] Cruel Placed/Upgraded AutoTurret
[29:433] Cruel Placed/Upgraded AutoTurret
[29:556] Cruel Placed/Upgraded AutoTurret
[29:667] Cruel Placed/Upgraded PsiIndoctrinator
[30:850] Cruel Placed/Upgraded MiningDroid
[31:070] Cruel Placed/Upgraded HealingDrone
[31:379] Cruel Placed/Upgraded PsiIndoctrinator
[32:258] Cruel Placed/Upgraded AutoTurret
[32:350] Cruel Placed/Upgraded AutoTurret
[32:442] Cruel Placed/Upgraded PsiIndoctrinator
[33:022] Cruel Unlocked HeavyTurret
[33:223] Cruel Placed/Upgraded AutoTurret
[33:314] Cruel Placed/Upgraded AutoTurret
[33:683] Cruel Placed/Upgraded AutoTurret
[33:791] Cruel Placed/Upgraded AutoTurret
[33:983] Cruel Placed/Upgraded AutoTurret
[34:124] Cruel Placed/Upgraded AutoTurret
[36:044] Cruel Placed/Upgraded MiningDroid
[00:588] Skaliton Unlocked AssaultRifle
[01:009] Skaliton Placed MiningDroid
[10:588] Skaliton Unlocked SpecOpsAssaultRifle
[13:576] Skaliton Unlocked Stimpack
[15:500] Skaliton Unlocked Shieldsiotunlocked
[15:622] Skaliton Unlocked CombatSuit
[15:861] Skaliton Unlocked AdvancedCombatSuit
[17:801] Skaliton Unlocked IncendiaryGrenade
[17:857] Skaliton Unlocked SpecOpsIncendiaryGrenade
[18:164] Skaliton Unlocked AdvancedDroidEngines
[20:415] Skaliton Unlocked MedicShield
[20:905] Skaliton Unlocked SuperStimpack
[27:477] Skaliton Unlocked AutoTurret
[27:661] Skaliton Unlocked SpecOpsTurret
[29:185] Skaliton Placed MiningDroid
[29:849] Skaliton Placed AutoTurret
[30:166] Skaliton Placed AutoTurret
[30:579] Skaliton Placed AutoTurret
[00:552] PrimeSTEMI Bought PlayerNumber
[00:818] PrimeSTEMI Bought CreepSpeed
[02:170] PrimeSTEMI Placed/Upgraded PrimalSunkenColony
[02:171] PrimeSTEMI Bought SunkenColony
[04:561] PrimeSTEMI Bought StrainDamage
[07:331] PrimeSTEMI Placed/Upgraded NydusCanalCreeper
[07:706] PrimeSTEMI Bought SpawnNydusWorm
[08:336] PrimeSTEMI Bought SunkenColony
[08:674] PrimeSTEMI Placed/Upgraded GreaterNydusWorm
[08:737] PrimeSTEMI Bought StrainVolatile
[08:930] PrimeSTEMI Placed/Upgraded PrimalSunkenColony
[08:931] PrimeSTEMI Bought SunkenColony
[11:670] PrimeSTEMI Bought VirulentCreep
[11:670] PrimeSTEMI Bought VirulentCreep
[14:058] PrimeSTEMI Spawned MassiveCocoon
[15:143] PrimeSTEMI Spawned MassiveCocoon
[15:498] PrimeSTEMI Spawned Anubalisk
[15:501] PrimeSTEMI Bought ShieldSuit
[15:501] PrimeSTEMI Bought CombatSuit
[15:501] PrimeSTEMI Bought HazmatSuit
[15:501] PrimeSTEMI Bought ShieldSuit
[15:623] PrimeSTEMI Bought ShieldSuit
[15:623] PrimeSTEMI Bought CombatSuit
[15:623] PrimeSTEMI Bought HazmatSuit
[15:623] PrimeSTEMI Bought CombatSuit
[15:630] PrimeSTEMI Bought SunkenColony
[15:862] PrimeSTEMI Bought CombatSuit
[16:544] PrimeSTEMI Bought BuildExtractorScienceLabs
[16:544] PrimeSTEMI Placed/Upgraded AutomatedExtractor
[17:130] PrimeSTEMI Bought UnlockDropPods
[17:165] PrimeSTEMI Bought EvolveDropPods
[17:809] PrimeSTEMI Bought EvolveDropPods
[18:190] PrimeSTEMI Placed/Upgraded GreaterNydusWorm
[19:567] PrimeSTEMI Bought EvolveDropPods
[20:074] PrimeSTEMI Bought EvolveDropPods
[20:667] PrimeSTEMI Bought EvolveDropPods
[21:702] PrimeSTEMI Placed/Upgraded NydusCanalCreeper
[23:607] PrimeSTEMI Spawned MassiveCocoon
[24:284] PrimeSTEMI Bought SiphonFuel
[25:047] PrimeSTEMI Spawned Anubalisk
[26:054] PrimeSTEMI Placed/Upgraded GreaterNydusWorm
[26:893] PrimeSTEMI Bought DropshipsFueled
[27:038] PrimeSTEMI Spawned RoyalCocoon
[27:038] PrimeSTEMI Bought SpawnHiveQueen
[27:038] PrimeSTEMI Bought UltimateInfestationResearched
[27:392] PrimeSTEMI Bought VirulentCreep
[27:392] PrimeSTEMI Bought VirulentCreep
[27:412] PrimeSTEMI Bought EvolveDropPods
[27:757] PrimeSTEMI Spawned QueenCoop
[28:293] PrimeSTEMI Spawned MassiveCocoon
[28:323] PrimeSTEMI Spawned MassiveCocoon
[28:951] PrimeSTEMI Placed/Upgraded NydusCanalCreeper
[29:733] PrimeSTEMI Spawned Anubalisk
[30:393] PrimeSTEMI Spawned MassiveCocoon
[30:952] PrimeSTEMI Placed/Upgraded NydusCanalCreeper
[31:833] PrimeSTEMI Spawned Anubalisk
[33:003] PrimeSTEMI Placed/Upgraded NydusCanalCreeper
