Analyzed: Oh No It's Zombies Arctic Updated (262)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Cruel Race: Terran
ID : 2 PlayerName: ArrImapirate Race: Terran
ID : 3 PlayerName: RyK Race: Terran
ID : 4 PlayerName: RunThis Race: Terran
ID : 5 PlayerName: valkarian Race: Zerg
ID : 6 PlayerName: DabbedOut Race: Terran
ID : 7 PlayerName: Security Race: Primal Zerg
valkarian Zombie Loss
Public Lobby

Game Length:[41:069]
Players ammount: 8
Marine rank avg: 5,666666666666667
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:804] Frosky Unlocked AdvancedDroidEngines
[03:787] Frosky Unlocked TurboDroidEngines
[05:910] Frosky Unlocked Flamethrower
[07:175] Frosky Unlocked SpecOpsFlamethrower
[08:276] Frosky Unlocked BioMechanicalRepairDrone
[08:321] Frosky Placed/Upgraded HealingDrone
[09:415] Frosky Unlocked CryoFreeze
[13:842] Frosky Placed/Upgraded HealingDrone
[14:100] Frosky Unlocked AutoTurret
[14:220] Frosky Placed/Upgraded AutoTurret
[15:170] Frosky Unlocked Stimpack
[15:579] Frosky Placed/Upgraded AutoTurret
[16:150] Frosky Placed/Upgraded AutoTurret
[16:539] Frosky Unlocked CombatShield
[16:926] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[17:026] Frosky Placed/Upgraded HealingDrone
[17:446] Frosky Placed/Upgraded HealingDrone
[18:387] Frosky Placed/Upgraded AutoTurret
[18:576] Frosky Placed/Upgraded AutoTurret
[18:768] Frosky Placed/Upgraded HealingDrone
[19:716] Frosky Unlocked CombatSuit
[20:287] Frosky Placed/Upgraded HealingDrone
[22:934] Frosky Unlocked AdvancedCombatSuit
[22:986] Frosky Unlocked HeavyTurret
[23:108] Frosky Unlocked AIAssistant
[24:362] Frosky Placed/Upgraded HealingDrone
[25:466] Frosky Placed/Upgraded HealingDrone
[25:923] Frosky Placed/Upgraded HealingDrone
[26:316] Frosky Placed/Upgraded AutoTurret
[26:723] Frosky Placed/Upgraded AutoTurret
[27:009] Frosky Placed/Upgraded AutoTurret
[29:016] Frosky Placed/Upgraded HealingDrone
[29:719] Frosky Placed/Upgraded HealingDrone
[29:839] Frosky Unlocked PsiDisrupter
[31:287] Frosky Unlocked PsiDepressor
