Analyzed: Oh No It's Zombies Arctic Updated (263)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Kira Race: Terran
ID : 2 PlayerName: dofennis Race: Terran
ID : 3 PlayerName: Hixx Race: Terran
ID : 4 PlayerName: LordMyPuta Race: Zerg
ID : 5 PlayerName: JYC Race: Terran
ID : 6 PlayerName: olson Race: Terran
ID : 7 PlayerName: Security Race: Terran
LordMyPuta Zombie Loss
Public Lobby

Game Length:[11:905]
Players ammount: 8
Marine rank avg: 10,166666666666666
GrandMaster ammount: 2
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:793] Frosky Unlocked AdvancedDroidEngines
[05:470] Frosky Unlocked TurboDroidEngines
[07:661] Frosky Unlocked SpecOpsAssaultRifle
[09:041] Frosky Unlocked TitaniumBulletCasings
[00:588] Kira Unlocked AssaultRifle
[00:769] Kira Unlocked ArcWelder
[01:724] Kira Placed/Upgraded MiningDroid
[02:321] Kira Unlocked BioMechanicalRepairDrone
[03:168] Kira Unlocked CombatAccelerationDrone
[03:237] Kira Placed/Upgraded HealingDrone
[04:165] Kira Unlocked MotionSensor
[04:453] Kira Placed/Upgraded HealingDrone
[04:657] Kira Placed/Upgraded SensorTower
[05:138] Kira Unlocked AdvancedDroidEngines
[06:204] Kira Placed/Upgraded HealingDrone
[06:678] Kira Unlocked Stimpack
[06:967] Kira Placed/Upgraded SensorTower
[07:930] Kira Unlocked AutoTurret
[08:490] Kira Unlocked HeavyTurret
[08:602] Kira Unlocked Shieldsiotunlocked
[09:529] Kira Unlocked AIAssistant
[09:577] Kira Unlocked EnergyPack
[10:157] Kira Unlocked ForceFieldGrenade
[10:203] Kira Unlocked SpecOpsForcefieldGrenade
[10:860] Kira Unlocked AdvancedShieldSuit
[11:516] Kira Unlocked MiningCharge
[00:588] dofennis Unlocked AssaultRifle
[03:250] dofennis Placed/Upgraded MiningDroid
[03:546] dofennis Unlocked Stimpack
[03:606] dofennis Unlocked AdvancedDroidEngines
[03:838] dofennis Unlocked HellfireRocketLauncher
[05:790] dofennis Unlocked SpecOpsHellfireRocketLauncher
[07:635] dofennis Unlocked ShockwaveMissiles
[08:178] dofennis Unlocked BioMechanicalRepairDrone
[08:603] dofennis Bought ShieldSuit
[08:603] dofennis Bought CombatSuit
[08:603] dofennis Bought HazmatSuit
[08:603] dofennis Bought ShieldSuit
[08:816] dofennis Placed/Upgraded HealingDrone
[10:082] dofennis Unlocked HazmatSuit
[10:861] dofennis Bought ShieldSuit
[00:588] Hixx Unlocked AssaultRifle
[00:717] Hixx Placed MiningDroid
[00:800] Hixx Unlocked AdvancedDroidEngines
[05:711] Hixx Unlocked HellfireRocketLauncher
[05:725] Hixx Unlocked SpecOpsHellfireRocketLauncher
[06:963] Hixx Unlocked ShockwaveMissiles
[08:680] Hixx Unlocked Teleporter
[08:785] Hixx Unlocked EnergySuit
[08:786] Hixx Unlocked EnergySuit
[10:083] Hixx Bought ShieldSuit
[10:083] Hixx Bought CombatSuit
[10:083] Hixx Bought HazmatSuit
[10:083] Hixx Bought HazmatSuit
[00:552] LordMyPuta Bought PlayerNumber
[00:660] LordMyPuta Spawned MassiveCocoon
[02:100] LordMyPuta Spawned PrimalTownHallUprooted
[04:216] LordMyPuta Placed/Upgraded PrimalSunkenColony
[04:217] LordMyPuta Bought SunkenColony
[04:305] LordMyPuta Bought CreepSpeed
[04:457] LordMyPuta Bought SunkenColony
[04:457] LordMyPuta Placed/Upgraded PrimalSunkenColony
[05:337] LordMyPuta Bought BuildExtractorScienceLabs
[05:337] LordMyPuta Placed/Upgraded AutomatedExtractor
[05:493] LordMyPuta Bought SunkenColony
[05:500] LordMyPuta Bought SunkenColony
[06:237] LordMyPuta Bought AdvancedInfestationContainment
[07:254] LordMyPuta Placed/Upgraded PrimalSunkenColony
[07:255] LordMyPuta Bought SunkenColony
[07:495] LordMyPuta Bought SunkenColony
[07:495] LordMyPuta Placed/Upgraded PrimalSunkenColony
[08:088] LordMyPuta Bought SunkenColony
[08:740] LordMyPuta Bought SunkenColony
[08:786] LordMyPuta Bought ShieldSuit
[08:786] LordMyPuta Bought CombatSuit
[08:786] LordMyPuta Bought HazmatSuit
[09:630] LordMyPuta Bought StrainSpeed
[09:636] LordMyPuta Bought StrainSpeed
[09:638] LordMyPuta Bought StrainSpeed
[10:722] LordMyPuta Bought VirulentCreep
[10:722] LordMyPuta Bought VirulentCreep
[11:402] LordMyPuta Bought StrainSpeed
[00:588] JYC Unlocked AssaultRifle
[00:786] JYC Placed/Upgraded MiningDroid
[00:887] JYC Unlocked AdvancedDroidEngines
[05:143] JYC Unlocked TurboDroidEngines
[06:368] JYC Unlocked BeamRifle
[06:983] JYC Unlocked FragGrenade
[09:314] JYC Unlocked SpecOpsPlasmaRifle
[09:450] JYC Unlocked Shieldsiotunlocked
[10:603] JYC Unlocked CorrosivePlasma
[10:661] JYC Unlocked AdvancedShieldSuit
[00:588] olson Unlocked AssaultRifle
[09:451] olson Bought ShieldSuit
[09:451] olson Bought CombatSuit
[09:451] olson Bought HazmatSuit
[09:451] olson Bought ShieldSuit
[10:662] olson Bought ShieldSuit
LordMyPuta First Alpha PrimalTownHallUprooted |  Loss

LordMyPuta Placed 0 Greaters.
--------------------------------
