Analyzed: Oh No It's Zombies Arctic Updated (267)

ID : 0 PlayerName: Throne Race: Zerg
ID : 1 PlayerName: JMM Race: Terran
ID : 2 PlayerName: Berzerker Race: Terran
ID : 3 PlayerName: xman Race: Terran
ID : 4 PlayerName: masterchief Race: Terran
ID : 5 PlayerName: cobra Race: Terran
ID : 6 PlayerName: Frosky Race: Terran
ID : 7 PlayerName: Security Race: Terran Mengsk
Throne Zombie Win
Public Lobby

Game Length:[42:554]
Players ammount: 8
Marine rank avg: 6
GrandMaster ammount: 1
PURCHASES: 
[01:123] Throne Bought StrainSpeed
[02:007] Throne Bought StrainVolatile
[04:006] Throne Bought PureStrainVolatile
[05:252] Throne Bought PureStrainSpeed
[06:744] Throne Bought KaboomerStrain
[08:083] Throne Bought UnlockDropPods
[08:739] Throne Bought EvolveDropPods
[09:501] Throne Bought StrainSpeed
[10:235] Throne Bought EvolveDropPods
[11:163] Throne Bought EvolveDropPods
[12:422] Throne Bought VirulentCreep
[12:701] Throne Bought EvolveDropPods
[12:711] Throne Bought EvolveDropPods
[13:236] Throne Bought EvolveDropPods
[14:697] Throne Bought HunterlingStrain
[17:237] Throne Bought AdvancedInfestationContainment
[17:798] Throne Bought StrainVolatile
[19:268] Throne Bought SiphonFuel
[19:775] Throne Spawned MassiveCocoon
[20:926] Throne Bought PureStrainVolatile
[21:461] Throne Bought PureStrainSpeed
[22:586] Throne Bought SiphonFuel
[23:442] Throne Bought KaboomerStrain
[24:697] Throne Bought HunterlingStrain
[25:462] Throne Bought AdvancedPowerInfestation
[25:947] Throne Bought SiphonFuel
[26:884] Throne Bought StrainHealth
[27:536] Throne Bought PureStrainHealth
[29:109] Throne Bought SiphonFuel
[32:165] Throne Bought SiphonFuel
[32:455] Throne Placed/Upgraded NydusCanalCreeper
[35:073] Throne Bought DropshipsFueled
[36:688] Throne Bought SweepingInfestation
[36:688] Throne Bought UltimateInfestationResearched
[36:735] Throne Bought SpawnNydusWorm
[37:675] Throne Bought TankStrain
[39:121] Throne Bought VirulentCreep
[39:377] Throne Placed/Upgraded GreaterNydusWorm
[40:990] Throne Bought CreepSpeed
[00:588] JMM Unlocked AssaultRifle
[01:476] JMM Placed/Upgraded MiningDroid
[02:749] JMM Unlocked Stimpack
[06:513] JMM Unlocked Flamethrower
[06:520] JMM Unlocked SpecOpsFlamethrower
[09:130] JMM Unlocked BioMechanicalRepairDrone
[09:179] JMM Placed/Upgraded HealingDrone
[09:519] JMM Placed/Upgraded HealingDrone
[09:819] JMM Placed/Upgraded HealingDrone
[14:073] JMM Placed/Upgraded MiningDroid
[14:243] JMM Unlocked HazmatSuit
[14:244] JMM Unlocked ShieldSuit
[14:244] JMM Unlocked AdvancedShieldSuit
[14:244] JMM Unlocked CombatSuit
[14:244] JMM Unlocked AdvancedCombatSuit
[14:244] JMM Unlocked HazmatSuit
[14:244] JMM Unlocked AdvancedHazmatSuit
[14:244] JMM Unlocked HazmatSuit
[14:522] JMM Placed/Upgraded HealingDrone
[15:933] JMM Unlocked AdvancedHazmatSuit
[15:934] JMM Unlocked HazmatSuit
[15:934] JMM Unlocked AdvancedHazmatSuit
[17:191] JMM Unlocked CombatShield
[17:614] JMM Placed/Upgraded HealingDrone
