Analyzed: Oh No It's Zombies Arctic Updated (269)

ID : 0 PlayerName: DanZilla Race: Terran
ID : 1 PlayerName: Frosky Race: Terran
ID : 2 PlayerName: Kira Race: Terran
ID : 3 PlayerName: Danny Race: Zerg
ID : 4 PlayerName: valkarian Race: Terran
ID : 5 PlayerName: JMM Race: Terran
ID : 6 PlayerName: ProDem Race: Terran
ID : 7 PlayerName: Security Race: Infested Terran
Danny Zombie Win
Public Lobby

Game Length:[33:981]
Players ammount: 8
Marine rank avg: 12
GrandMaster ammount: 3
PURCHASES: 
[00:588] DanZilla Unlocked AssaultRifle
[01:496] DanZilla Placed/Upgraded MiningDroid
[02:946] DanZilla Unlocked AdvancedDroidEngines
[06:540] DanZilla Unlocked TurboDroidEngines
[07:620] DanZilla Unlocked SpecOpsAssaultRifle
[09:409] DanZilla Unlocked AutoTargetingSystem
[09:717] DanZilla Unlocked OverloadWeapon
[12:028] DanZilla Unlocked EnergySuit
[12:029] DanZilla Unlocked EnergySuit
[12:110] DanZilla Unlocked PowerConverter
[12:531] DanZilla Unlocked FragGrenade
[13:339] DanZilla Unlocked QuantumBackpack
[15:035] DanZilla Unlocked MedicShield
[15:096] DanZilla Unlocked AIAssistant
[15:141] DanZilla Unlocked AdvancedEnergySuit
[15:142] DanZilla Unlocked EnergySuit
[15:142] DanZilla Unlocked AdvancedEnergySuit
[15:206] DanZilla Unlocked SpecOpsFragGrenade
[18:779] DanZilla Unlocked AutoTurret
[18:803] DanZilla Unlocked SpecOpsTurret
[20:481] DanZilla Unlocked BioMechanicalRepairDrone
[23:039] DanZilla Placed/Upgraded HealingDrone
[23:369] DanZilla Placed/Upgraded AutoTurret
[28:069] DanZilla Placed/Upgraded AutoTurret
[28:303] DanZilla Placed/Upgraded AutoTurret
[28:532] DanZilla Placed/Upgraded AutoTurret
[28:797] DanZilla Placed/Upgraded AutoTurret
[28:971] DanZilla Placed/Upgraded HealingDrone
[29:154] DanZilla Placed/Upgraded HealingDrone
[30:263] DanZilla Placed/Upgraded AutoTurret
[30:585] DanZilla Placed/Upgraded AutoTurret
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[02:301] Frosky Unlocked AdvancedDroidEngines
[05:048] Frosky Unlocked TurboDroidEngines
[08:196] Frosky Unlocked SpecOpsAssaultRifle
[08:744] Frosky Unlocked ExplorationDroid
[08:795] Frosky Placed/Upgraded ExplorationDroid
[09:327] Frosky Placed/Upgraded ExplorationDroid
[09:389] Frosky Placed/Upgraded ExplorationDroid
[10:816] Frosky Unlocked TitaniumBulletCasings
[12:029] Frosky Bought ShieldSuit
[12:029] Frosky Bought CombatSuit
[12:029] Frosky Bought HazmatSuit
[12:056] Frosky Unlocked Stimpack
[12:786] Frosky Unlocked CombatSuit
[13:680] Frosky Unlocked AdvancedCombatSuit
[14:813] Frosky Unlocked AutoTurret
[16:630] Frosky Unlocked CombatShield
[16:637] Frosky Unlocked QuantumBackpack
[18:925] Frosky Unlocked PsiDisrupter
[18:977] Frosky Unlocked PsiDepressor
[19:083] Frosky Placed/Upgraded PsiIndoctrinator
[19:801] Frosky Placed/Upgraded MiningDroid
[21:993] Frosky Placed/Upgraded PsiIndoctrinator
[24:014] Frosky Unlocked Teleporter
[25:338] Frosky Placed/Upgraded AutoTurret
[26:153] Frosky Placed/Upgraded AutoTurret
[27:729] Frosky Unlocked BioMechanicalRepairDrone
[28:624] Frosky Placed/Upgraded HealingDrone
[28:874] Frosky Placed/Upgraded HealingDrone
[29:054] Frosky Placed/Upgraded HealingDrone
[30:215] Frosky Placed/Upgraded HealingDrone
