Analyzed: Oh No It's Zombies Arctic Updated (272)

ID : 0 PlayerName: Derplord Race: Terran
ID : 1 PlayerName: GoldenNinja Race: Terran
ID : 2 PlayerName: Problematic Race: Terran
ID : 3 PlayerName: FantomGhost Race: Terran
ID : 4 PlayerName: ArrImapirate Race: Terran
ID : 5 PlayerName: Frosky Race: Zerg
ID : 6 PlayerName: CKCritter Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Frosky Zombie Win
Public Lobby

Game Length:[33:333]
Players ammount: 8
Marine rank avg: 6,333333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:588] Derplord Unlocked AssaultRifle
[00:914] Derplord Placed/Upgraded MiningDroid
[01:163] Derplord Unlocked AdvancedDroidEngines
[03:798] Derplord Unlocked HellfireRocketLauncher
[05:061] Derplord Unlocked SpecOpsHellfireRocketLauncher
[08:890] Derplord Placed/Upgraded MiningDroid
[10:687] Derplord Unlocked RocketLauncherMod1
[12:862] Derplord Unlocked Flamethrower
[14:342] Derplord Unlocked CombatShield
[14:352] Derplord Unlocked EnergyPack
[16:630] Derplord Unlocked Shieldsiotunlocked
[17:179] Derplord Unlocked AdvancedShieldSuit
[21:705] Derplord Unlocked AIAssistant
[22:084] Derplord Unlocked CloakingDevice
[22:150] Derplord Unlocked SpecOpsCloakingDevice
[26:300] Derplord Unlocked BioMechanicalRepairDrone
[27:623] Derplord Placed/Upgraded HealingDrone
[27:818] Derplord Placed/Upgraded HealingDrone
[28:108] Derplord Placed/Upgraded HealingDrone
[28:702] Derplord Placed/Upgraded HealingDrone
[28:967] Derplord Placed/Upgraded HealingDrone
[29:310] Derplord Unlocked AutoTurret
[29:454] Derplord Placed/Upgraded AutoTurret
[29:789] Derplord Placed/Upgraded AutoTurret
[31:419] Derplord Placed/Upgraded AutoTurret
[00:588] GoldenNinja Unlocked AssaultRifle
[01:259] GoldenNinja Unlocked SpecOpsAssaultRifle
[01:310] GoldenNinja Placed/Upgraded MiningDroid
[04:468] GoldenNinja Unlocked AutoTargetingSystem
[05:197] GoldenNinja Unlocked Stimpack
[08:833] GoldenNinja Unlocked MedicShield
[10:277] GoldenNinja Unlocked Shieldsiotunlocked
[11:399] GoldenNinja Unlocked AdvancedShieldSuit
[13:016] GoldenNinja Unlocked SuperStimpack
[16:631] GoldenNinja Bought ShieldSuit
[16:631] GoldenNinja Bought CombatSuit
[16:631] GoldenNinja Bought HazmatSuit
[16:631] GoldenNinja Bought ShieldSuit
[16:812] GoldenNinja Unlocked SpecOpsSuperStimpack
[17:180] GoldenNinja Bought ShieldSuit
[19:507] GoldenNinja Unlocked AutoTurret
[20:454] GoldenNinja Unlocked HeavyTurret
[21:563] GoldenNinja Unlocked FragGrenade
[22:551] GoldenNinja Unlocked SpecOpsFragGrenade
[27:696] GoldenNinja Placed/Upgraded AutoTurret
[29:433] GoldenNinja Placed/Upgraded AutoTurret
[30:196] GoldenNinja Placed/Upgraded AutoTurret
[00:588] Problematic Unlocked AssaultRifle
[00:702] Problematic Placed/Upgraded MiningDroid
[02:588] Problematic Unlocked SpecOpsAssaultRifle
[05:094] Problematic Unlocked AdvancedDroidEngines
[06:837] Problematic Unlocked TitaniumBulletCasings
[08:209] Problematic Unlocked Shieldsiotunlocked
[09:845] Problematic Unlocked Stimpack
[10:278] Problematic Bought ShieldSuit
[10:278] Problematic Bought CombatSuit
[10:278] Problematic Bought HazmatSuit
[10:278] Problematic Bought ShieldSuit
[10:899] Problematic Unlocked AdvancedShieldSuit
[11:400] Problematic Bought ShieldSuit
[12:783] Problematic Unlocked AutoTurret
[13:800] Problematic Unlocked FlameTurret
[14:421] Problematic Placed/Upgraded AutoTurret
[15:803] Problematic Placed/Upgraded AutoTurret
[16:891] Problematic Placed/Upgraded AutoTurret
[17:768] Problematic Placed/Upgraded AutoTurret
[19:634] Problematic Placed/Upgraded AutoTurret
[19:996] Problematic Placed/Upgraded AutoTurret
[20:195] Problematic Placed/Upgraded AutoTurret
[26:447] Problematic Unlocked BioMechanicalRepairDrone
[26:520] Problematic Unlocked SpecOpsBioMechanicalRepairDrone
[26:619] Problematic Placed/Upgraded HealingDrone
[26:980] Problematic Placed/Upgraded HealingDrone
[27:555] Problematic Placed/Upgraded HealingDrone
[28:433] Problematic Placed/Upgraded HealingDrone
