Analyzed: Oh No It's Zombies Arctic Updated (274)

ID : 0 PlayerName: Frosky Race: Zerg
ID : 1 PlayerName: Cruel Race: Terran
ID : 2 PlayerName: Hivetyrant Race: Terran
ID : 3 PlayerName: nick Race: Terran
ID : 4 PlayerName: ClydeBOT Race: Terran
ID : 5 PlayerName: Lionbane Race: Terran
ID : 6 PlayerName: Explorador Race: Terran
ID : 7 PlayerName: Security Race: Terran
Frosky Zombie Win
Public Lobby

Game Length:[36:808]
Players ammount: 8
Marine rank avg: 4,666666666666667
GrandMaster ammount: 2
PURCHASES: 
[01:042] Frosky Spawned MassiveCocoon
[02:482] Frosky Spawned Hunter
[02:897] Frosky Placed/Upgraded ToxicNest
[02:903] Frosky Placed/Upgraded ToxicNest
[04:489] Frosky Placed/Upgraded ToxicNest
[04:500] Frosky Placed/Upgraded ToxicNest
[05:266] Frosky Bought CreepSpeed
[05:859] Frosky Placed/Upgraded ToxicNest
[05:866] Frosky Placed/Upgraded ToxicNest
[07:568] Frosky Bought CreepSpeed
[10:321] Frosky Bought VirulentCreep
[11:637] Frosky Spawned MassiveCocoon
[13:070] Frosky Placed/Upgraded ToxicNest
[13:077] Frosky Spawned Anubalisk
[13:101] Frosky Placed/Upgraded ToxicNest
[13:969] Frosky Spawned MassiveCocoon
[17:150] Frosky Spawned MassiveCocoon
[17:273] Frosky Spawned MassiveCocoon
[18:590] Frosky Spawned Lurker
[18:713] Frosky Spawned InfestedAbomination
[19:166] Frosky Placed/Upgraded ToxicNest
[19:179] Frosky Placed/Upgraded ToxicNest
[19:532] Frosky Bought SpawnNydusWorm
[20:946] Frosky Placed/Upgraded GreaterNydusWorm
[22:033] Frosky Bought StrainSpeed
[23:017] Frosky Placed/Upgraded Virophage
[24:535] Frosky Bought PureStrainSpeed
[25:516] Frosky Bought HunterlingStrain
[26:642] Frosky Bought SiphonFuel
[28:764] Frosky Placed/Upgraded GreaterNydusWorm
[29:060] Frosky Bought StrainSpeed
[29:367] Frosky Placed/Upgraded NydusCanalCreeper
[29:965] Frosky Bought DropshipsFueled
[30:079] Frosky Bought UltimateInfestationResearched
[30:148] Frosky Bought StrainSpeed
[30:156] Frosky Bought PureStrainSpeed
[30:158] Frosky Bought PureStrainSpeed
[30:169] Frosky Bought HunterlingStrain
[30:173] Frosky Bought HunterlingStrain
[30:184] Frosky Bought StrainSpeed
[30:187] Frosky Bought StrainSpeed
[30:194] Frosky Bought PureStrainSpeed
[30:812] Frosky Placed/Upgraded NydusCanalCreeper
