Analyzed: Oh No It's Zombies Arctic Updated (277)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Cruel Race: Zerg
ID : 2 PlayerName: UDF Race: Terran
ID : 3 PlayerName: ForFun Race: Terran
ID : 4 PlayerName: Tin Race: Terran
ID : 5 PlayerName: ArrImapirate Race: Terran
ID : 6 PlayerName: Owell Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Cruel Zombie Loss
Public Lobby

Game Length:[33:231]
Players ammount: 8
Marine rank avg: 8,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:888] Frosky Unlocked Flamethrower
[03:374] Frosky Unlocked AdvancedDroidEngines
[06:474] Frosky Unlocked TurboDroidEngines
[07:657] Frosky Unlocked ExplorationDroid
[07:690] Frosky Placed ExplorationDroid
[07:750] Frosky Placed ExplorationDroid
[07:878] Frosky Placed ExplorationDroid
[08:882] Frosky Unlocked SpecOpsFlamethrower
[10:490] Frosky Unlocked BioMechanicalRepairDrone
[10:651] Frosky Unlocked CombatShield
[12:737] Frosky Placed ExplorationDroid
[13:850] Frosky Placed MiningDroid
[15:765] Frosky Placed HealingDrone
[15:836] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[16:428] Frosky Unlocked AutoTurret
[17:453] Frosky Placed AutoTurret
[18:648] Frosky Unlocked Stimpack
[19:544] Frosky Placed AutoTurret
[20:552] Frosky Placed HealingDrone
[21:193] Frosky Unlocked CombatSuit
[21:555] Frosky Placed MiningDroid
[21:937] Frosky Placed HealingDrone
[23:179] Frosky Unlocked SpecOpsTurret
[23:299] Frosky Placed AutoTurret
[23:475] Frosky Placed AutoTurret
[24:571] Frosky Placed AutoTurret
[24:925] Frosky Placed AutoTurret
[27:719] Frosky Placed AutoTurret
[29:355] Frosky Placed HealingDrone
[29:855] Frosky Placed HealingDrone
[30:576] Frosky Placed HealingDrone
[31:433] Frosky Placed HealingDrone
[00:552] Cruel Bought PlayerNumber
[01:084] Cruel Spawned MassiveCocoon
[02:524] Cruel Spawned Anubalisk
[03:950] Cruel Spawned MassiveCocoon
[05:390] Cruel Spawned Anubalisk
[05:539] Cruel Spawned MassiveCocoon
[06:607] Cruel Spawned MassiveCocoon
[06:979] Cruel Spawned InfestedAbomination
[07:900] Cruel Spawned MassiveCocoon
[08:047] Cruel Spawned Hunter
[08:406] Cruel Placed/Upgraded PrimalSunkenColony
[08:407] Cruel Bought SunkenColony
[09:230] Cruel Spawned MassiveCocoon
[09:340] Cruel Spawned InfestedAbomination
[09:680] Cruel Placed/Upgraded ToxicNest
[09:707] Cruel Placed/Upgraded ToxicNest
[09:726] Cruel Placed/Upgraded ToxicNest
[10:099] Cruel Placed/Upgraded PrimalSunkenColony
[10:100] Cruel Bought SunkenColony
[10:913] Cruel Placed/Upgraded ToxicNest
[10:934] Cruel Placed/Upgraded ToxicNest
[11:344] Cruel Spawned MassiveCocoon
[11:899] Cruel Bought SunkenColony
[11:985] Cruel Spawned MassiveCocoon
[12:784] Cruel Spawned InfestedAbomination
[13:116] Cruel Spawned MassiveCocoon
[13:425] Cruel Spawned Hunter
[14:033] Cruel Placed/Upgraded PrimalSunkenColony
[14:034] Cruel Bought SunkenColony
[14:556] Cruel Spawned InfestedAbomination
[15:702] Cruel Spawned MassiveCocoon
[15:723] Cruel Spawned MassiveCocoon
[15:745] Cruel Spawned MassiveCocoon
[15:931] Cruel Placed/Upgraded PrimalSunkenColony
[15:932] Cruel Bought SunkenColony
[17:141] Cruel Spawned InfestedAbomination
[17:163] Cruel Spawned Anubalisk
[17:185] Cruel Spawned Lurker
[17:654] Cruel Bought SunkenColony
[18:808] Cruel Bought CreepSpeed
[19:011] Cruel Bought BuildExtractorScienceLabs
[19:011] Cruel Placed/Upgraded AutomatedExtractor
[20:547] Cruel Bought UnlockDropPods
[20:552] Cruel Bought EvolveDropPods
[20:556] Cruel Bought EvolveDropPods
[20:560] Cruel Bought EvolveDropPods
[21:194] Cruel Bought ShieldSuit
[21:194] Cruel Bought CombatSuit
[21:194] Cruel Bought HazmatSuit
[21:194] Cruel Bought CombatSuit
[21:980] Cruel Bought SunkenColony
[22:193] Cruel Placed/Upgraded PrimalSunkenColony
[22:194] Cruel Bought SunkenColony
[22:293] Cruel Bought SunkenColony
[22:436] Cruel Bought SunkenColony
[22:577] Cruel Bought CreepSpeed
[23:589] Cruel Bought BuildExtractorScienceLabs
[23:633] Cruel Bought AdvancedInfestationContainment
[23:948] Cruel Bought DropshipsFueled
[24:012] Cruel Spawned RoyalCocoon
[24:012] Cruel Bought SpawnHiveQueen
[24:012] Cruel Bought UltimateInfestationResearched
[24:070] Cruel Bought StrainSpeed
[24:077] Cruel Bought PureStrainSpeed
[24:085] Cruel Bought HunterlingStrain
[24:731] Cruel Spawned QueenCoop
[27:416] Cruel Bought StrainVolatile
[27:425] Cruel Bought PureStrainVolatile
[27:435] Cruel Bought KaboomerStrain
[28:362] Cruel Bought StrainHealth
[28:371] Cruel Bought PureStrainHealth
[29:981] Cruel Bought SpawnNydusWorm
[30:028] Cruel Placed/Upgraded GreaterNydusWorm
[30:633] Cruel Placed/Upgraded NydusCanalCreeper
[00:588] UDF Unlocked AssaultRifle
[00:689] UDF Placed/Upgraded MiningDroid
[00:757] UDF Unlocked AdvancedDroidEngines
[03:981] UDF Unlocked TurboDroidEngines
[04:041] UDF Unlocked MedicShield
[06:762] UDF Placed/Upgraded MiningDroid
[08:959] UDF Unlocked Stimpack
[09:716] UDF Unlocked Shotgun
[12:284] UDF Unlocked SuperStimpack
[12:377] UDF Unlocked SpecOpsShotgun
[13:159] UDF Unlocked BioMechanicalRepairDrone
[15:145] UDF Unlocked SpecOpsBioMechanicalRepairDrone
[15:248] UDF Unlocked EnergyPack
[15:295] UDF Placed/Upgraded HealingDrone
[15:702] UDF Unlocked AIAssistant
[21:252] UDF Placed/Upgraded MiningDroid
[22:334] UDF Placed/Upgraded HealingDrone
[23:018] UDF Unlocked HazmatSuit
[23:548] UDF Placed/Upgraded HealingDrone
[25:527] UDF Unlocked MiningCharge
[25:598] UDF Placed/Upgraded NukePack
[31:840] UDF Placed/Upgraded HealingDrone
[00:588] ForFun Unlocked AssaultRifle
[00:680] ForFun Placed/Upgraded MiningDroid
[00:732] ForFun Unlocked AdvancedDroidEngines
[03:849] ForFun Unlocked TurboDroidEngines
[05:487] ForFun Unlocked Stimpack
[06:941] ForFun Unlocked CombatSuit
[06:945] ForFun Unlocked AdvancedCombatSuit
[07:839] ForFun Unlocked ExplorationDroid
[08:104] ForFun Placed/Upgraded ExplorationDroid
[08:327] ForFun Placed/Upgraded ExplorationDroid
[08:721] ForFun Unlocked MedicShield
[12:383] ForFun Unlocked SpecOpsAssaultRifle
[12:412] ForFun Unlocked AutoTargetingSystem
[14:819] ForFun Unlocked EnergyPack
[14:829] ForFun Unlocked AIAssistant
[16:727] ForFun Placed/Upgraded MiningDroid
[19:714] ForFun Unlocked OverloadWeapon
[23:004] ForFun Placed/Upgraded ExplorationDroid
[23:019] ForFun Bought ShieldSuit
[23:019] ForFun Bought CombatSuit
[23:019] ForFun Bought HazmatSuit
[23:019] ForFun Bought HazmatSuit
[23:165] ForFun Placed/Upgraded ExplorationDroid
[26:386] ForFun Unlocked AutoTurret
[26:408] ForFun Unlocked SpecOpsTurret
[26:502] ForFun Placed/Upgraded AutoTurret
[26:756] ForFun Placed/Upgraded AutoTurret
[26:877] ForFun Unlocked BioMechanicalRepairDrone
[26:930] ForFun Placed/Upgraded HealingDrone
