Analyzed: Oh No It's Zombies Arctic Updated (278)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: Zepherd Race: Zerg
ID : 2 PlayerName: Cruel Race: Terran
ID : 3 PlayerName: aang Race: Terran
ID : 4 PlayerName: Boxmaker Race: Terran
ID : 5 PlayerName: Prohibitor Race: Terran
ID : 6 PlayerName: CosmicDomino Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
Zepherd Zombie Win
Public Lobby

Game Length:[32:809]
Players ammount: 8
Marine rank avg: 11,5
GrandMaster ammount: 3
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed MiningDroid
[00:752] Frosky Unlocked Shotgun
[06:162] Frosky Unlocked SpecOpsShotgun
[07:475] Frosky Unlocked ExplorationDroid
[07:534] Frosky Placed ExplorationDroid
[07:548] Frosky Placed ExplorationDroid
[08:054] Frosky Placed ExplorationDroid
[09:392] Frosky Unlocked Stimpack
[10:397] Frosky Unlocked CombatSuit
[11:887] Frosky Unlocked AdvancedCombatSuit
[13:110] Frosky Unlocked BioMechanicalRepairDrone
[13:474] Frosky Placed HealingDrone
[13:756] Frosky Placed HealingDrone
[13:964] Frosky Placed HealingDrone
[18:227] Frosky Unlocked CombatShield
[18:232] Frosky Unlocked QuantumBackpack
[18:237] Frosky Unlocked OpticalVisor
[18:368] Frosky Placed HealingDrone
[18:645] Frosky Placed HealingDrone
[19:025] Frosky Unlocked AutoTurret
[19:827] Frosky Placed AutoTurret
[20:839] Frosky Placed AutoTurret
[21:370] Frosky Unlocked HighPrecisionBeams
[22:293] Frosky Placed AutoTurret
[23:423] Frosky Placed AutoTurret
[24:238] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[24:442] Frosky Placed HealingDrone
[24:655] Frosky Placed HealingDrone
[25:193] Frosky Placed AutoTurret
[26:363] Frosky Unlocked HeavyTurret
[27:666] Frosky Placed HealingDrone
[28:019] Frosky Placed AutoTurret
[30:489] Frosky Unlocked Teleporter
[31:865] Frosky Placed AutoTurret
[00:552] Zepherd Bought PlayerNumber
[00:794] Zepherd Bought StrainSpeed
[01:810] Zepherd Placed/Upgraded PrimalSunkenColony
[01:811] Zepherd Bought SunkenColony
[02:182] Zepherd Placed/Upgraded PrimalSunkenColony
[02:183] Zepherd Bought SunkenColony
[03:594] Zepherd Placed/Upgraded PrimalSunkenColony
[03:595] Zepherd Bought SunkenColony
[04:991] Zepherd Bought SunkenColony
[04:991] Zepherd Bought SunkenColony
[04:991] Zepherd Bought SunkenColony
[05:361] Zepherd Bought StrainSpeed
[05:965] Zepherd Spawned MassiveCocoon
[07:405] Zepherd Spawned Anubalisk
[07:781] Zepherd Bought StrainVolatile
[09:089] Zepherd Bought AdvancedPowerInfestation
[09:584] Zepherd Bought PureStrainVolatile
[10:398] Zepherd Bought ShieldSuit
[10:398] Zepherd Bought CombatSuit
[10:398] Zepherd Bought HazmatSuit
[10:398] Zepherd Bought CombatSuit
[10:542] Zepherd Placed/Upgraded PrimalSunkenColony
[10:543] Zepherd Bought SunkenColony
[11:888] Zepherd Bought CombatSuit
[12:283] Zepherd Bought BuildExtractorProcessingFacilities
[12:283] Zepherd Placed/Upgraded AutomatedExtractor
[12:563] Zepherd Placed/Upgraded LesserNydusWorm
[12:564] Zepherd Bought GreaterNydus
[14:807] Zepherd Bought BuildExtractorExcavationZone
[14:807] Zepherd Placed/Upgraded AutomatedExtractor
[14:999] Zepherd Placed/Upgraded PrimalSunkenColony
[15:000] Zepherd Bought SunkenColony
[15:079] Zepherd Bought SunkenColony
[15:347] Zepherd Placed/Upgraded NydusCanalCreeper
[15:674] Zepherd Placed/Upgraded PrimalSunkenColony
[15:675] Zepherd Bought SunkenColony
[15:731] Zepherd Bought KaboomerStrain
[16:313] Zepherd Placed/Upgraded LesserNydusWorm
[16:314] Zepherd Bought GreaterNydus
[16:651] Zepherd Bought PureStrainSpeed
