Analyzed: Oh No It's Zombies Arctic Updated (279)

ID : 0 PlayerName: WildMutant Race: Terran
ID : 1 PlayerName: Zepherd Race: Terran
ID : 2 PlayerName: Lioner Race: Terran
ID : 3 PlayerName: RammusSaidOK Race: Zerg
ID : 4 PlayerName: Cruel Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Ron Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
RammusSaidOK Zombie Loss
Public Lobby

Game Length:[41:424]
Players ammount: 8
Marine rank avg: 9,666666666666666
GrandMaster ammount: 3
PURCHASES: 
[00:588] WildMutant Unlocked AssaultRifle
[00:667] WildMutant Placed/Upgraded MiningDroid
[00:872] WildMutant Unlocked Shotgun
[04:256] WildMutant Unlocked AdvancedDroidEngines
[04:298] WildMutant Unlocked SpecOpsShotgun
[06:510] WildMutant Unlocked TurboDroidEngines
[07:312] WildMutant Unlocked Stimpack
[09:006] WildMutant Unlocked PsiDisrupter
[09:052] WildMutant Placed/Upgraded PsiIndoctrinator
[10:330] WildMutant Unlocked Teleporter
[11:808] WildMutant Placed/Upgraded PsiIndoctrinator
[12:463] WildMutant Placed/Upgraded PsiIndoctrinator
[13:098] WildMutant Placed/Upgraded PsiIndoctrinator
[14:223] WildMutant Placed/Upgraded MiningDroid
[16:992] WildMutant Unlocked IncendiaryBullets
[18:404] WildMutant Placed/Upgraded PsiIndoctrinator
[18:443] WildMutant Placed/Upgraded MiningDroid
[19:716] WildMutant Unlocked CombatShield
[20:851] WildMutant Unlocked PsiDepressor
[22:363] WildMutant Unlocked IncendiaryGrenade
[22:369] WildMutant Unlocked SpecOpsIncendiaryGrenade
[23:569] WildMutant Unlocked BioMechanicalRepairDrone
[23:594] WildMutant Unlocked SpecOpsBioMechanicalRepairDrone
[24:793] WildMutant Placed/Upgraded HealingDrone
[26:326] WildMutant Unlocked CombatSuit
[26:329] WildMutant Unlocked AdvancedCombatSuit
[27:862] WildMutant Placed/Upgraded MiningDroid
[29:106] WildMutant Placed/Upgraded HealingDrone
[29:301] WildMutant Placed/Upgraded HealingDrone
[30:556] WildMutant Unlocked MiningCharge
[30:562] WildMutant Unlocked AdvancedMiningCharge
[31:105] WildMutant Placed/Upgraded HealingDrone
[31:649] WildMutant Placed/Upgraded HealingDrone
[32:140] WildMutant Placed/Upgraded NukePack
[32:621] WildMutant Placed/Upgraded HealingDrone
[34:808] WildMutant Placed/Upgraded NukePack
[34:964] WildMutant Placed/Upgraded NukePack
[35:022] WildMutant Placed/Upgraded PsiIndoctrinator
[35:266] WildMutant Placed/Upgraded NukePack
[35:888] WildMutant Placed/Upgraded HealingDrone
[38:146] WildMutant Unlocked EnergyPack
[38:172] WildMutant Unlocked OpticalVisor
[39:801] WildMutant Placed/Upgraded HealingDrone
[00:588] Zepherd Unlocked AssaultRifle
[00:693] Zepherd Placed/Upgraded MiningDroid
[00:919] Zepherd Unlocked AdvancedDroidEngines
[03:683] Zepherd Unlocked TurboDroidEngines
[05:351] Zepherd Unlocked Stimpack
[07:239] Zepherd Unlocked AutoTurret
[09:238] Zepherd Placed/Upgraded AutoTurret
[09:420] Zepherd Placed/Upgraded AutoTurret
[09:742] Zepherd Placed/Upgraded AutoTurret
[10:110] Zepherd Unlocked MedicShield
[10:133] Zepherd Unlocked AIAssistant
[10:198] Zepherd Unlocked SpecOpsAssaultRifle
[10:366] Zepherd Placed/Upgraded AutoTurret
[11:341] Zepherd Unlocked TitaniumBulletCasings
[13:556] Zepherd Unlocked QuantumBackpack
[13:834] Zepherd Unlocked ForceFieldGrenade
[13:846] Zepherd Unlocked SpecOpsForcefieldGrenade
[15:425] Zepherd Unlocked HazmatSuit
[15:435] Zepherd Unlocked AdvancedHazmatSuit
[18:482] Zepherd Unlocked MiningCharge
[18:494] Zepherd Unlocked AdvancedMiningCharge
[18:550] Zepherd Unlocked Teleporter
[18:946] Zepherd Placed/Upgraded AutoTurret
[19:163] Zepherd Placed/Upgraded AutoTurret
[20:520] Zepherd Placed/Upgraded AutoTurret
[21:436] Zepherd Placed/Upgraded AutoTurret
[22:200] Zepherd Placed/Upgraded AutoTurret
[24:477] Zepherd Unlocked HeavyTurret
[25:042] Zepherd Placed/Upgraded AutoTurret
[25:488] Zepherd Placed/Upgraded AutoTurret
[26:327] Zepherd Bought ShieldSuit
[26:327] Zepherd Bought CombatSuit
[26:327] Zepherd Bought HazmatSuit
[26:327] Zepherd Bought CombatSuit
[26:330] Zepherd Bought CombatSuit
[28:661] Zepherd Placed/Upgraded AutoTurret
[31:611] Zepherd Unlocked EnergySuit
[31:612] Zepherd Unlocked EnergySuit
[31:620] Zepherd Unlocked AdvancedEnergySuit
[31:621] Zepherd Unlocked EnergySuit
[31:621] Zepherd Unlocked AdvancedEnergySuit
[35:319] Zepherd Placed/Upgraded NukePack
[35:371] Zepherd Placed/Upgraded NukePack
[35:504] Zepherd Placed/Upgraded NukePack
[35:781] Zepherd Placed/Upgraded AutoTurret
[35:989] Zepherd Placed/Upgraded AutoTurret
