Analyzed: Oh No It's Zombies Arctic Updated (280)

ID : 0 PlayerName: Salem Race: Zerg
ID : 1 PlayerName: Kira Race: Terran
ID : 2 PlayerName: BCman Race: Terran
ID : 3 PlayerName: Frosky Race: Zerg
ID : 4 PlayerName: TheTouchkg Race: Terran
ID : 5 PlayerName: Chaosweeds Race: Terran
ID : 6 PlayerName: Elele Race: Terran
ID : 7 PlayerName: Security Race: 
Frosky Zombie Loss
Public Lobby

Game Length:[31:990]
Players ammount: 8
Marine rank avg: 8,833333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] Kira Unlocked AssaultRifle
[00:769] Kira Placed/Upgraded MiningDroid
[02:121] Kira Unlocked SpecOpsAssaultRifle
[03:634] Kira Unlocked SuperStimpack
[05:128] Kira Unlocked AdvancedDroidEngines
[06:828] Kira Unlocked TurboDroidEngines
[08:443] Kira Unlocked Shieldsiotunlocked
[08:487] Kira Unlocked AutoTurret
[09:665] Kira Unlocked SpecOpsTurret
[10:381] Kira Unlocked AIAssistant
[11:966] Kira Placed/Upgraded AutoTurret
[12:772] Kira Unlocked MotionSensor
[13:142] Kira Placed/Upgraded SensorTower
[14:644] Kira Placed/Upgraded AutoTurret
[15:292] Kira Unlocked Stimpack
[16:578] Kira Unlocked MiningCharge
[17:410] Kira Placed/Upgraded NukePack
[20:132] Kira Unlocked SpecOpsSuperStimpack
[23:758] Kira Unlocked AdvancedShieldSuit
[23:945] Kira Unlocked EnergyPack
[23:952] Kira Unlocked CombatShield
[24:728] Kira Placed/Upgraded SensorTower
[27:439] Kira Placed/Upgraded SensorTower
[27:821] Kira Placed/Upgraded NukePack
[31:374] Kira Placed/Upgraded AutoTurret
[00:588] BCman Unlocked AssaultRifle
[00:680] BCman Placed MiningDroid
[00:798] BCman Unlocked Flamethrower
[02:631] BCman Unlocked AdvancedDroidEngines
[04:552] BCman Unlocked Stimpack
[05:838] BCman Unlocked BioMechanicalRepairDrone
[05:918] BCman Placed HealingDrone
[06:607] BCman Placed HealingDrone
[08:381] BCman Unlocked SpecOpsFlamethrower
[08:444] BCman Bought ShieldSuit
[08:444] BCman Bought CombatSuit
[08:444] BCman Bought HazmatSuit
[08:444] BCman Bought ShieldSuit
[08:625] BCman Unlocked CryoFreeze
[09:242] BCman Placed MiningDroid
[11:224] BCman Placed HealingDrone
[12:243] BCman Unlocked HazmatSuit
