Analyzed: Oh No It's Zombies Arctic Updated (281)

ID : 0 PlayerName: Yello Race: Zerg
ID : 1 PlayerName: Danny Race: Terran
ID : 2 PlayerName: Elele Race: Terran
ID : 3 PlayerName: ROY Race: Terran
ID : 4 PlayerName: Frosky Race: Terran
ID : 5 PlayerName: Chaosweeds Race: Terran
ID : 6 PlayerName: DrOlson Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Yello Zombie Win
Public Lobby

Game Length:[31:548]
Players ammount: 8
Marine rank avg: 6,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[00:996] Yello Spawned MassiveCocoon
[02:881] Yello Bought UnlockDropPods
[02:907] Yello Bought EvolveDropPods
[02:924] Yello Bought EvolveDropPods
[03:896] Yello Bought EvolveDropPods
[04:807] Yello Bought EvolveDropPods
[05:912] Yello Bought StrainVolatile
[06:724] Yello Bought EvolveDropPods
[06:741] Yello Bought EvolveDropPods
[09:033] Yello Bought PureStrainVolatile
[10:568] Yello Bought KaboomerStrain
[12:443] Yello Bought StrainHealth
[12:878] Yello Placed/Upgraded PrimalSunkenColony
[12:879] Yello Bought SunkenColony
[13:866] Yello Bought SunkenColony
[14:958] Yello Bought AdvancedInfestationContainment
[15:765] Yello Bought PureStrainHealth
[18:392] Yello Bought SpawnNydusWorm
[20:101] Yello Placed/Upgraded GreaterNydusWorm
[20:241] Yello Bought TankStrain
[21:641] Yello Bought AdvancedPowerInfestation
[22:200] Yello Bought StrainVolatile
[24:117] Yello Bought BuildExtractorScienceLabs
[24:117] Yello Placed/Upgraded AutomatedExtractor
[25:208] Yello Bought BuildExtractorExcavationZone
[25:208] Yello Placed/Upgraded AutomatedExtractor
[25:367] Yello Placed/Upgraded Virophage
[25:672] Yello Placed/Upgraded Virophage
[26:758] Yello Bought BuildExtractorProcessingFacilities
[26:758] Yello Placed/Upgraded AutomatedExtractor
[26:833] Yello Bought SiphonFuel
[27:086] Yello Placed/Upgraded PrimalSunkenColony
[27:087] Yello Bought SunkenColony
[27:548] Yello Bought SunkenColony
[28:347] Yello Placed/Upgraded GreaterNydusWorm
[29:278] Yello Bought PureStrainVolatile
[29:292] Yello Bought KaboomerStrain
[29:332] Yello Bought StrainSpeed
[29:740] Yello Bought SiphonFuel
[29:813] Yello Bought PureStrainSpeed
[00:588] Danny Unlocked AssaultRifle
[00:667] Danny Placed/Upgraded MiningDroid
[00:701] Danny Unlocked AdvancedDroidEngines
[04:447] Danny Unlocked SpecOpsAssaultRifle
[06:312] Danny Unlocked TitaniumBulletCasings
[08:225] Danny Unlocked AutoTurret
[08:423] Danny Placed/Upgraded AutoTurret
[08:629] Danny Placed/Upgraded AutoTurret
[10:698] Danny Unlocked OverloadWeapon
[10:784] Danny Unlocked CombatShield
[12:421] Danny Placed/Upgraded AutoTurret
[12:603] Danny Placed/Upgraded AutoTurret
[12:818] Danny Placed/Upgraded AutoTurret
[13:426] Danny Placed/Upgraded AutoTurret
[13:467] Danny Unlocked BioMechanicalRepairDrone
[13:601] Danny Placed/Upgraded HealingDrone
[13:774] Danny Placed/Upgraded HealingDrone
[14:970] Danny Placed/Upgraded MiningDroid
[15:272] Danny Unlocked FlashBang
[16:032] Danny Placed/Upgraded AutoTurret
[16:708] Danny Placed/Upgraded HealingDrone
[16:844] Danny Unlocked PsiDisrupter
[17:154] Danny Placed/Upgraded HealingDrone
[17:479] Danny Placed/Upgraded HealingDrone
[18:237] Danny Placed/Upgraded HealingDrone
[20:103] Danny Placed/Upgraded HealingDrone
[21:115] Danny Unlocked Teleporter
[21:184] Danny Unlocked CombatSuit
[21:185] Danny Unlocked ShieldSuit
[21:185] Danny Unlocked AdvancedShieldSuit
[21:185] Danny Unlocked CombatSuit
[21:185] Danny Unlocked AdvancedCombatSuit
[21:185] Danny Unlocked HazmatSuit
[21:185] Danny Unlocked AdvancedHazmatSuit
[21:185] Danny Unlocked CombatSuit
[21:191] Danny Unlocked AdvancedCombatSuit
[21:192] Danny Unlocked CombatSuit
[21:192] Danny Unlocked AdvancedCombatSuit
[21:357] Danny Placed/Upgraded HealingDrone
[21:702] Danny Placed/Upgraded HealingDrone
[21:884] Danny Placed/Upgraded HealingDrone
[26:474] Danny Placed/Upgraded PsiIndoctrinator
[26:682] Danny Placed/Upgraded HealingDrone
[26:896] Danny Placed/Upgraded HealingDrone
[27:211] Danny Placed/Upgraded HealingDrone
[28:447] Danny Placed/Upgraded PsiIndoctrinator
[29:589] Danny Placed/Upgraded HealingDrone
[00:588] Elele Unlocked AssaultRifle
[00:731] Elele Placed/Upgraded MiningDroid
[00:852] Elele Unlocked AdvancedDroidEngines
[03:709] Elele Unlocked TurboDroidEngines
[07:021] Elele Unlocked SpecOpsAssaultRifle
[09:511] Elele Unlocked AutoTargetingSystem
[14:082] Elele Unlocked PsiDisrupter
[14:108] Elele Unlocked SpecOpsPsiDisruptor
[14:870] Elele Placed/Upgraded PsiIndoctrinator
[16:117] Elele Unlocked Shotgun
[16:134] Elele Unlocked SpecOpsShotgun
[16:543] Elele Unlocked HighPrecisionBeams
[00:588] ROY Unlocked AssaultRifle
[00:903] ROY Placed/Upgraded MiningDroid
[01:137] ROY Unlocked AdvancedDroidEngines
[03:349] ROY Unlocked BioMechanicalRepairDrone
[03:378] ROY Unlocked CombatAccelerationDrone
[03:651] ROY Placed/Upgraded HealingDrone
[06:192] ROY Placed/Upgraded HealingDrone
[06:837] ROY Unlocked TurboDroidEngines
[07:253] ROY Placed/Upgraded HealingDrone
[07:853] ROY Unlocked ExplorationDroid
[07:923] ROY Placed/Upgraded ExplorationDroid
[08:497] ROY Placed/Upgraded HealingDrone
[08:660] ROY Placed/Upgraded ExplorationDroid
[09:794] ROY Unlocked IncendiaryGrenade
[14:958] ROY Unlocked AutoTurret
[15:037] ROY Unlocked HeavyTurret
[15:315] ROY Placed/Upgraded MiningDroid
[15:412] ROY Placed/Upgraded AutoTurret
[16:383] ROY Unlocked AIAssistant
[16:467] ROY Unlocked QuantumBackpack
[18:784] ROY Unlocked SpecOpsAssaultRifle
[19:229] ROY Placed/Upgraded AutoTurret
[19:900] ROY Placed/Upgraded AutoTurret
