Analyzed: Oh No It's Zombies Arctic Updated (285)

ID : 0 PlayerName: Tin Race: Terran
ID : 1 PlayerName: Alany Race: Terran
ID : 2 PlayerName: Cruel Race: Terran
ID : 3 PlayerName: Danny Race: Terran
ID : 4 PlayerName: MarFly Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: ZAGARA Race: Zerg
ID : 7 PlayerName: Security Race: Primal Zerg
ZAGARA Zombie Loss
Private Lobby

Game Length:[34:840]
Players ammount: 8
Marine rank avg: 13
GrandMaster ammount: 4
PURCHASES: 
[00:588] Tin Unlocked AssaultRifle
[00:711] Tin Placed/Upgraded MiningDroid
[00:997] Tin Unlocked AdvancedDroidEngines
[03:679] Tin Unlocked Stimpack
[05:444] Tin Unlocked Shotgun
[07:329] Tin Unlocked SuperStimpack
[08:934] Tin Unlocked SpecOpsShotgun
[09:396] Tin Unlocked HighPrecisionBeams
[10:588] Tin Unlocked BioMechanicalRepairDrone
[12:436] Tin Unlocked HazmatSuit
[12:475] Tin Unlocked MedicShield
[14:485] Tin Placed/Upgraded HealingDrone
[14:691] Tin Unlocked SpecOpsSuperStimpack
[16:690] Tin Unlocked AdvancedHazmatSuit
[16:727] Tin Unlocked EnergyPack
[16:732] Tin Unlocked OpticalVisor
[17:184] Tin Placed/Upgraded HealingDrone
[17:511] Tin Placed/Upgraded HealingDrone
[18:630] Tin Placed/Upgraded HealingDrone
[20:758] Tin Unlocked AutoTurret
[20:777] Tin Unlocked HeavyTurret
[20:892] Tin Placed/Upgraded AutoTurret
[21:075] Tin Placed/Upgraded AutoTurret
[21:274] Tin Placed/Upgraded AutoTurret
[21:594] Tin Placed/Upgraded AutoTurret
[22:832] Tin Placed/Upgraded HealingDrone
[23:144] Tin Placed/Upgraded HealingDrone
[24:737] Tin Placed/Upgraded HealingDrone
[26:166] Tin Placed/Upgraded HealingDrone
[26:426] Tin Placed/Upgraded HealingDrone
[26:654] Tin Placed/Upgraded HealingDrone
[28:057] Tin Placed/Upgraded AutoTurret
[28:301] Tin Unlocked MiningCharge
[28:306] Tin Unlocked AdvancedMiningCharge
[28:360] Tin Placed/Upgraded AutoTurret
[28:908] Tin Placed/Upgraded HealingDrone
[29:949] Tin Placed/Upgraded HealingDrone
[30:951] Tin Placed/Upgraded NukePack
[31:030] Tin Placed/Upgraded HealingDrone
[32:604] Tin Placed/Upgraded HealingDrone
[33:412] Tin Placed/Upgraded HealingDrone
[00:588] Alany Unlocked AssaultRifle
[00:942] Alany Placed/Upgraded MiningDroid
[01:009] Alany Unlocked ArcWelder
[02:003] Alany Unlocked AdvancedDroidEngines
[06:754] Alany Placed/Upgraded MiningDroid
[08:160] Alany Unlocked TurboDroidEngines
[09:317] Alany Unlocked BioMechanicalRepairDrone
[09:329] Alany Unlocked CombatAccelerationDrone
[09:393] Alany Placed/Upgraded HealingDrone
[09:545] Alany Placed/Upgraded HealingDrone
[09:817] Alany Placed/Upgraded HealingDrone
[10:586] Alany Placed/Upgraded HealingDrone
[11:197] Alany Placed/Upgraded HealingDrone
[12:437] Alany Bought ShieldSuit
[12:437] Alany Bought CombatSuit
[12:437] Alany Bought HazmatSuit
[12:437] Alany Bought HazmatSuit
[13:804] Alany Unlocked AutoTurret
[13:824] Alany Unlocked HeavyTurret
[13:887] Alany Placed/Upgraded AutoTurret
