Analyzed: Oh No It's Zombies Arctic Updated (295)

ID : 0 PlayerName: Babushka Race: Zerg
ID : 1 PlayerName: enragedivy Race: Terran
ID : 2 PlayerName: SmittyWerben Race: Terran
ID : 3 PlayerName: Spectrum Race: Terran
ID : 4 PlayerName: HellFat Race: Terran
ID : 5 PlayerName: Frosky Race: Terran
ID : 6 PlayerName: Wally Race: Terran
ID : 7 PlayerName: Security Race: Zerg
Babushka Zombie Loss
Public Lobby

Game Length:[45:894]
Players ammount: 8
Marine rank avg: 4,166666666666667
GrandMaster ammount: 1
PURCHASES: 
[00:836] Babushka Spawned MassiveCocoon
[02:276] Babushka Spawned PrimalTownHallUprooted
[03:293] Babushka Bought StrainVolatile
[05:438] Babushka Placed/Upgraded LesserNydusWorm
[05:439] Babushka Bought GreaterNydus
[05:970] Babushka Bought CreepSpeed
[07:478] Babushka Bought GreaterNydus
[08:184] Babushka Bought StrainVolatile
[09:167] Babushka Placed/Upgraded LesserNydusWorm
[09:168] Babushka Bought GreaterNydus
[09:408] Babushka Placed/Upgraded NydusCanalCreeper
[10:946] Babushka Bought PureStrainVolatile
[12:876] Babushka Bought VirulentCreep
[15:167] Babushka Bought StrainHealth
[17:772] Babushka Placed/Upgraded NydusCanalCreeper
[18:758] Babushka Bought GreaterNydus
[19:021] Babushka Bought BuildExtractorExcavationZone
[19:021] Babushka Placed/Upgraded AutomatedExtractor
[19:324] Babushka Placed/Upgraded LesserNydusWorm
[19:325] Babushka Bought GreaterNydus
[19:565] Babushka Placed/Upgraded NydusCanalCreeper
[19:740] Babushka Bought PureStrainHealth
[21:453] Babushka Bought CreepSpeed
[22:790] Babushka Bought GreaterNydus
[24:238] Babushka Bought StrainHealth
[24:951] Babushka Bought AdvancedInfestationContainment
[25:292] Babushka Bought SiphonFuel
[25:792] Babushka Placed/Upgraded NydusCanalCreeper
[27:128] Babushka Bought TankStrain
[27:344] Babushka Bought AdvancedPowerInfestation
[28:733] Babushka Bought SiphonFuel
[28:836] Babushka Bought BuildExtractorProcessingFacilities
[28:836] Babushka Placed/Upgraded AutomatedExtractor
[29:264] Babushka Placed/Upgraded NydusCanalCreeper
[30:218] Babushka Placed/Upgraded NydusCanalCreeper
[31:784] Babushka Bought StrainHealth
[31:798] Babushka Bought PureStrainHealth
[33:213] Babushka Bought SiphonFuel
[35:319] Babushka Bought PureStrainHealth
[35:323] Babushka Bought TankStrain
[35:349] Babushka Bought TankStrain
[35:951] Babushka Bought DropshipsFueled
[37:390] Babushka Bought UltimateInfestationResearched
[38:324] Babushka Placed/Upgraded NydusCanalCreeper
[39:853] Babushka Bought SpawnNydusWorm
[40:052] Babushka Placed/Upgraded GreaterNydusWorm
[42:038] Babushka Bought UnlockDropPods
[42:051] Babushka Bought EvolveDropPods
[42:054] Babushka Bought EvolveDropPods
[42:057] Babushka Bought EvolveDropPods
[42:060] Babushka Bought EvolveDropPods
[42:063] Babushka Bought EvolveDropPods
[42:066] Babushka Bought EvolveDropPods
[43:007] Babushka Placed/Upgraded GreaterNydusWorm
[43:115] Babushka Placed/Upgraded GreaterNydusWorm
[00:588] enragedivy Unlocked AssaultRifle
[00:711] enragedivy Placed/Upgraded MiningDroid
[00:870] enragedivy Unlocked AdvancedDroidEngines
[03:555] enragedivy Unlocked Shotgun
[08:713] enragedivy Placed/Upgraded MiningDroid
[11:096] enragedivy Unlocked SpecOpsShotgun
[12:563] enragedivy Unlocked Stimpack
[16:104] enragedivy Unlocked HighPrecisionBeams
[16:573] enragedivy Unlocked HazmatSuit
[16:574] enragedivy Unlocked ShieldSuit
[16:574] enragedivy Unlocked AdvancedShieldSuit
[16:574] enragedivy Unlocked CombatSuit
[16:574] enragedivy Unlocked AdvancedCombatSuit
[16:574] enragedivy Unlocked HazmatSuit
[16:574] enragedivy Unlocked AdvancedHazmatSuit
[16:574] enragedivy Unlocked HazmatSuit
[16:602] enragedivy Unlocked AdvancedHazmatSuit
[16:603] enragedivy Unlocked HazmatSuit
[16:603] enragedivy Unlocked AdvancedHazmatSuit
[23:107] enragedivy Unlocked PsiDisrupter
[23:150] enragedivy Unlocked PsiDepressor
[23:283] enragedivy Placed/Upgraded PsiIndoctrinator
[25:273] enragedivy Placed/Upgraded PsiIndoctrinator
[35:593] enragedivy Unlocked BioMechanicalRepairDrone
[35:665] enragedivy Placed/Upgraded HealingDrone
[39:711] enragedivy Placed/Upgraded HealingDrone
[40:008] enragedivy Placed/Upgraded HealingDrone
[00:588] SmittyWerben Unlocked AssaultRifle
[01:039] SmittyWerben Placed/Upgraded MiningDroid
[03:284] SmittyWerben Unlocked SpecOpsAssaultRifle
[06:510] SmittyWerben Unlocked AutoTurret
[06:671] SmittyWerben Unlocked SpecOpsTurret
[07:274] SmittyWerben Placed/Upgraded AutoTurret
[07:955] SmittyWerben Placed/Upgraded AutoTurret
[08:630] SmittyWerben Placed/Upgraded AutoTurret
[10:040] SmittyWerben Unlocked CombatSuit
[10:041] SmittyWerben Unlocked ShieldSuit
[10:041] SmittyWerben Unlocked AdvancedShieldSuit
[10:041] SmittyWerben Unlocked CombatSuit
[10:041] SmittyWerben Unlocked AdvancedCombatSuit
[10:041] SmittyWerben Unlocked HazmatSuit
[10:041] SmittyWerben Unlocked AdvancedHazmatSuit
[10:041] SmittyWerben Unlocked CombatSuit
[10:985] SmittyWerben Placed/Upgraded AutoTurret
[11:190] SmittyWerben Placed/Upgraded AutoTurret
[12:917] SmittyWerben Placed/Upgraded AutoTurret
[15:453] SmittyWerben Unlocked AutoTargetingSystem
[15:631] SmittyWerben Unlocked AdvancedCombatSuit
[15:632] SmittyWerben Unlocked CombatSuit
[15:632] SmittyWerben Unlocked AdvancedCombatSuit
[15:880] SmittyWerben Unlocked MedicShield
[16:429] SmittyWerben Placed/Upgraded AutoTurret
[16:688] SmittyWerben Placed/Upgraded AutoTurret
[17:307] SmittyWerben Placed/Upgraded AutoTurret
[19:882] SmittyWerben Placed/Upgraded AutoTurret
[20:780] SmittyWerben Placed/Upgraded MiningDroid
[20:821] SmittyWerben Placed/Upgraded AutoTurret
