Analyzed: Oh No It's Zombies Arctic Updated (298)

ID : 0 PlayerName: ForFun Race: Terran
ID : 1 PlayerName: csiz Race: Terran
ID : 2 PlayerName: Frosky Race: Terran
ID : 3 PlayerName: QurIzE Race: Terran
ID : 4 PlayerName: Evan Race: Zerg
ID : 5 PlayerName: Darstra Race: Terran
ID : 6 PlayerName: chickenparts Race: Terran
ID : 7 PlayerName: Security Race: 
Evan Zombie Loss
Public Lobby

Game Length:[39:485]
Players ammount: 8
Marine rank avg: 9,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] ForFun Unlocked AssaultRifle
[00:935] ForFun Placed/Upgraded MiningDroid
[00:957] ForFun Unlocked Stimpack
[05:091] ForFun Unlocked AdvancedDroidEngines
[05:967] ForFun Unlocked SpecOpsAssaultRifle
[07:850] ForFun Unlocked CombatSuit
[08:723] ForFun Unlocked AdvancedCombatSuit
[09:850] ForFun Unlocked AutoTargetingSystem
[11:891] ForFun Unlocked MedicShield
[11:899] ForFun Unlocked EnergyPack
[12:851] ForFun Unlocked OverloadWeapon
[13:997] ForFun Unlocked TurboDroidEngines
[17:033] ForFun Unlocked AutoTurret
[17:041] ForFun Unlocked SpecOpsTurret
[17:233] ForFun Placed/Upgraded AutoTurret
[17:428] ForFun Placed/Upgraded AutoTurret
[17:624] ForFun Placed/Upgraded AutoTurret
[18:766] ForFun Placed/Upgraded AutoTurret
[19:166] ForFun Placed/Upgraded AutoTurret
[21:164] ForFun Placed/Upgraded MiningDroid
[22:042] ForFun Unlocked BioMechanicalRepairDrone
[24:090] ForFun Placed/Upgraded HealingDrone
[24:968] ForFun Unlocked AIAssistant
[25:042] ForFun Unlocked Teleporter
[25:047] ForFun Unlocked SpecOpsTeleporter
[25:108] ForFun Unlocked SpecOpsBioMechanicalRepairDrone
[25:445] ForFun Placed/Upgraded HealingDrone
[30:564] ForFun Placed/Upgraded AutoTurret
[30:874] ForFun Placed/Upgraded AutoTurret
[31:069] ForFun Placed/Upgraded AutoTurret
[32:450] ForFun Placed/Upgraded HealingDrone
[32:728] ForFun Placed/Upgraded HealingDrone
[33:148] ForFun Placed/Upgraded HealingDrone
[34:904] ForFun Placed/Upgraded AutoTurret
[35:210] ForFun Placed/Upgraded AutoTurret
[35:408] ForFun Placed/Upgraded AutoTurret
[35:697] ForFun Placed/Upgraded AutoTurret
[35:994] ForFun Placed/Upgraded AutoTurret
[36:304] ForFun Placed/Upgraded AutoTurret
[37:010] ForFun Placed/Upgraded HealingDrone
[37:272] ForFun Placed/Upgraded HealingDrone
[37:585] ForFun Placed/Upgraded HealingDrone
[38:220] ForFun Placed/Upgraded HealingDrone
[00:588] csiz Unlocked AssaultRifle
[00:667] csiz Placed/Upgraded MiningDroid
[00:816] csiz Unlocked Stimpack
[02:733] csiz Unlocked MedicShield
[05:805] csiz Unlocked AdvancedDroidEngines
[06:208] csiz Unlocked HellfireRocketLauncher
[07:227] csiz Unlocked CombatSuit
[07:851] csiz Bought ShieldSuit
[07:851] csiz Bought CombatSuit
[07:851] csiz Bought HazmatSuit
[07:851] csiz Bought CombatSuit
[08:724] csiz Bought CombatSuit
[09:206] csiz Unlocked SpecOpsHellfireRocketLauncher
[11:604] csiz Unlocked OverloadWeapon
[11:800] csiz Unlocked ShockwaveMissiles
[12:477] csiz Unlocked AdvancedCombatSuit
[12:854] csiz Unlocked PsiDisrupter
[16:146] csiz Unlocked SuperStimpack
[16:967] csiz Placed/Upgraded PsiIndoctrinator
[17:421] csiz Unlocked EnergyPack
[17:490] csiz Unlocked OpticalVisor
[18:613] csiz Unlocked PsiDepressor
[18:705] csiz Unlocked ForceFieldGrenade
[20:850] csiz Placed/Upgraded PsiIndoctrinator
[21:017] csiz Unlocked SpecOpsSuperStimpack
[21:298] csiz Placed/Upgraded PsiIndoctrinator
[23:247] csiz Unlocked MiningCharge
[23:257] csiz Unlocked AdvancedMiningCharge
[23:524] csiz Unlocked SpecOpsForcefieldGrenade
[23:607] csiz Placed/Upgraded PsiIndoctrinator
[24:615] csiz Placed/Upgraded NukePack
[24:975] csiz Unlocked BioMechanicalRepairDrone
[25:046] csiz Unlocked RechargeDrone
[25:122] csiz Placed/Upgraded HealingDrone
[26:203] csiz Placed/Upgraded HealingDrone
[27:520] csiz Placed/Upgraded NukePack
[27:719] csiz Placed/Upgraded HealingDrone
[29:435] csiz Unlocked EnergySuit
[29:436] csiz Unlocked EnergySuit
[29:439] csiz Unlocked AdvancedEnergySuit
[29:440] csiz Unlocked EnergySuit
[29:440] csiz Unlocked AdvancedEnergySuit
[31:030] csiz Unlocked BeamRifle
[31:036] csiz Unlocked SpecOpsPlasmaRifle
[31:207] csiz Unlocked PlasmaRifleMod3
[37:556] csiz Placed/Upgraded HealingDrone
[00:588] Frosky Unlocked AssaultRifle
[00:667] Frosky Placed/Upgraded MiningDroid
[00:772] Frosky Unlocked Shotgun
[04:440] Frosky Unlocked AdvancedDroidEngines
[06:648] Frosky Unlocked TurboDroidEngines
[07:228] Frosky Bought ShieldSuit
[07:228] Frosky Bought CombatSuit
[07:228] Frosky Bought HazmatSuit
[07:228] Frosky Bought CombatSuit
[08:118] Frosky Unlocked SpecOpsShotgun
[09:000] Frosky Unlocked CombatSuit
[12:452] Frosky Unlocked SuperStimpack
[12:478] Frosky Bought CombatSuit
[12:500] Frosky Unlocked AdvancedCombatSuit
[14:087] Frosky Unlocked CombatShield
[14:096] Frosky Unlocked AIAssistant
[14:600] Frosky Unlocked BioMechanicalRepairDrone
[14:617] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[15:632] Frosky Unlocked ExplorationDroid
[15:676] Frosky Placed/Upgraded ExplorationDroid
[15:724] Frosky Placed/Upgraded ExplorationDroid
[15:845] Frosky Placed/Upgraded ExplorationDroid
[16:431] Frosky Placed/Upgraded HealingDrone
[17:152] Frosky Unlocked PsiDisrupter
[17:648] Frosky Placed/Upgraded PsiIndoctrinator
[20:647] Frosky Placed/Upgraded PsiIndoctrinator
[21:492] Frosky Unlocked PsiDepressor
[21:523] Frosky Placed/Upgraded HealingDrone
[22:445] Frosky Placed/Upgraded HealingDrone
[22:903] Frosky Unlocked AutoTurret
