Analyzed: Oh No It's Zombies Arctic Updated (299)

ID : 0 PlayerName: Frosky Race: Terran
ID : 1 PlayerName: gookgook Race: Zerg
ID : 2 PlayerName: Spectrum Race: Terran
ID : 3 PlayerName: cobra Race: Terran
ID : 4 PlayerName: UnBornDELTA Race: Terran
ID : 5 PlayerName: valkarian Race: Terran
ID : 6 PlayerName: Dkare Race: Terran
ID : 7 PlayerName: Security Race: Terran Horner
gookgook Zombie Loss
Public Lobby

Game Length:[44:073]
Players ammount: 8
Marine rank avg: 4
GrandMaster ammount: 1
PURCHASES: 
[00:588] Frosky Unlocked AssaultRifle
[15:411] Frosky Placed MiningDroid
[15:502] Frosky Unlocked AdvancedDroidEngines
[18:296] Frosky Unlocked TurboDroidEngines
[19:828] Frosky Unlocked Shotgun
[21:444] Frosky Unlocked SpecOpsShotgun
[23:173] Frosky Unlocked HighPrecisionBeams
[23:717] Frosky Unlocked SuperStimpack
[26:713] Frosky Unlocked BioMechanicalRepairDrone
[26:732] Frosky Unlocked SpecOpsBioMechanicalRepairDrone
[26:766] Frosky Unlocked CombatSuit
[26:778] Frosky Unlocked AdvancedCombatSuit
[26:829] Frosky Unlocked CombatShield
[27:950] Frosky Placed HealingDrone
[28:488] Frosky Placed HealingDrone
[32:403] Frosky Unlocked PsiDisrupter
[32:425] Frosky Unlocked PsiDepressor
[32:782] Frosky Placed PsiIndoctrinator
[32:815] Frosky Placed PsiIndoctrinator
[33:084] Frosky Placed PsiIndoctrinator
[35:021] Frosky Placed PsiIndoctrinator
[35:373] Frosky Placed HealingDrone
[35:606] Frosky Placed HealingDrone
[37:119] Frosky Unlocked ExplorationDroid
[37:149] Frosky Placed ExplorationDroid
[37:214] Frosky Placed ExplorationDroid
[37:344] Frosky Placed ExplorationDroid
[38:991] Frosky Unlocked SpecOpsSuperStimpack
[40:137] Frosky Placed HealingDrone
[40:474] Frosky Unlocked AutoTurret
[40:536] Frosky Placed AutoTurret
[41:195] Frosky Unlocked HeavyTurret
[41:389] Frosky Placed AutoTurret
[00:552] gookgook Bought PlayerNumber
[05:309] gookgook Spawned MassiveCocoon
[06:213] gookgook Bought SpawnNydusWorm
[06:749] gookgook Spawned Hunter
[07:002] gookgook Placed/Upgraded ToxicNest
[07:055] gookgook Placed/Upgraded ToxicNest
[10:127] gookgook Spawned MassiveCocoon
[11:567] gookgook Spawned InfestedAbomination
[14:241] gookgook Bought StrainHealth
[14:356] gookgook Bought PureStrainHealth
[14:428] gookgook Bought TankStrain
[15:475] gookgook Bought BuildExtractorProcessingFacilities
[15:475] gookgook Placed/Upgraded AutomatedExtractor
[15:745] gookgook Bought BuildExtractorExcavationZone
[15:745] gookgook Placed/Upgraded AutomatedExtractor
[16:766] gookgook Bought CreepSpeed
[16:854] gookgook Bought RegenerativeCreep
[18:278] gookgook Spawned MassiveCocoon
[18:376] gookgook Spawned MassiveCocoon
[19:718] gookgook Spawned Hunter
[19:816] gookgook Spawned Hunter
[19:954] gookgook Bought ExtractorCostReductionProcessingFacilities
[19:954] gookgook Bought BuildExtractorProcessingFacilities
[23:399] gookgook Bought StrainDamage
[23:418] gookgook Bought PureStrainDamage
[23:438] gookgook Bought DefilerStrain
[26:767] gookgook Bought ShieldSuit
[26:767] gookgook Bought CombatSuit
[26:767] gookgook Bought HazmatSuit
[26:767] gookgook Bought CombatSuit
[26:779] gookgook Bought CombatSuit
[32:076] gookgook Bought BuildExtractorExcavationZone
[33:916] gookgook Bought DropshipsFueled
[38:398] gookgook Bought StrainSpeed
[38:415] gookgook Bought StrainSpeed
[38:430] gookgook Bought PureStrainSpeed
[38:444] gookgook Bought StrainSpeed
[38:460] gookgook Bought PureStrainSpeed
[38:476] gookgook Bought PureStrainSpeed
[38:490] gookgook Bought HunterlingStrain
[41:218] gookgook Bought UltimateInfestationResearched
[00:588] Spectrum Unlocked AssaultRifle
[00:891] Spectrum Placed/Upgraded MiningDroid
[01:004] Spectrum Unlocked HellfireRocketLauncher
[03:678] Spectrum Placed/Upgraded MiningDroid
[07:390] Spectrum Unlocked MiningCharge
[07:536] Spectrum Unlocked AdvancedDroidEngines
[09:828] Spectrum Unlocked SpecOpsHellfireRocketLauncher
[12:599] Spectrum Placed/Upgraded NukePack
[14:292] Spectrum Unlocked RocketLauncherMod1
[14:786] Spectrum Unlocked ExplorationDroid
[15:132] Spectrum Unlocked AIAssistant
[15:179] Spectrum Unlocked QuantumBackpack
[15:292] Spectrum Unlocked MedicShield
[15:508] Spectrum Placed/Upgraded ExplorationDroid
[15:576] Spectrum Placed/Upgraded ExplorationDroid
[15:593] Spectrum Placed/Upgraded ExplorationDroid
[16:713] Spectrum Unlocked PsiDisrupter
[18:792] Spectrum Unlocked SpecOpsPsiDisruptor
[19:298] Spectrum Unlocked Stimpack
[21:876] Spectrum Unlocked PsiDepressor
[23:857] Spectrum Unlocked CombatSuit
[23:892] Spectrum Unlocked AdvancedCombatSuit
[26:995] Spectrum Unlocked TurboDroidEngines
[29:199] Spectrum Unlocked AdvancedMiningCharge
[30:504] Spectrum Placed/Upgraded PsiIndoctrinator
[30:913] Spectrum Placed/Upgraded NukePack
[31:221] Spectrum Placed/Upgraded NukePack
[32:636] Spectrum Placed/Upgraded NukePack
[34:708] Spectrum Placed/Upgraded PsiIndoctrinator
[34:947] Spectrum Placed/Upgraded NukePack
[35:116] Spectrum Unlocked BioMechanicalRepairDrone
[35:173] Spectrum Unlocked SpecOpsBioMechanicalRepairDrone
[35:395] Spectrum Placed/Upgraded HealingDrone
[35:573] Spectrum Placed/Upgraded HealingDrone
[35:856] Spectrum Unlocked AutoTurret
[36:586] Spectrum Unlocked SpecOpsTurret
[37:594] Spectrum Placed/Upgraded AutoTurret
[37:810] Spectrum Placed/Upgraded AutoTurret
[38:981] Spectrum Placed/Upgraded AutoTurret
[39:718] Spectrum Placed/Upgraded AutoTurret
[40:899] Spectrum Unlocked Teleporter
[42:939] Spectrum Placed/Upgraded AutoTurret
[42:973] Spectrum Placed/Upgraded NukePack
[00:588] cobra Unlocked AssaultRifle
[00:682] cobra Placed/Upgraded MiningDroid
[00:724] cobra Unlocked AdvancedDroidEngines
[05:199] cobra Unlocked TurboDroidEngines
[07:417] cobra Unlocked Stimpack
[08:672] cobra Unlocked SpecOpsAssaultRifle
[10:325] cobra Unlocked CombatSuit
[10:332] cobra Unlocked AdvancedCombatSuit
[11:371] cobra Unlocked AutoTargetingSystem
[14:398] cobra Unlocked BioMechanicalRepairDrone
[14:408] cobra Unlocked SpecOpsBioMechanicalRepairDrone
[14:485] cobra Unlocked Teleporter
[15:430] cobra Unlocked MotionSensor
[16:628] cobra Placed/Upgraded SensorTower
[18:629] cobra Unlocked PsiDisrupter
[18:640] cobra Unlocked PsiDepressor
[18:794] cobra Placed/Upgraded PsiIndoctrinator
[22:040] cobra Placed/Upgraded PsiIndoctrinator
[23:858] cobra Bought ShieldSuit
[23:858] cobra Bought CombatSuit
[23:858] cobra Bought HazmatSuit
[23:858] cobra Bought CombatSuit
[23:893] cobra Bought CombatSuit
[25:009] cobra Placed/Upgraded HealingDrone
[25:623] cobra Placed/Upgraded HealingDrone
[27:040] cobra Placed/Upgraded HealingDrone
[27:425] cobra Placed/Upgraded MiningDroid
[27:718] cobra Placed/Upgraded PsiIndoctrinator
[28:037] cobra Unlocked OverloadWeapon
[32:156] cobra Placed/Upgraded PsiIndoctrinator
[34:577] cobra Unlocked SpecOpsTeleporter
[34:614] cobra Unlocked EnergyPack
[34:720] cobra Placed/Upgraded PsiIndoctrinator
[35:147] cobra Unlocked MiningCharge
