Analyzed: Oh No It's Zombies Arctic Updated (304)

ID : 0 PlayerName: Shawnee Race: Terran
ID : 1 PlayerName: Nation Race: Terran
ID : 2 PlayerName: Frosky Race: Zerg
ID : 3 PlayerName: GianCarlo Race: Terran
ID : 4 PlayerName: kittycitte Race: Terran
ID : 5 PlayerName: CoolBeans Race: Terran
ID : 6 PlayerName: vaniila Race: Terran
ID : 7 PlayerName: Security Race: MechaZerg
Frosky Zombie Loss
Public Lobby

Game Length:[23:704]
Players ammount: 8
Marine rank avg: 5,833333333333333
GrandMaster ammount: 1
PURCHASES: 
[00:588] Shawnee Unlocked AssaultRifle
[00:675] Shawnee Placed/Upgraded MiningDroid
[00:786] Shawnee Unlocked AdvancedDroidEngines
[03:445] Shawnee Unlocked TurboDroidEngines
[05:532] Shawnee Unlocked BeamRifle
[05:554] Shawnee Unlocked SpecOpsPlasmaRifle
[07:899] Shawnee Unlocked PsiDisrupter
[08:333] Shawnee Placed/Upgraded PsiIndoctrinator
[10:521] Shawnee Unlocked SpecOpsPsiDisruptor
[14:467] Shawnee Unlocked OverloadWeapon
[20:452] Shawnee Unlocked BioMechanicalRepairDrone
[20:749] Shawnee Placed/Upgraded HealingDrone
[22:063] Shawnee Placed/Upgraded HealingDrone
[00:588] Nation Unlocked AssaultRifle
[00:732] Nation Placed MiningDroid
[01:044] Nation Unlocked AdvancedDroidEngines
[05:834] Nation Unlocked TurboDroidEngines
[05:932] Nation Unlocked SpecOpsAssaultRifle
[06:694] Nation Unlocked AutoTurret
[06:717] Nation Unlocked SpecOpsTurret
[07:553] Nation Placed AutoTurret
[08:934] Nation Unlocked TitaniumBulletCasings
[09:107] Nation Placed AutoTurret
[00:552] Frosky Bought PlayerNumber
[01:132] Frosky Spawned MassiveCocoon
[02:572] Frosky Spawned Hunter
[04:976] Frosky Bought CreepSpeed
[08:153] Frosky Bought CreepSpeed
[09:887] Frosky Bought VirulentCreep
[09:887] Frosky Bought VirulentCreep
[11:745] Frosky Placed/Upgraded NydusCanalCreeper
[13:417] Frosky Bought StrainSpeed
[13:739] Frosky Bought SiphonFuel
[17:856] Frosky Bought SpawnNydusWorm
[18:384] Frosky Placed/Upgraded GreaterNydusWorm
[19:627] Frosky Bought PureStrainSpeed
[20:446] Frosky Placed/Upgraded Virophage
[20:884] Frosky Placed/Upgraded NydusCanalCreeper
[22:422] Frosky Bought SiphonFuel
[00:588] GianCarlo Unlocked AssaultRifle
[00:725] GianCarlo Placed/Upgraded MiningDroid
[01:151] GianCarlo Unlocked HellfireRocketLauncher
[03:310] GianCarlo Unlocked SpecOpsHellfireRocketLauncher
[04:480] GianCarlo Unlocked ShockwaveMissiles
[04:588] GianCarlo Unlocked MedicShield
[07:988] GianCarlo Unlocked Stimpack
[08:068] GianCarlo Unlocked BioMechanicalRepairDrone
[08:519] GianCarlo Unlocked CombatAccelerationDrone
[08:735] GianCarlo Placed/Upgraded HealingDrone
[08:948] GianCarlo Placed/Upgraded HealingDrone
[10:283] GianCarlo Placed/Upgraded HealingDrone
[10:511] GianCarlo Placed/Upgraded HealingDrone
[10:890] GianCarlo Placed/Upgraded HealingDrone
[11:759] GianCarlo Unlocked Shieldsiotunlocked
[13:268] GianCarlo Unlocked AdvancedShieldSuit
[14:365] GianCarlo Unlocked SpecOpsBioMechanicalRepairDrone
[14:887] GianCarlo Unlocked PsiDisrupter
[17:593] GianCarlo Placed/Upgraded PsiIndoctrinator
[18:448] GianCarlo Placed/Upgraded HealingDrone
[21:963] GianCarlo Placed/Upgraded HealingDrone
[00:588] kittycitte Unlocked AssaultRifle
[03:819] kittycitte Placed/Upgraded MiningDroid
[07:946] kittycitte Unlocked AdvancedDroidEngines
[08:364] kittycitte Unlocked BeamRifle
[08:510] kittycitte Unlocked SpecOpsPlasmaRifle
[09:242] kittycitte Unlocked CorrosivePlasma
[09:449] kittycitte Unlocked OverloadWeapon
[10:220] kittycitte Unlocked CloakingDevice
[10:272] kittycitte Unlocked SpecOpsCloakingDevice
[11:760] kittycitte Bought ShieldSuit
[11:760] kittycitte Bought CombatSuit
[11:760] kittycitte Bought HazmatSuit
[11:760] kittycitte Bought ShieldSuit
[12:105] kittycitte Unlocked CombatShield
[12:457] kittycitte Unlocked MotionSensor
[12:519] kittycitte Unlocked AdvancedMotionSensor
[13:269] kittycitte Bought ShieldSuit
[13:765] kittycitte Placed/Upgraded SensorTower
[18:631] kittycitte Placed/Upgraded SensorTower
[00:588] CoolBeans Unlocked AssaultRifle
[00:731] CoolBeans Placed/Upgraded MiningDroid
[00:588] vaniila Unlocked AssaultRifle
[02:220] vaniila Unlocked SpecOpsAssaultRifle
[08:656] vaniila Unlocked BioMechanicalRepairDrone
[08:732] vaniila Unlocked Stimpack
[10:277] vaniila Unlocked PsiDisrupter
[11:703] vaniila Unlocked AdvancedDroidEngines
Frosky First Alpha Hunter |  Loss

Frosky Placed 1 Greaters.
--------------------------------
