Analyzed: Oh No It's Zombies Arctic Updated (310)

ID : 0 PlayerName: chickenparts Race: Terran
ID : 1 PlayerName: xxxpro Race: Terran
ID : 2 PlayerName: Zepherd Race: Zerg
ID : 3 PlayerName: Frosky Race: Terran
ID : 4 PlayerName: Might Race: Terran
ID : 5 PlayerName: Juuggernaut Race: Terran
ID : 6 PlayerName: ROY Race: Terran
ID : 7 PlayerName: Security Race: Protoss
Zepherd Zombie Win
Public Lobby

Game Length:[34:610]
Players ammount: 8
Marine rank avg: 15,333333333333334
GrandMaster ammount: 3
PURCHASES: 
[00:588] chickenparts Unlocked AssaultRifle
[00:725] chickenparts Placed/Upgraded MiningDroid
[02:182] chickenparts Unlocked AdvancedDroidEngines
[03:598] chickenparts Unlocked SpecOpsAssaultRifle
[04:501] chickenparts Unlocked FragGrenade
[06:156] chickenparts Unlocked MotionSensor
[06:602] chickenparts Placed/Upgraded SensorTower
[07:122] chickenparts Unlocked BioMechanicalRepairDrone
[07:188] chickenparts Placed/Upgraded SensorTower
[08:258] chickenparts Placed/Upgraded SensorTower
[08:946] chickenparts Unlocked EnergySuit
[08:947] chickenparts Unlocked EnergySuit
[10:794] chickenparts Placed/Upgraded SensorTower
[11:118] chickenparts Unlocked Teleporter
[13:553] chickenparts Unlocked TitaniumBulletCasings
[13:968] chickenparts Placed/Upgraded HealingDrone
[14:401] chickenparts Placed/Upgraded HealingDrone
[14:521] chickenparts Unlocked OverloadWeapon
[15:825] chickenparts Placed/Upgraded HealingDrone
[17:636] chickenparts Unlocked TurboDroidEngines
[17:781] chickenparts Unlocked AdvancedEnergySuit
[17:782] chickenparts Unlocked EnergySuit
[17:782] chickenparts Unlocked AdvancedEnergySuit
[17:833] chickenparts Unlocked SpecOpsFragGrenade
[18:324] chickenparts Placed/Upgraded HealingDrone
[19:756] chickenparts Placed/Upgraded HealingDrone
[23:000] chickenparts Placed/Upgraded SensorTower
[23:794] chickenparts Unlocked QuantumBackpack
[23:815] chickenparts Unlocked MedicShield
[25:900] chickenparts Placed/Upgraded HealingDrone
[26:098] chickenparts Placed/Upgraded HealingDrone
[26:653] chickenparts Placed/Upgraded HealingDrone
[27:729] chickenparts Placed/Upgraded HealingDrone
[30:124] chickenparts Unlocked MiningCharge
[32:764] chickenparts Placed/Upgraded HealingDrone
[00:588] xxxpro Unlocked AssaultRifle
[00:709] xxxpro Placed MiningDroid
[00:921] xxxpro Unlocked FragGrenade
[00:928] xxxpro Unlocked SpecOpsFragGrenade
[04:476] xxxpro Unlocked SpecOpsAssaultRifle
[08:947] xxxpro Bought ShieldSuit
[08:947] xxxpro Bought CombatSuit
[08:947] xxxpro Bought HazmatSuit
[10:081] xxxpro Unlocked AutoTargetingSystem
[11:132] xxxpro Unlocked CombatShield
[11:138] xxxpro Unlocked EnergyPack
[15:715] xxxpro Unlocked EnergySuit
[15:716] xxxpro Unlocked EnergySuit
[15:747] xxxpro Unlocked AdvancedEnergySuit
[15:748] xxxpro Unlocked EnergySuit
[15:748] xxxpro Unlocked AdvancedEnergySuit
[15:821] xxxpro Unlocked AIAssistant
[18:047] xxxpro Unlocked PsiDisrupter
[18:276] xxxpro Placed PsiIndoctrinator
[21:478] xxxpro Placed PsiIndoctrinator
[24:750] xxxpro Placed MiningDroid
[27:574] xxxpro Unlocked AutoTurret
[27:663] xxxpro Placed AutoTurret
[28:139] xxxpro Placed AutoTurret
[28:765] xxxpro Placed AutoTurret
[29:668] xxxpro Placed AutoTurret
[30:746] xxxpro Placed AutoTurret
[32:275] xxxpro Placed AutoTurret
[00:552] Zepherd Bought PlayerNumber
[01:970] Zepherd Bought CreepSpeed
[04:577] Zepherd Placed/Upgraded PrimalSunkenColony
[04:578] Zepherd Bought SunkenColony
[05:035] Zepherd Placed/Upgraded PrimalSunkenColony
[05:036] Zepherd Bought SunkenColony
[05:394] Zepherd Bought SunkenColony
[06:048] Zepherd Placed/Upgraded PrimalSunkenColony
[06:049] Zepherd Bought SunkenColony
[06:877] Zepherd Bought BuildExtractorProcessingFacilities
[06:877] Zepherd Placed/Upgraded AutomatedExtractor
[08:282] Zepherd Placed/Upgraded LesserNydusWorm
[08:283] Zepherd Bought GreaterNydus
[09:148] Zepherd Bought CreepSpeed
[09:415] Zepherd Bought SunkenColony
[09:415] Zepherd Bought SunkenColony
[10:409] Zepherd Bought StrainVolatile
[11:246] Zepherd Bought PureStrainVolatile
[12:033] Zepherd Bought BuildExtractorExcavationZone
[12:033] Zepherd Placed/Upgraded AutomatedExtractor
[12:966] Zepherd Placed/Upgraded PrimalSunkenColony
[12:967] Zepherd Bought SunkenColony
[13:207] Zepherd Placed/Upgraded NydusCanalCreeper
[13:446] Zepherd Bought SunkenColony
[13:448] Zepherd Bought SunkenColony
[13:448] Zepherd Placed/Upgraded PrimalSunkenColony
[14:385] Zepherd Placed/Upgraded LesserNydusWorm
[14:386] Zepherd Bought GreaterNydus
[15:136] Zepherd Bought SunkenColony
[15:577] Zepherd Bought ExtractorCostReductionProcessingFacilities
[15:577] Zepherd Bought BuildExtractorProcessingFacilities
[15:658] Zepherd Placed/Upgraded PrimalSunkenColony
[15:659] Zepherd Bought SunkenColony
[15:716] Zepherd Bought ShieldSuit
[15:716] Zepherd Bought CombatSuit
[15:716] Zepherd Bought HazmatSuit
[15:794] Zepherd Bought ConstructiveCreep
[17:040] Zepherd Placed/Upgraded PrimalSunkenColony
[17:041] Zepherd Bought SunkenColony
[17:071] Zepherd Bought BuildExtractorProcessingFacilities
[17:071] Zepherd Placed/Upgraded AutomatedExtractor
[17:564] Zepherd Placed/Upgraded PrimalSunkenColony
[17:565] Zepherd Bought SunkenColony
[17:998] Zepherd Placed/Upgraded LesserNydusWorm
[17:999] Zepherd Bought GreaterNydus
[18:159] Zepherd Bought GreaterNydus
[18:159] Zepherd Placed/Upgraded LesserNydusWorm
[18:470] Zepherd Bought UnlockDropPods
[19:072] Zepherd Bought BuildExtractorScienceLabs
[19:072] Zepherd Placed/Upgraded AutomatedExtractor
[19:119] Zepherd Bought SiphonFuel
[20:179] Zepherd Placed/Upgraded NydusCanalCreeper
[20:275] Zepherd Bought KaboomerStrain
[21:168] Zepherd Bought ExtractorCostReductionProcessingFacilities
[21:168] Zepherd Bought BuildExtractorProcessingFacilities
[21:182] Zepherd Placed/Upgraded NydusCanalCreeper
[21:818] Zepherd Bought StrainSpeed
[21:965] Zepherd Bought EvolveDropPods
[21:981] Zepherd Bought EvolveDropPods
[22:200] Zepherd Placed/Upgraded LesserNydusWorm
[22:201] Zepherd Bought GreaterNydus
[22:461] Zepherd Placed/Upgraded NydusCanalCreeper
[22:493] Zepherd Bought BuildExtractorManufacturingSector
[22:493] Zepherd Placed/Upgraded AutomatedExtractor
[23:281] Zepherd Bought SiphonFuel
[23:977] Zepherd Bought SunkenColony
[23:977] Zepherd Bought SunkenColony
[23:977] Zepherd Bought SunkenColony
[24:261] Zepherd Bought VirulentCreep
[24:261] Zepherd Bought VirulentCreep
[25:020] Zepherd Bought RegenerativeCreep
[26:065] Zepherd Bought GreaterNydus
[26:269] Zepherd Bought PureStrainSpeed
[26:633] Zepherd Bought SiphonFuel
[26:950] Zepherd Placed/Upgraded PrimalSunkenColony
[26:951] Zepherd Bought SunkenColony
[26:983] Zepherd Bought BuildExtractorProcessingFacilities
[26:983] Zepherd Placed/Upgraded AutomatedExtractor
[27:127] Zepherd Placed/Upgraded LesserNydusWorm
[27:128] Zepherd Bought GreaterNydus
[27:293] Zepherd Placed/Upgraded PrimalSunkenColony
[27:294] Zepherd Bought SunkenColony
[27:849] Zepherd Placed/Upgraded NydusCanalCreeper
[28:171] Zepherd Placed/Upgraded LesserNydusWorm
[28:172] Zepherd Bought GreaterNydus
[29:029] Zepherd Placed/Upgraded PrimalSunkenColony
[29:030] Zepherd Bought SunkenColony
[29:190] Zepherd Bought SunkenColony
[29:190] Zepherd Placed/Upgraded PrimalSunkenColony
[29:524] Zepherd Bought SiphonFuel
[29:680] Zepherd Placed/Upgraded PrimalSunkenColony
[29:681] Zepherd Bought SunkenColony
[30:168] Zepherd Placed/Upgraded LesserNydusWorm
[30:169] Zepherd Bought GreaterNydus
[31:147] Zepherd Bought GreaterNydus
[31:362] Zepherd Bought SunkenColony
[31:432] Zepherd Bought SunkenColony
[31:432] Zepherd Bought SunkenColony
[31:536] Zepherd Bought DropshipsFueled
[32:174] Zepherd Bought HunterlingStrain
[32:187] Zepherd Bought StrainDamage
[32:197] Zepherd Bought PureStrainDamage
[32:213] Zepherd Bought DefilerStrain
[32:571] Zepherd Placed/Upgraded NydusCanalCreeper
[32:619] Zepherd Spawned RoyalCocoon
[32:619] Zepherd Bought SpawnHiveQueen
[32:619] Zepherd Bought UltimateInfestationResearched
[32:660] Zepherd Bought StrainHealth
[32:826] Zepherd Bought PureStrainHealth
[33:170] Zepherd Placed/Upgraded NydusCanalCreeper
[33:338] Zepherd Spawned QueenCoop
[33:393] Zepherd Placed/Upgraded PrimalSunkenColony
[33:394] Zepherd Bought SunkenColony
[33:790] Zepherd Bought SunkenColony
[34:065] Zepherd Bought StrainSpeed
[34:082] Zepherd Bought PureStrainSpeed
[34:103] Zepherd Bought HunterlingStrain
[34:342] Zepherd Bought SunkenColony
[34:383] Zepherd Bought SunkenColony
[34:427] Zepherd Bought GreaterNydus
[00:588] Frosky Unlocked AssaultRifle
[00:669] Frosky Placed/Upgraded MiningDroid
[00:790] Frosky Unlocked Shotgun
[02:765] Frosky Unlocked AdvancedDroidEngines
[05:186] Frosky Unlocked TurboDroidEngines
[07:357] Frosky Unlocked SpecOpsShotgun
[08:757] Frosky Unlocked CombatSuit
[09:169] Frosky Unlocked ConcussiveBeams
[10:559] Frosky Unlocked Stimpack
[10:850] Frosky Unlocked ExplorationDroid
[10:877] Frosky Placed/Upgraded ExplorationDroid
[10:939] Frosky Placed/Upgraded ExplorationDroid
[11:073] Frosky Placed/Upgraded ExplorationDroid
[14:106] Frosky Unlocked MedicShield
[14:128] Frosky Unlocked CombatShield
[14:171] Frosky Unlocked BioMechanicalRepairDrone
[14:227] Frosky Placed/Upgraded HealingDrone
[15:340] Frosky Placed/Upgraded HealingDrone
[21:271] Frosky Placed/Upgraded HealingDrone
[21:878] Frosky Placed/Upgraded HealingDrone
[22:439] Frosky Placed/Upgraded HealingDrone
[25:184] Frosky Unlocked AutoTurret
[25:333] Frosky Placed/Upgraded AutoTurret
[26:049] Frosky Placed/Upgraded HealingDrone
[26:464] Frosky Placed/Upgraded HealingDrone
[27:005] Frosky Placed/Upgraded HealingDrone
[28:763] Frosky Placed/Upgraded HealingDrone
[30:781] Frosky Placed/Upgraded HealingDrone
[00:588] Might Unlocked AssaultRifle
[00:758] Might Placed/Upgraded MiningDroid
[01:057] Might Unlocked FragGrenade
[02:487] Might Unlocked AdvancedDroidEngines
[04:424] Might Unlocked TurboDroidEngines
[06:589] Might Unlocked HellfireRocketLauncher
